年度,Fiscal year,設備,Facility,マーク Mark,開館日数 Number of open days,観覧人員 Visitors／総数 Total,観覧人員 Visitors／大人 Adults,観覧人員 Visitors／学生 Students,観覧人員 Visitors／小人 Children,観覧人員 Visitors／その他 Others,(再掲) Relisted／団体 Groups
平成29,2017,本館,Main Building,,303,486178,327963,32237,4185,121793,2454
平成30,2018,本館,Main Building,,292,539956,387982,26576,4706,120692,2261
令和元,2019,本館,Main Building,,262,487501,327985,35221,7329,116966,1372
平成29,2017,工芸館,Craft Gallery,,254,124563,75506,3573,633,44851,887
平成30,2018,工芸館,Craft Gallery,,263,91931,57623,3982,771,29555,685
令和元,2019,工芸館,Craft Gallery,,244,94509,65284,4051,635,24539,257
平成29,2017,フィルムセンター,National Film Center,,241,75317,55824,5312,57,14124,-
平成29,2017,フィルムセンター,National Film Center,1),335,,,,,70309,
平成29,2017,フィルムセンター7階展示室,Exhibition Hall， 7th floor， National Film Center,,240,18327,8954,2309,283,6781,227
,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-11  国立博物館及び美術館 (3) 東京国立近代美術館 b 観覧人員 (平成29～令和元年度) 17-11  NATIONAL MUSEUM (3) THE NATIONAL MUSEUM OF MODERN ART， TOKYO b  VISITORS ( Fiscal Years 2017-2019 ),,,,,,,,,,,
平成30年4月1日より，東京国立近代美術館からフィルムセンターが独立し，国立映画アーカイブとなった。,,,,,,,,,,,
From April 1， 2018， the National Film Center was split off from the National Museum of Modern Art， Tokyo， to become the National Film Archive of Japan.,,,,,,,,,,,
注 1)  優秀映画鑑賞推進事業に関する延べ上映日数及び観覧人員を表し，外数である。 　,,,,,,,,,,,
"Note: 1) Figures in brackets indicate the numbers of screening days and visitors with regard to the Project on the Promotion of Excellent Films Appreciation， and are excluded from ""Total.""  ",,,,,,,,,,,
資料：東京国立近代美術館 Source: The National Museum of Modern Art， Tokyo　,,,,,,,,,,,
