年度末,End of fiscal year,総数 Total,絵画 Paintings,書跡 Calligraphy,彫刻 Sculptures,金工刀剣 Metalwork and swords,陶磁 Ceramics,漆工 Lacquerware,染織 Textile and costumes,考古 Archaeology,歴史民族 Historical materials and ethnic artifacts,和書 Japanese books and documents,準歴史資料 Unregistered historical materials,東洋美術東洋考古 Oriental art and archaeology,その他 Others
平成29,2017,117460,11175,1875,1109,19884,2957,3951,3746,28613,7511,17560,2,17918,1159
平成30,2018,119064,11187,1885,1112,19885,2960,3951,3772,28618,7512,17560,-,17962,2660
令和元,2019,119871,11191,1891,1112,19890,2963,3951,3772,28621,7513,17560,-,17977,3430
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-11  国立博物館及び美術館 (1) 東京国立博物館 a 備付品数 (平成29～令和元年度末) 17-11  NATIONAL MUSEUM (1) TOKYO NATIONAL MUSEUM a NUMBER OF WORKS ( End of Fiscal Years 2017-2019 ),,,,,,,,,,,,,,,
資料：国立文化財機構 Source: National Institutes for Cultural Heritage　　,,,,,,,,,,,,,,,
