年度,Fiscal year,貸切使用回数 Group use (number of times)／メインプール Main pool,貸切使用回数 Group use (number of times)／サブプール Sub pool,貸切使用回数 Group use (number of times)／ダイビングプール Diving pool,貸切使用回数 Group use (number of times)／会議室 Conference room,一般公開利用者数 Number of individual users／プール(メイン・サブ・ダイビング)  Pools (Main/Sub/Diving) ,ｽﾎﾟｰﾂ教室等 Sports programs， etc.／回数 Times held,ｽﾎﾟｰﾂ教室等 Sports programs， etc.／人数 Participants
平成29,2017,16333,9125,1131,3509,42974,553,16124
平成30,2018,11376,6589,668,3094,30748,341,12542
令和元,2019,15072,8202,913,3055,46520,564,14037
,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,
17-17  東京都立体育施設の利用状況 (4) 東京辰巳国際水泳場 (平成29～令和元年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (4) TOKYO TATSUMI INTERNATIONAL SWIMMING CENTER  ( Fiscal Years 2017-2019 ),,,,,,,,
注) 新型コロナウイルス感染症の感染拡大防止のため，令和2年3月下旬から休館した。,,,,,,,,
Note: The whole facility was closed from late March 2020 to prevent the spread of COVID-19.,,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,
