年度,Fiscal year,学校区分 ,School types,総数 Total,陸上競技場 Athletic field,野球・ソフトボール場 Baseball and softball field,球技場 Ball field,多目的運動場 Multipurpose sports field,水泳プール Swimming pool,体育館 Gymnasium,柔道場 Judo hall,剣道場 Kendo hall,柔剣道場 Judo and kendo hall,バレーボール場 Volleyball court,庭球場 Tennis court,バスケットボール場 Basketball court,すもう場 Sumo ring,卓球場 Ping-pong court,弓道場 Japanese archery range,トレーニング場 Physical training facility,ダンス場 Dance studio,ゴルフ場 Golf course,ゴルフ練習場 Golf driving range,ゲートボール・クロッケー場 Gateball and croquet court,キャンプ場 Camping site,冒険遊具コース Athletic course,その他 Others
平成30,2018,総数 ,Total,11423,82,649,214,2167,2431,2644,303,220,301,13,803,89,30,55,105,442,130,72,70,69,56,15,463
平成30,2018,小・中・高・専修・各種学校 ,Elementary schools， junior， senior high schools， specialized training schools and miscellaneous schools,7331,13,21,17,1949,2064,2148,142,129,246,10,366,84,12,8,18,77,4,-,-,-,-,13,10
平成30,2018,高専・大学 ,Colleges of technology， Colleges and universities,860,23,29,44,71,39,178,50,39,25,3,98,5,4,26,31,76,19,-,10,-,1,-,89
平成30,2018,公共 ,Public,2269,45,594,126,137,197,294,47,42,30,-,259,-,14,17,52,110,15,1,3,69,32,2,183
平成30,2018,民間,Private,963,1,5,27,10,131,24,64,10,-,-,80,-,-,4,4,179,92,71,57,-,23,-,181
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-16  スポーツ施設数 (平成30年度) 17-16  SPORTS FACILITIES ( Fiscal Year 2018 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：スポーツ庁「体育・スポーツ施設現況調査」Source: Japan Sports Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,
