年度,Fiscal year,男女区分 ,Male female classification,区分 ,Classification,幼稚園 Kindergarten／5歳 5 years old,小学校 Elementary school／6歳 6 years old,小学校 Elementary school／7歳 7 years old,小学校 Elementary school／8歳 8 years old,小学校 Elementary school／9歳 9 years old,小学校 Elementary school／10歳 10 years old,小学校 Elementary school／11歳 11 years old,中学校 Junior high schoo／12歳 12 years old,中学校 Junior high schoo／13歳 13 years old,中学校 Junior high schoo／14歳 14 years old,高等学校 Senior high school／15歳 15 years old,高等学校 Senior high school／16歳 16 years old,高等学校 Senior high school／17歳 17 years old
平成11,1999,男 ,Male,身長 (cm),Height (cm),110.9,117,122.8,128.8,133.9,139.2,145.9,152.9,160.3,166.1,168.9,170.6,171.8
平成16,2004,男 ,Male,身長 (cm),Height (cm),111.3,117.1,122.8,128.6,133.9,139,145.2,153.2,160.7,165.8,169.2,170.5,171.5
平成21,2009,男 ,Male,身長 (cm),Height (cm),110.8,117.5,122.9,129.1,133.9,139.5,145.4,152.9,160.3,166,168.8,170.2,171.2
平成26,2014,男 ,Male,身長 (cm),Height (cm),110.5,117,123,128.4,134,139.2,145.8,153.1,160.3,165.1,169,170.5,170.9
令和元,2019,男 ,Male,身長 (cm),Height (cm),110.7,117,123.2,128.6,133.9,139.8,145.6,153.3,160.5,165.9,168.9,170.2,171.6
平成11,1999,男 ,Male,体重 (kg)  ,Weight (kg),19.1,22,24.7,28.1,31.3,35.5,40.4,45.4,50.7,56.2,59.7,61.3,63.4
平成16,2004,男 ,Male,体重 (kg)  ,Weight (kg),19.3,21.6,24.5,27.4,30.8,34.8,39.4,45.2,51.4,55.4,60.6,62,63.8
平成21,2009,男 ,Male,体重 (kg)  ,Weight (kg),19,21.7,24.2,27.4,30.5,34.6,39,44.6,50.1,55.1,58.7,61.9,62.9
平成26,2014,男 ,Male,体重 (kg)  ,Weight (kg),18.8,21.6,24.2,27,30.4,34.1,38.9,44.1,48.9,54,58.7,60.7,62.2
令和元,2019,男 ,Male,体重 (kg)  ,Weight (kg),19.1,21.6,24.5,27.4,30.6,34.9,38.9,44.1,49.8,54.6,57.7,60.1,62.4
平成11,1999,男 ,Male,座高 (㎝),Sitting height (㎝),62.4,65.1,67.9,70.6,72.9,75.1,78.3,81.5,85,88.2,90.1,91.2,91.7
平成16,2004,男 ,Male,座高 (㎝),Sitting height (㎝),62.2,65.1,68,70.4,72.9,75.1,78,81.6,85.6,88,90.6,91.5,92
平成21,2009,男 ,Male,座高 (㎝),Sitting height (㎝),61.7,65.2,67.8,70.6,72.7,75.2,77.6,81.5,85.2,88.6,90.1,91.3,91.7
平成26,2014,男 ,Male,座高 (㎝),Sitting height (㎝),61.7,64.9,67.8,70.3,72.8,75.1,78,81.4,85.1,88.2,90.6,91.5,91.9
令和元,2019,男 ,Male,座高 (㎝),Sitting height (㎝),…,…,…,…,…,…,…,…,…,…,…,…,…
平成11,1999,女 ,Female,身長 (cm),Height (cm),109.9,115.8,121.9,127.9,134.2,140.6,147.5,153.1,155.7,157,157.6,158,158.4
平成16,2004,女 ,Female,身長 (cm),Height (cm),110.2,116.3,121.6,127.5,133.7,140.1,147.5,152.6,155.6,157.2,157.8,158.1,158.8
平成21,2009,女 ,Female,身長 (cm),Height (cm),110.1,116.1,122.2,127.4,134.1,140.4,147.4,152.2,154.8,157.1,157.6,158.2,158.1
平成26,2014,女 ,Female,身長 (cm),Height (cm),109.7,115.7,121.8,127.6,134,140.7,147.5,152.1,154.9,157.1,157.8,158.6,158.6
令和元,2019,女 ,Female,身長 (cm),Height (cm),109.6,116.1,121.8,127.6,133.4,140.6,146.9,152,155.6,156.9,158,158.3,158.6
平成11,1999,女 ,Female,体重 (kg) ,Weight (kg),18.8,21.2,23.8,27.5,31.1,35.5,40.2,45.5,48.3,49.9,51.6,52.3,52.7
平成16,2004,女 ,Female,体重 (kg) ,Weight (kg),18.6,21.3,23.5,26.7,30.6,34.2,39.8,44.2,47.5,50.2,52.4,53,54.2
平成21,2009,女 ,Female,体重 (kg) ,Weight (kg),18.7,21.2,23.5,26.4,30.2,33.8,39,43.5,46.3,50,50.7,52.1,52.2
平成26,2014,女 ,Female,体重 (kg) ,Weight (kg),18.6,20.8,23.2,26.2,30.1,34.1,39.3,43.4,46.9,50.1,51,52.4,52.3
令和元,2019,女 ,Female,体重 (kg) ,Weight (kg),18.7,21,23.4,26.5,29.8,34.3,38.7,43.2,47.2,49.9,51.3,52.5,52.8
平成11,1999,女 ,Female,座高 (㎝),Sitting height (㎝),61.7,64.5,67.4,70.3,73.2,76.2,79.6,82.6,83.9,84.5,85.2,85.6,85.7
平成16,2004,女 ,Female,座高 (㎝),Sitting height (㎝),61.7,64.7,67.2,70.1,72.8,75.8,79.6,82.2,84,84.7,85.5,85.8,86
平成21,2009,女 ,Female,座高 (㎝),Sitting height (㎝),61.3,64.6,67.4,69.8,73,75.8,79.4,82.3,83.5,84.8,85.2,85.7,85.7
平成26,2014,女 ,Female,座高 (㎝),Sitting height (㎝),61.2,64.4,67.2,69.9,72.8,76,79.5,82.2,83.7,85.2,85.5,86,86.1
令和元,2019,女 ,Female,座高 (㎝),Sitting height (㎝),…,…,…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,
 17-4  幼児，児童及び生徒の年齢別発育平均値 (平成11～令和元年度) 17-4  AVERAGE GROWTH OF INFANTS， CHILDREN， AND STUDENTS BY AGE  ( Fiscal Years 1999-2019 ),,,,,,,,,,,,,,,,,,
この表は学校保健統計調査による。 2段階抽出調査であり，まず，学校を抽出し，その学校から生徒を抽出している 。　,,,,,,,,,,,,,,,,,,
Data in this table are based on the School Health Statistical Survey， a two stage sampling in which a sample of students are surveyed from a sample of schools.,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校保健統計（学校保健統計調査報告書）」 Source: Bureau of General Affairs， TMG　　 ,,,,,,,,,,,,,,,,,,
