年度末,End of fiscal year,分類,Classification,総数／Total,中央／Central,多摩／Tama
平成29,2017,総数,Total,2587717,2059640,528077
平成30,2018,総数,Total,2633901,2102623,531278
令和元,2019,総数,Total,2652705,2132282,520423
令和元,2019,総記,General works,84586,76704,7882
令和元,2019,哲学,Philosophy,93296,86049,7247
令和元,2019,歴史,History,226059,212315,13744
令和元,2019,社会科学,Social science,447527,416531,30996
令和元,2019,自然科学,Natural science,155075,143762,11313
令和元,2019,技術,Technology,176515,162154,14361
令和元,2019,産業,Industry,116421,110309,6112
令和元,2019,芸術,The arts,162371,147631,14740
令和元,2019,言語,Language,39021,34559,4462
令和元,2019,文学,Literature,295389,150804,144585
令和元,2019,児童,Children's books,207958,-,207958
令和元,2019,その他,Others,648487,591464,57023
,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (2) 都立図書館蔵書数 (平成29～令和元年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (2) NUMBER OF BOOKS STOCKED AT METROPOLITAN LIBRARIES ( End of Fiscal Years 2017-2019 ),,,,,,
資料：国立国会図書館，都立中央図書館 Source: National Diet Library， Tokyo Metropolitan Central Library,,,,,,
（単位　冊）(In volumes),,,,,,
