年度,Year,都指定 Designated by the TMG／有形文化財 Tangible properties,都指定 Designated by the TMG／無形文化財 Intangible properties,都指定 Designated by the TMG／民俗文化財 Folk cultural properties／有形 Tangible,都指定 Designated by the TMG／民俗文化財 Folk cultural properties／無形 Intangible,都指定 Designated by the TMG／記念物Monuments／史跡 Historic sites,都指定 Designated by the TMG／記念物Monuments／名勝 Places of scenic beauty,都指定 Designated by the TMG／記念物Monuments／動物・植物・地質鉱物 Animals， plants， geological and mineral formations,区市町村指定 Designated by the municipalities／有形文化財 Tangible properties,区市町村指定 Designated by the municipalities／無形文化財 Intangible properties,区市町村指定 Designated by the municipalities／民俗文化財 Folk cultural properties／有形 Tangible,区市町村指定 Designated by the municipalities／民俗文化財 Folk cultural properties／無形 Intangible,区市町村指定 Designated by the municipalities／記念物 Monuments／史跡 Historic sites,区市町村指定 Designated by the municipalities／記念物 Monuments／名勝 Places of scenic beauty,区市町村指定 Designated by the municipalities／記念物 Monuments／動物・植物・地質鉱物 Animals， plants， geological and mineral formations
令和2,2020,338,7,19,60,328,12,62,1876,72,370,161,341,3,197
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-14  都区市町村指定の文化財及び記念物の件数 (令和2年5月１日) 17-14  CULTURAL PROPERTIES AND MONUMENTS DESIGNATED BY TOKYO METROPOLIS AND MUNICIPALITIES ( May. 1， 2020 ),,,,,,,,,,,,,,,
資料：文化庁｢地方の指定文化財」 Source: Agency for Cultural Affairs,,,,,,,,,,,,,,,
