年度,Fiscal year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned,設置者保有 Owned／屋外運動場 Sports grounds,設置者保有 Owned／実験実習地 Land for laboratories and workshops,設置者保有 Owned／建物敷地・その他 Land for buildings and others,借用土地 Rented land
平成27,2015,総数,Total,,31284486,29999429,13465907,1840743,14692779,1285057
平成28,2016,総数,Total,,31127533,29809321,13386663,1865960,14556698,1318212
平成29,2017,総数,Total,,30924526,29613782,13290468,1848208,14475106,1310744
平成30,2018,総数,Total,,31583069,30556108,13259152,2220906,15076050,1026961
令和元,2019,総数,Total,,30777576,29733619,13238791,1853635,14641193,1043957
令和元,2019,幼稚園,Kindergartens,,218883,178969,63997,36994,77978,39914
令和元,2019,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,21376,13230,7414,408,5408,8146
令和元,2019,小学校,Elementary schools,,14298877,13624566,6269293,332164,7023109,674311
令和元,2019,中学校,Junior high schools,,9116339,8824792,4438170,241308,4145314,291547
令和元,2019,義務教育学校,Compulsory education schools ,,217232,217232,83006,6312,127914,-
令和元,2019,高等学校,Senior high schools,,5939531,5933889,2145610,1180157,2608122,5642
令和元,2019,特別支援学校,Special needs schools,1),826153,804329,194555,56292,553482,21824
令和元,2019,専修学校,Specialized training schools,,53681,51108,5208,-,45900,2573
令和元,2019,高等専門学校,Colleges of technology,,85504,85504,31538,-,53966,-
,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-5  学校施設の面積 (1) 用途別学校土地面積 (平成27～令和元年度) a 公立 17-5  LAND AREA OF SCHOOL FACILITIES (1) SCHOOL LAND AREA BY USE ( Fiscal Years 2015-2019 ) a PUBLIC,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,
注 1) 区立特別支援学校は除く。     ,,,,,,,,,,
Note: 1) Except those established by ward.,,,,,,,,,,
資料：都総務局総務部企画計理課，教育庁都立学校教育部高等学校教育課・特別支援教育課，地域教育支援部義務教育課 Source: Bureau of General Affairs， TMG;Office of Education， TMG 　　   ,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,
