年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average
平成29,2017,314,676491,478510,462831,185,15494,-,197981,2154
平成30,2018,315,649633,459223,444797,196,14230,-,190410,2062
令和元,2019,308,646139,466003,453683,262,12058,-,180136,2098
,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-18  東京都立動物園等の状況 (5) 神代植物公園 (平成29～令和元年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (5) JINDAI BOTANICAL PARK ( Fiscal Years 2017-2019 ),,,,,,,,,,
資料：公益財団法人東京都公園協会神代植物公園 Source: Tokyo Zoological Jindai Botanical Park,,,,,,,,,,
