年度,Fiscal year,貸切使用日数 Group use (number of days)／メインアリーナ Main arena,貸切使用日数 Group use (number of days)／サブアリーナ Sub arena,貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools,一般公開利用者数 Number of individual users／屋内プール Indoor swimming pools／トレーニングルーム Training room,ｽﾎﾟｰﾂ教室等 Sports programs， etc.／回数 Times held,ｽﾎﾟｰﾂ教室等 Sports programs， etc.／人数 Participants
平成29,2017,60,75,64,33154,30,1055
平成30,2018,281,316,338,166454,134,46596
令和元,2019,308,285,277,159344,85,16636
,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,
17-17  東京都立体育施設の利用状況 (5) 武蔵野の森総合スポーツプラザ (平成29～令和元年度)  17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (5) MUSASHINO FOREST SPORT PLAZA ( Fiscal Years 2017-2019 ) ,,,,,,,
注 1) 平成29年11月25日に開館した。 ,,,,,,,
2) 新型コロナウイルス感染症の感染拡大防止のため，令和2年3月下旬から休館した。,,,,,,,
Note: 1) Musashino Forest Sport Plaza opened on November 25， 2017. 　,,,,,,,
2) The whole facility was closed from late March 2020 to prevent the spread of COVID-19.,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,
