年度,Fiscal year,月次,Month,開園日数 Number of open days,入園人員 Number of visitors／総数 Total,入園人員 Number of visitors／有料 Paid／総数 Total,入園人員 Number of visitors／有料 Paid／普通 General／大人 Adults,入園人員 Number of visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員Number of visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of visitors／無料 Free,入園人員Number of visitors／1日平均 Daily average
平成29,2017,総数,Total,320,4500414,2700050,2466548,67747,164072,1683,1800364,14064
平成30,2018,総数,Total,319,4964547,3110008,2855222,69053,183998,1735,1854539,15563
令和元,2019,総数,Total,290,3479990,2312183,2137686,56830,116318,1349,1167807,12000
令和元,2019,4, Apr.,27,444123,305554,280007,8443,16997,107,138569,16449
令和元,2019,5, May,29,506406,290969,254492,12704,23693,80,215437,17462
令和元,2019,6,June,26,305398,218392,197919,8255,12029,189,87006,11746
令和元,2019,7,July,26,234926,172181,159765,4827,7284,305,62745,9036
令和元,2019,8,Aug.,28,262484,188993,177484,5090,6132,287,73491,9374
令和元,2019,9,Sept.,26,314848,204586,194142,2432,7989,23,110262,12110
令和元,2019,10,Oct.,28,355945,200056,185465,1900,12621,70,155889,12712
令和元,2019,11,Nov.,26,363932,236330,219719,3041,13423,147,127602,13997
令和元,2019,12,Dec.,24,222184,159413,151204,3484,4703,22,62771,9258
令和2,2020,1,Jan.,26,271808,192108,180219,4743,7057,89,79700,10454
令和2,2020,2,Feb.,24,197936,143601,137270,1911,4390,30,54335,8247
令和2,2020,3,Mar.,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,
17-18  東京都立動物園等の状況 (1) 恩賜上野動物園 b 月別入園人員 (平成29～令和元年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (1) UENO ZOOLOGICAL GARDENS b NUMBER OF VISITORS BY MONTH ( Fiscal Years 2017-2019 ),,,,,,,,,,,,
資料：公益財団法人東京動物園協会恩賜上野動物園 Source: Tokyo Zoological Park Society Ueno Zoological Gardens ,,,,,,,,,,,,
