年度末,Fiscal year,開館日数 Number of open days,観覧人員 Visitors／総数 Total,観覧人員 Visitors／大人 Adults,観覧人員 Visitors／学生 Students,観覧人員 Visitors／大人団体 Adults(group rate),観覧人員 Visitors／学生団体 Students (group rate),観覧人員 Visitors／無料 Free
平成29,2017,312,2569585,1677372,84205,15349,5057,787602
平成30,2018,311,2142960,1402036,92031,16059,5725,627109
令和元,2019,280,2588632,1630409,84610,15214,4715,853684
,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,
17-11  国立博物館及び美術館 (1) 東京国立博物館 b 観覧人員 (平成29～令和元年度) 17-11  NATIONAL MUSEUM (1) TOKYO NATIONAL MUSEUM b VISITORS ( Fiscal Years 2017-2019 ),,,,,,,,
資料：国立文化財機構 Source: National Institutes for Cultural Heritage　　,,,,,,,,
