年次,Year,総数 Total／出願件数 Number of applications,総数 Total／登録件数 Number of registrations,特許 Patents／出願件数 Number of applications,特許 Patents／登録件数 Number of registrations,実用新案 Utility models／出願件数 Number of applications,実用新案 Utility models／登録件数 Number of registrations,意匠 Designs／出願件数 Number of applications,意匠 Designs／登録件数 Number of registrations,商標Trademarks／出願件数 Number of applications,商標Trademarks／登録件数 Number of registrations
平成29,2017,195372,128537,129667,80020,1218,1179,9043,8309,55444,39029
平成30,2018,193476,126374,127577,77208,938,953,8967,7877,55994,40336
平成31・令和元,2019,188997,119098,122238,71581,922,893,8916,8313,56921,38311
,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-15  産業財産権 (平成29～平成31・令和元年) 17-15  INDUSTRIAL PROPERTY RIGHTS ( 2017-2019 ),,,,,,,,,,,
資料：特許庁「特許行政年次報告書」 Source: Japan Patent Office,,,,,,,,,,,
