年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary / junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high / senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成29,2017,0,総数 ,Total,総数 ,Total,4441,1,…,…,2344615,1203126,1141489,…,153122,…
平成30,2018,0,総数 ,Total,総数 ,Total,4437,1,…,…,2350661,1203551,1147110,…,154297,…
令和元,2019,0,総数 ,Total,総数 ,Total,4434,1,…,…,2352033,1202691,1149342,…,155350,…
令和元,2019,0,総数 ,Total,幼稚園,Kindergartens,985,-,…,…,150270,75775,74495,12775,10770,2005
令和元,2019,0,総数 ,Total,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),32,-,…,…,6043,3141,2902,975,803,172
令和元,2019,0,総数 ,Total,小学校,Elementary schools,1331,-,25,…,614873,314845,300028,41653,35103,6550
令和元,2019,0,総数 ,Total,中学校,Junior high schools,804,1,17,140,300377,152593,147784,28553,19524,9029
令和元,2019,0,総数 ,Total,義務教育学校,Compulsory education schools,7,-,7,…,6272,3240,3032,432,379,53
令和元,2019,0,総数 ,Total,高等学校,Senior high schools,429,-,…,137,310285,153300,156985,29897,19265,10632
令和元,2019,0,総数 ,Total,中等教育学校,Secondary education schools,8,-,…,8,7028,3323,3705,682,528,154
令和元,2019,0,総数 ,Total,大学,Colleges and universities,155,-,-,-,742776,395995,346781,121571,52097,69474
令和元,2019,0,総数 ,Total,短期大学,Junior colleges,37,-,-,-,11544,839,10705,3063,792,2271
令和元,2019,0,総数 ,Total,高等専門学校,Colleges of technology,3,-,-,-,3454,2979,475,…,251,…
令和元,2019,0,総数 ,Total,特別支援学校,Special needs schools,70,-,…,…,13464,8740,4724,6757,6089,668
令和元,2019,0,総数 ,Total,高等学校通信制,Senior high school correspondence course,12,-,…,…,10889,5988,4901,1088,234,854
令和元,2019,0,総数 ,Total,専修学校,Specialized training schools,405,-,…,…,148394,68880,79514,24451,7423,17028
令和元,2019,0,総数 ,Total,各種学校,Miscellaneous schools,156,-,…,…,26364,13053,13311,3566,2092,1474
