"選挙名称","時現在","1区 投票者数[人]","1区 投票率[%]"
"平成29年10月22日執行　衆議院議員選挙","8時現在","1051","0.63"
"平成29年10月22日執行　衆議院議員選挙","9時現在","3306","1.98"
"平成29年10月22日執行　衆議院議員選挙","10時現在","7098","4.25"
"平成29年10月22日執行　衆議院議員選挙","11時現在","13067","7.82"
"平成29年10月22日執行　衆議院議員選挙","12時現在","19492","11.66"
"平成29年10月22日執行　衆議院議員選挙","13時現在","26232","15.69"
"平成29年10月22日執行　衆議院議員選挙","14時現在","31919","19.09"
"平成29年10月22日執行　衆議院議員選挙","15時現在","37287","22.3"
"平成29年10月22日執行　衆議院議員選挙","16時現在","42212","25.25"
"平成29年10月22日執行　衆議院議員選挙","17時現在","46973","28.09"
"平成29年10月22日執行　衆議院議員選挙","18時現在","52156","31.19"
"平成29年10月22日執行　衆議院議員選挙","19時現在","56267","33.65"
"平成29年10月22日執行　衆議院議員選挙","20時終了","88971","52.88"

"平成29年10月22日執行　衆議院小選挙区選出議員選挙第1区投票状況速報","Ver201710",,
