"年[西暦]","自然増 出生[人]","自然増 合計特殊出生率[%]","自然増 死亡[人]","自然増 差引[人](Ａ)","社会増 他道府県移動 転入[人]","社会増 他道府県移動 転出[人]","社会増 他道府県移動 差引[人]","社会増 都内間移動 転入[人]","社会増 都内間移動 転出[人]","社会増 都内間移動 差引[人]","社会増 移動計[人](Ｂ)","その他の増[人](Ｃ)","合計[人](A+B+C)","婚姻[件]","離婚[件]"
"2014","2854","1.39","1585","1269","10262","7286","2976","13594","13252","342","3318","489","5076","2309","546"
"2015","2962","1.44","1579","1383","10496","7789","2707","13162","14502","-1340","1367","543","3293","2339","651"
"2016","3048","1.45","1458","1590","10140","7384","2756","12976","13323","-347","2409","1110","5109","2263","613"
"2017","2942","1.42","1508","1434","9668","7299","2369","12795","13669","-874","1495","1328","4257","2294","573"
"2018","2857","1.39","1588","1269","9649","7428","2221","12469","13650","-1181","1040","1337","3646","2187","595"

"令和元年度港区行政資料集　人口動態","Ver201903",,,,,,,,,,,,,,
