"年度","飯倉学童クラブ 利用者数[人]","飯倉学童クラブ 内学童保育[人]","青山児童館 利用者数[人]","青山児童館 内学童保育[人]","豊岡児童館 利用者数[人]","豊岡児童館 内学童保育[人]","高輪児童館 利用者数[人]","高輪児童館 内学童保育[人]","白金台児童館 利用者数[人]","白金台児童館 内学童保育[人]","台場児童館 利用者数[人]","台場児童館 内学童保育[人]","神明子ども中高生プラザ 利用者数[人]","神明子ども中高生プラザ 内学童保育[人]","麻布子ども中高生プラザ 利用者数[人]","麻布子ども中高生プラザ 内学童保育[人]","赤坂子ども中高生プラザ 利用者数[人]","赤坂子ども中高生プラザ 内学童保育[人]","高輪子ども中高生プラザ 利用者数[人]","高輪子ども中高生プラザ 内学童保育[人]","港南子ども中高生プラザ 利用者数[人]","港南子ども中高生プラザ 内学童保育[人]","子どもふれあいルーム(西麻布) 利用者数[人]","子どもふれあいルーム(西麻布) 内学童保育[人]","新橋学童クラブ利用者数[人]","新橋学童クラブ 内学童保育[人]","東麻布学童クラブ 利用者数[人]","東麻布学童クラブ 内学童保育[人]","南麻布学童クラブ 利用者数[人]","南麻布学童クラブ 内学童保育[人]","桂坂学童クラブ 利用者数[人]","桂坂学童クラブ 内学童保育[人]","三光学童クラブ 利用者数[人]","三光学童クラブ 内学童保育[人]","白金台学童クラブ(ゆかしの杜) 利用者数[人]","白金台学童クラブ(ゆかしの杜) 内学童保育[人]","芝浦学童クラブ 利用者数[人]","芝浦学童クラブ 内学童保育[人]","五色橋学童クラブ 利用者数[人]","五色橋学童クラブ 内学童保育[人]","計 利用者数[人]","計 内学童保育[人]"
"定員","66",,"60",,"76",,"55",,"66",,"105",,"60",,"80",,"120",,"77",,"320",,,,"120",,"64",,"120",,"200",,"160",,"60",,"270",,"160",,"2239",
"2015","20400","8475","27709","8127","24232","10935","22195","10153","57784","9855","37821","13186","43545","8502","109262","7849","77001","11697","157492","11931","128194","50627","18403","1171",,,"6328","6328","7246","7246","11367","11367","9013","9013",,,"15284","15284",,,"773276","201746"
"2016","22427","10204","27223","7947","23159","12118","24594","10350","59096","6853","38933","11043","44281","9384","126089","9163","84128","14356","152832","11399","125406","58093","22784",,,,"8227","8227","11691","11691","17818","17818","11918","11918",,,"22395","22395",,,"823001","232959"
"2017","25005","11264","25057","7509","24393","12475","21879","9432","63980","8739","39254","13814","46733","10076","130871","11738","80241","14145","152310","12337","127972","64704","25849",,,,"8145","8145","15732","15732","24913","24913","15553","15553",,,"29724","29724","809","809","858420","271109"
"2018","26479","11134","28782","9552","27618","13288","26885","9198","57949","9697","38097","14298","43584","9519","133214","13628","75544","14594","138280","12126","115621","53659","24752",,"234","234","7862","7862","14419","14419","30930","30930","17882","17882","3358","3358","32643","32643","4621","4621","848754","282642"
"2019","25929","10154","27577","9656","24021","11592","23410","10201","50487","8190","33521","13290","39376","10009","111972","12574","67423","14933","124792","12608","101174","51997","18043",,"2396","2396","8590","8590","14790","14790","32192","32192","20995","20995","6493","6493","33778","33778","5589","5589","772548","290027"

"令和2年度港区行政資料集　施設利用状況一覧 児童館・児童施設","Ver202003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
