地域階層,地域コード,地域,昭和31年1月1日,昭和32年1月1日,昭和33年1月1日,昭和34年1月1日,昭和35年1月1日,昭和36年1月1日,昭和37年1月1日,昭和38年1月1日,昭和39年1月1日,昭和40年1月1日,昭和41年1月1日,昭和42年1月1日,昭和43年1月1日,昭和44年1月1日,昭和45年1月1日,昭和46年1月1日,昭和47年1月1日,昭和48年1月1日,昭和49年1月1日,昭和50年1月1日,昭和51年1月1日,昭和52年1月1日,昭和53年1月1日,昭和54年1月1日,昭和55年1月1日,昭和56年1月1日,昭和57年1月1日,昭和58年1月1日,昭和59年1月1日,昭和60年1月1日,昭和61年1月1日,昭和62年1月1日,昭和63年1月1日,昭和64年1月1日,平成2年1月1日,平成3年1月1日,平成4年1月1日,平成5年1月1日,平成6年1月1日,平成7年1月1日,平成8年1月1日,平成9年1月1日,平成10年1月1日,平成11年1月1日,平成12年1月1日,平成13年1月1日,平成14年1月1日,平成15年1月1日,平成16年1月1日,平成17年1月1日
2,13115,杉並区,409400,423410,439947,457627,473000,488272,500721,507013,515403,520257,537934,537471,545911,541612,549545,553563,559171,560232,560626,561984,560119,556675,554703,550343,546420,541653,538855,538252,537910,538350,539860,540621,537373,535427,531889,528954,529482,527704,522925,518348,514728,514884,515899,517051,519008,522218,525552,527988,529687,530632
2,13116,豊島区,304349,316852,331249,343191,354075,364485,370299,374086,375575,373952,373276,365825,362610,364219,359983,353847,347568,339715,332502,325427,320203,312090,304781,299871,293513,287551,284495,282878,280050,278975,278155,276290,273640,271579,265570,261780,259391,256912,251853,248269,245743,243634,244781,245315,246868,249454,250888,252172,251585,249678
2,13117,北区,355589,368487,384382,395397,407007,419862,430991,446640,451856,454380,449433,447381,443835,443627,435267,426449,427316,423087,425825,421503,418572,413692,407783,400408,392764,385136,379118,374694,371574,369380,367261,365986,364770,363340,358195,354142,350218,347250,342769,337648,333488,331082,328332,327759,327215,325697,325953,326172,326614,327064
2,13118,荒川区,255438,262840,270448,277233,283436,284712,283033,284712,285785,282929,277349,272309,265312,258198,252229,244820,238176,232699,225711,220775,217889,212412,207658,204610,200877,197735,195874,193565,192812,191092,189339,188298,187071,186277,184530,184396,183721,181916,180263,178443,176231,175804,175263,176479,177739,181121,182934,185571,186550,186658
2,13119,板橋区,315329,332107,356434,375659,396483,415249,430403,444255,455989,465571,475696,475976,474599,472539,469718,469914,468951,486945,491691,494082,496473,495192,497139,497558,496722,497349,497407,496574,500513,501924,505280,510192,514600,518046,517313,519008,523006,521712,518661,512964,511289,510366,510431,511495,511810,514247,518599,523001,525098,524254
2,13120,練馬区,189708,209247,234869,261269,286372,310033,336538,359218,384826,410099,440072,461673,485561,504902,519802,528360,537086,543002,551460,555408,560694,564972,567907,567168,565650,564574,563622,565523,572801,581361,589154,600363,606632,613285,616243,619612,626259,629804,631581,633947,636570,639696,644115,649747,654565,659516,665975,672045,676996,681498
2,13121,足立区,335046,347536,362151,377778,393252,411907,430640,446434,467458,494000,518060,527110,540593,549618,563029,574093,587791,596779,602506,605764,610149,615174,620061,622422,620427,619400,620233,620917,621243,621337,622712,624446,627539,631457,631917,631026,632672,633232,629855,624861,621886,619083,617647,616703,616144,617197,619427,621500,622949,624718
2,13122,葛飾区,297079,311004,328644,347200,365829,379603,392896,407545,421399,435691,448434,454459,458412,465830,464408,462375,459484,456562,450271,444340,440790,436739,431687,427610,422564,418454,417845,416469,416649,417966,417821,418577,420182,423180,424009,424701,426547,426415,425874,424475,423485,422176,421418,422201,421448,421300,423673,425921,426857,428402
2,13123,江戸川区,256985,266947,279715,291965,305558,319364,334308,350177,370351,390761,409169,419835,430483,438311,442720,448635,454736,461473,466136,473397,474010,479643,483026,485488,491158,495226,494810,495167,501623,508559,516145,528479,538633,549004,558321,567194,576928,581726,585209,587490,589800,595340,600896,608263,615649,621206,628441,636294,640673,646096
2,13199,境界未定地域,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,745,655,565,476,395,332,332,332,332,-,37,37,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13201,八王子市,148858,151205,154246,157442,160948,165818,170903,178499,186139,198169,209697,217961,226801,236189,246211,257192,267562,280035,294201,308327,324988,340528,353456,369092,380027,389031,395453,404911,414283,419626,427593,434141,442658,449376,458664,467312,476215,483154,489985,497595,503802,508526,515783,523735,531407,537268,541611,544812,549064,554392
2,13202,立川市,76864,77929,79133,79759,80949,82495,85808,90016,95808,100423,100976,106277,112508,114737,115133,117670,129640,132698,135154,136651,138360,138640,140443,142075,142953,142639,142332,142795,143804,145230,147057,149316,150506,151509,152656,153036,154324,155091,155250,156274,157680,158546,159715,161235,163832,164992,166427,167200,168851,170919
2,13203,武蔵野市,95750,98967,104188,108729,117106,121051,125231,128250,127123,126414,133767,133418,134690,136044,137381,137368,138272,138465,139686,139181,139192,138872,138415,139223,138279,136471,136219,136334,137679,138101,139026,139437,139148,138839,139248,139108,139248,137770,136831,135060,134810,134137,134617,135093,134857,135548,135847,136112,135692,136487
2,13204,三鷹市,69537,75338,80032,85473,93107,99084,104004,113824,121584,128733,137571,141486,146326,150320,152855,155661,157624,160290,162176,163716,165162,166215,166958,166200,165055,164150,164662,164524,165252,165616,166017,166567,166604,166492,165866,165400,166812,166962,166502,166007,165720,166560,167885,168585,170546,171925,173278,174939,176219,177366
2,13205,青梅市,55219,55505,55801,56047,56222,57061,57761,58462,59592,60426,61287,62187,63389,65275,68610,71459,76498,79846,82014,84583,86903,89517,91827,94822,97371,99576,101874,104202,106231,109156,111308,113572,117110,120120,123329,126783,129150,132428,134193,136278,137384,138765,139528,140507,141376,141370,141873,142012,141927,142353
2,13206,府中市,60173,64032,67253,70425,74901,83630,90968,99117,108479,118168,127817,137352,144367,152780,158607,165478,169752,174373,177549,181061,183554,185601,187962,188331,191479,192211,194003,195171,197777,200307,202454,205482,206791,207666,208888,209950,211591,213883,214931,215765,216704,218984,221143,223561,225437,227375,231767,234102,236902,240489
2,13207,昭島市,38755,39482,40127,41154,43002,45400,48359,52302,54870,57747,60510,62627,67227,71693,74313,75929,77909,79310,81341,83124,84181,84941,85610,86374,88964,89378,93285,95586,96337,96972,97472,98385,101692,103646,104588,105521,106037,106605,107124,107448,107382,107036,106774,107007,106168,106581,106910,108888,109614,109647
2,13208,調布市,45880,49920,53572,59077,63668,69794,75867,83488,93844,102983,119718,132284,139478,146052,152797,158455,163033,170501,174359,174808,176418,177559,179480,179998,179623,181023,183595,185511,186672,188900,191856,194516,196390,197085,197054,197579,198991,199872,199290,198417,198499,199702,201386,201962,202625,205266,206797,209114,211434,215103
2,13209,町田市,58657,59462,61068,63480,66517,72096,79000,87419,97034,105059,118205,127325,135619,161446,184721,209007,223249,232333,242264,249732,257155,266151,273345,279854,288630,296198,300734,303591,309042,315168,322514,329948,337295,341541,345827,349660,353113,356359,359540,360071,360449,361934,364644,367424,372823,379336,385878,393855,401861,406470
2,13210,小金井市,30750,33011,35758,38931,41966,46330,51887,57370,65235,70136,77416,81358,85235,88501,92392,94555,96979,98971,100006,102190,102689,102595,103510,103629,103062,102603,102275,103014,103605,104234,104729,105446,105025,105113,105756,106125,107838,107634,107837,108622,109732,110540,110887,110753,111257,112138,112286,113132,113691,114350
2,13211,小平市,30250,33307,36850,42440,47695,53743,62223,74192,83308,92166,106558,113343,122667,128265,133558,136884,140584,144980,149970,153982,156427,157064,158125,157129,155639,154360,154358,154815,156679,157748,158896,160031,159743,160876,162437,164349,166981,169448,170274,171278,173235,174601,174888,177088,178134,179096,180817,182239,182860,183359
2,13212,日野市,28063,28963,29901,33014,39126,44099,47675,51421,56221,61491,69148,74429,79158,84660,91652,101797,107789,113167,119069,123839,127795,133255,138590,141968,144081,145854,147997,150347,152193,154044,156463,159375,160971,162179,164625,165781,167167,167287,167158,167014,166708,167268,166964,167676,167923,167910,169191,170634,173267,174384
2,13213,東村山市,24801,27140,29530,35207,38859,43851,50631,56964,64754,70543,77228,80459,84974,89225,93327,97202,100039,103683,108145,110867,113044,115539,117493,118711,119070,119523,119758,120160,120445,122012,124363,127924,128833,131189,132685,134273,135161,135672,135998,135629,135009,135225,137401,139257,140974,142349,142725,143369,144845,145780
2,13214,国分寺市,25971,27949,30141,32842,35988,39605,43116,48369,53238,58641,65756,69506,72574,75934,79229,81530,82785,84052,85646,86690,88721,89594,90747,91266,91011,90994,91064,91713,92554,94543,95737,97719,98926,99678,100522,101277,102353,103463,104568,105315,105959,106613,107378,107695,108862,111774,113675,115002,115295,116204
2,13215,国立市,23596,25210,27586,29667,31231,32898,35050,37141,39359,41289,50320,52106,53650,54979,57465,59913,61028,62757,63785,64252,64558,63834,64441,64828,64456,63949,64258,64405,64704,64704,64950,65429,65299,65357,65406,65967,66577,66670,66541,66615,66660,67460,69079,70182,71431,72359,72921,73085,73506,73301
2,13218,福生市,19309,19514,20174,20750,21342,22213,23071,25333,28077,30103,31043,31860,35403,36094,36925,37203,39181,41099,42449,45408,46591,47165,47919,48595,48697,48705,48893,49317,49892,51180,51747,52750,54067,55830,57202,58325,59433,60063,60722,61312,61564,61444,61590,61579,61481,61515,61744,61557,60928,61066
2,13219,狛江市,14935,16162,18302,20421,22975,25596,28121,30514,33739,36413,40362,44462,49253,55443,58516,60521,62521,64391,67416,69121,70129,70561,71404,71365,71082,70744,71251,71834,72135,72552,73995,74369,74784,74441,73914,74170,74455,74635,74915,74596,74665,74611,74506,75421,75609,75756,76363,77310,77380,77794
2,13220,東大和市,12994,12931,13067,13284,13725,14396,16179,18300,24331,29473,32244,34047,36194,38962,41887,46640,49771,53451,55265,57142,58957,60407,62087,63148,64502,65764,67083,68165,68744,69551,70064,71354,73216,73782,74488,75238,75668,75912,76297,76507,76412,77023,76530,75920,76454,77257,78502,79558,79911,80137
2,13221,清瀬市,14454,14832,16066,16747,17462,17993,19245,22253,25622,32959,37088,39413,47169,49687,50626,52462,53722,57331,59009,60086,60588,61435,61917,62082,61896,61702,61902,63556,64259,64650,64999,65660,66669,66716,67091,67617,67546,67444,67525,67628,67584,67650,67653,67789,67864,68002,68961,69710,70685,73400
2,13222,東久留米市,10384,11316,12330,13220,16829,20112,23524,29370,39727,44045,48132,51584,54891,62951,74324,80364,87591,92417,97139,99099,101403,103153,104605,105810,106872,106862,107069,107972,108833,109866,110490,111003,111370,111502,113165,113802,113309,112836,112176,112108,111230,111524,112308,113354,113250,113079,113715,113609,114118,114780
2,13223,武蔵村山市,11807,12037,12032,12019,12013,12105,12071,12139,12398,13097,14298,27605,32464,35338,39812,41827,44134,46195,48128,49623,51209,53104,55258,56951,57061,57499,58293,59314,60128,60416,61108,61292,62156,63593,64923,65581,65888,66796,67219,67450,66977,66299,66522,66259,66050,66027,66119,66179,66090,66436
2,13224,多摩市,7658,8045,8306,8674,9118,9811,10501,11134,13353,15694,18864,21315,23400,25000,26452,30740,47647,57993,62156,64031,65926,77804,81728,86868,90756,96022,99680,104329,109285,117471,123440,128756,135355,139639,142331,144909,146683,148293,149147,148578,147932,147129,146952,146512,145989,145523,145169,145265,145870,146346
2,13225,稲城市,9998,9965,10112,10362,10536,11128,12144,13626,15367,17571,19908,21656,23654,25485,27103,31339,37438,40075,41922,43297,44174,44637,45967,47000,48025,48173,48753,49509,50068,50392,50928,51973,52635,54290,57149,58769,59483,61467,62421,62288,63013,64240,64950,65918,67796,69484,70750,72497,74603,75926
2,13227,羽村市,10150,10188,10316,10486,10793,11097,11619,12348,13979,15254,16042,16969,18139,19946,21545,23067,24449,28349,30695,31887,33641,36011,37859,39354,41023,42200,43085,44192,45395,46317,47427,48561,49317,50231,51202,52355,53600,54200,54396,54790,55126,55126,55261,55787,56072,55990,55939,55949,56303,56333
2,13228,あきる野市,28904,28996,28996,28945,29118,29337,29635,30034,30530,31384,33131,34643,36998,39216,42544,46140,49465,51686,53996,56004,57514,59095,60269,61305,62201,63032,63577,64309,65070,66000,66548,67156,68415,69526,70922,72343,73485,74434,75112,75439,75438,76138,76604,76945,77704,78524,78928,79506,79863,80086
2,13229,西東京市,43359,46367,51553,59536,72579,79569,87466,95647,104540,112496,121722,128723,134137,138702,142741,143777,146152,150179,153573,157422,158758,159117,160549,160954,158883,158456,158661,158736,159795,161625,163664,165825,167536,168997,169165,170313,171532,172173,172919,173197,175096,175811,177707,179030,180547,180747,182493,183767,186588,188796
2,13303,瑞穂町,9622,9763,9829,11868,12004,12136,12382,12877,13362,14998,15554,15910,16370,16737,17274,17711,18322,18971,19962,20349,20827,21164,21351,21924,22386,23011,24263,25147,25917,26572,27347,28023,29041,29813,30557,31189,31778,32057,32311,32608,32616,32540,32513,32531,32636,32958,33265,33619,33781,33781
2,13305,日の出町,8289,8211,8146,8123,8095,8085,8032,8097,8105,8104,8117,8259,8316,8472,8586,8939,9508,9984,10434,11187,11579,11962,12253,12699,13117,14133,14648,15138,15471,15684,15821,16026,16278,16285,16298,16453,16537,16659,16716,16696,16724,16796,16688,16806,16723,16591,16478,16383,16191,16077
2,13307,檜原村,5933,5921,5858,5838,5716,5654,5635,5621,5605,5589,5381,5258,5241,5128,5101,5027,4964,4900,4828,4714,4667,4556,4487,4359,4305,4200,4154,4228,4152,4084,3989,3891,3818,3871,3823,3799,3755,3720,3675,3610,3543,3499,3452,3361,3323,3252,3171,3101,3029,2984
2,13308,奥多摩町,15510,15497,14969,14219,13889,13788,13694,13511,13294,13268,13079,12782,12655,12448,12019,11764,11424,11138,10862,10710,10538,10416,10379,10217,9973,9751,9565,9486,9440,9339,9259,9098,8948,8881,8815,8708,8579,8391,8354,8230,8235,8109,7995,7822,7690,7531,7375,7216,7057,6851
2,13361,大島町,12560,12425,12410,12291,12286,12143,11877,11833,11792,11743,11616,11417,11322,11088,11043,10818,10822,10982,11029,11128,11094,11037,11048,10963,10912,10766,10678,10638,10575,10439,10381,10302,10154,10052,10094,9988,9870,9769,9717,9641,9689,9573,9422,9371,9261,9199,9044,8975,8868,8779
2,13362,利島村,353,367,356,368,373,360,352,351,351,330,299,287,280,271,261,243,248,265,268,279,276,292,298,305,295,277,274,291,295,294,300,311,317,319,324,311,303,309,313,321,315,312,319,320,307,299,308,307,305,309
2,13363,新島村,4782,4787,4662,4575,4501,4449,4418,4274,4012,3933,3894,3777,3724,3680,3647,3678,3752,3763,3776,3726,3698,3710,3702,3686,3689,3679,3686,3684,3701,3691,3642,3615,3605,3583,3550,3512,3451,3372,3278,3184,3161,3162,3166,3147,3162,3132,3101,3147,3107,3107
2,13364,神津島村,2763,2779,2753,2724,2665,2660,2606,2577,2561,2445,2336,2280,2209,2172,2129,2064,2008,2083,2091,2114,2105,2087,2122,2168,2205,2212,2205,2218,2226,2242,2282,2288,2294,2333,2356,2325,2287,2290,2273,2268,2264,2240,2219,2190,2170,2139,2142,2110,2077,2064
2,13381,三宅村,7087,6957,6920,6857,6769,6617,6437,6111,5932,5883,5622,5500,5390,5240,4857,4885,4866,4815,4792,4671,4571,4538,4417,4350,4269,4252,4252,4206,4146,4178,4151,4111,4058,4021,3971,3907,3817,3769,3831,3862,3813,3761,3746,3657,3633,0,0,0,0,0
2,13382,御蔵島村,343,343,338,330,296,287,283,290,269,246,242,230,227,217,214,201,200,206,190,181,180,184,181,204,207,233,230,237,239,251,261,268,274,269,280,295,293,274,277,277,274,279,288,289,288,312,312,307,314,306
2,13401,八丈町,12379,12195,12203,12184,12001,11807,11711,11721,11613,11384,11298,11080,10804,10607,10430,10256,10339,10424,10418,10385,10324,10261,10253,10291,10312,10246,10178,10176,10103,10071,10017,9964,9851,9687,9557,9431,9348,9291,9336,9395,9480,9514,9479,9523,9536,9501,9429,9356,9244,9103
2,13402,青ヶ島村,410,409,417,411,406,367,367,357,348,308,279,265,261,248,244,235,226,218,215,206,207,198,202,202,190,199,199,196,203,225,218,210,203,211,204,207,217,219,226,228,240,238,218,208,210,208,206,201,203,194
2,13421,小笠原村,0,0,0,0,0,0,0,0,0,0,0,0,0,397,562,827,952,1173,1399,1531,1544,1553,1670,1700,1793,1872,1967,2079,2137,2245,2306,2299,2301,2327,2329,2381,2488,2563,2686,2786,2817,2788,2777,2845,2842,2804,2785,2771,2767,2735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口の動き（平成16年中）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参考表４　 区市町村別人口の推移（昭和31年～平成17年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）三宅村の人口は平成12年国勢調査によりゼロとなったため、その後の住民基本台帳等の増減数は三宅村には加えず、都総数に加えた。このため、都総数と各地域の合計は一致しない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
