和暦（年次）,西暦（年次）,人口／総数,人口／総数／区部,人口／総数／市部,人口／総数／郡部,人口／総数／島部,人口／（再掲）市郡部,増減数／総数,増減数／総数／区部,増減数／総数／市部,増減数／総数／郡部,増減数／総数／島部,増減数／（再掲）市郡部,増減率(%)／総数,増減率(%)／総数／区部,増減率(%)／総数／市部,増減率(%)／総数／郡部,増減率(%)／総数／島部,増減率(%)／（再掲）市郡部
昭和31,1956,8111233,7034126,997076,39354,40677,1036430,…,…,…,…,…,… ,… ,… ,… ,… ,… ,… 
昭和32,1957,8408710,7291283,1037773,39392,40262,1077165,297477,257157,40697,38,-415,40735,3.67,3.66,4.08,0.1,-1.02,3.93
昭和33,1958,8751593,7586292,1086440,38802,40059,1125242,342883,295009,48667,-590,-203,48077,4.08,4.05,4.69,-1.5,-0.5,4.46
昭和34,1959,9081817,7853898,1148131,40048,39740,1188179,330224,267606,61691,1246,-319,62937,3.77,3.53,5.68,3.21,-0.8,5.59
昭和35,1960,9416364,8109588,1227775,39704,39297,1267479,334547,255690,79644,-344,-443,79300,3.68,3.26,6.94,-0.86,-1.11,6.67
昭和36,1961,9725764,8337061,1310312,39663,38728,1349975,309400,227473,82537,-41,-569,82496,3.29,2.8,6.72,-0.1,-1.45,6.51
昭和37,1962,9984821,8504930,1402059,39743,38089,1441802,259057,167869,91747,80,-639,91827,2.66,2.01,7,0.2,-1.65,6.8
昭和38,1963,10224309,8629119,1517532,40106,37552,1557638,239488,124189,115473,363,-537,115836,2.4,1.46,8.24,0.91,-1.41,8.03
昭和39,1964,10467231,8741698,1648251,40366,36916,1688617,242922,112579,130719,260,-636,130979,2.38,1.3,8.61,0.65,-1.69,8.41
昭和40,1965,10667390,8818244,1770877,41959,36310,1812836,200159,76546,122626,1593,-606,124219,1.91,0.88,7.44,3.95,-1.64,7.36
昭和41,1966,10898133,8891608,1928808,42131,35586,1970939,230743,73364,157931,172,-724,158103,2.16,0.83,8.92,0.41,-1.99,8.72
昭和42,1967,10983963,8862523,2044395,42209,34836,2086604,85830,-29085,115587,78,-750,115665,0.79,-0.33,5.99,0.19,-2.11,5.87
昭和43,1968,11124879,8887715,2160365,42582,34217,2202947,140916,25192,115970,373,-619,116343,1.28,0.28,5.67,0.88,-1.78,5.58
