地域階層,地域コード,地域,平成12年中／増減,平成12年中／出生,平成12年中／死亡,平成13年中／増減,平成13年中／出生,平成13年中／死亡,平成14年中／増減,平成14年中／出生,平成14年中／死亡,平成15年中／増減,平成15年中／出生,平成15年中／死亡,平成16年中／増減,平成16年中／出生,平成16年中／死亡
2,13300,郡部,-214,457,671,-297,419,716,-299,421,720,-323,402,725,-301,393,694
4,13303,瑞穂町,101,331,230,54,295,241,50,287,237,28,291,263,32,288,256
4,13305,日の出町,-131,82,213,-145,85,230,-162,77,239,-156,81,237,-148,73,221
4,13307,檜原村,-57,16,73,-61,9,70,-67,14,81,-47,10,57,-55,5,60
4,13308,奥多摩町,-127,28,155,-145,30,175,-120,43,163,-148,20,168,-130,27,157
2,13350,島部,-97,260,357,-136,227,363,-149,242,391,-153,243,396,-159,233,392
3,13360,大島支庁,-67,121,188,-73,108,181,-94,111,205,-95,113,208,-93,110,203
4,13361,大島町,-49,77,126,-55,63,118,-78,65,143,-61,67,128,-77,58,135
4,13362,利島村,-3,0,3,-1,2,3,-1,1,2,-3,0,3,2,4,2
4,13363,新島村,-19,20,39,-18,23,41,-5,25,30,-23,31,54,-14,28,42
4,13364,神津島村,4,24,20,1,20,19,-10,20,30,-8,15,23,-4,20,24
3,13380,三宅支庁,-1,40,41,-21,22,43,-34,14,48,-35,18,53,-38,20,58
4,13381,三宅村,-10,30,40,-16,21,37,-30,14,44,-39,14,53,-40,17,57
4,13382,御蔵島村,9,10,1,-5,1,6,-4,0,4,4,4,0,2,3,1
3,13400,八丈支庁,-41,76,117,-56,67,123,-45,79,124,-45,80,125,-51,67,118
4,13401,八丈町,-41,74,115,-58,63,121,-46,76,122,-48,76,124,-51,66,117
4,13402,青ヶ島村,0,2,2,2,4,2,1,3,2,3,4,1,0,1,1
3,13420,小笠原支庁,12,23,11,14,30,16,24,38,14,22,32,10,23,36,13
4,13421,小笠原村,12,23,11,14,30,16,24,38,14,22,32,10,23,36,13
,,,,,,,,,,,,,,,,,
人口の動き（平成16年中）,,,,,,,,,,,,,,,,,
第15表　区市町村別自然動態　（平成12年～16年）,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,,
