"区分","面積[平法キロメートル]","人口[人]","世帯数","全産業事業所数","全産業従業者数[人]","公道延長[メートル]","公園面積[平法メートル]","１人当たり公園面積[平法メートル]","新設着工住宅戸数","平成29年度 特別区税額[円]","平成29年度 財調収入[円]"
"23区総計","627.57","9549337","5221259","526748","8066791","11967937","41110423.28","4.32","117616","1055050991000 ","925143069000 "
"千代田","11.66","65018","36702","34250","1038143","175519","1709325.54","27.65","1259","19084096000","1741300000"
"中央","10.21","165108","93406","37869","756052","194342","611050.07","3.86","6967","27712898000","13801303000"
"港","20.37","259779","147624","39375","1014842","303949","1406520.01","5.52","3690","76743428000","0"
"新宿","18.22","348141","221633","33602","693036","356161","1145611.08","3.33","4438","47814152000","24914050000"
"文京","11.29","224159","122969","14316","226335","207453","552968.05","2.43","2244","32878684000","15619141000"
"台東","10.11","201195","120571","24446","246917","258486","773676.65","3.79","3472","21478529000","26703435000"
"墨田","13.77","273898","152908","16884","179072","296931","782292.33","2.95","4239","23698396000","36164805000"
"江東","40.16","521199","270125","19112","375745","395914","4463916.27","8.72","7046","50376892000","57879655000"
"品川","22.84","400047","224530","21609","412700","388455","1370151.27","3.42","7022","46512211000","37800378000"
"目黒","14.67","280937","158155","12211","141132","359120","488247.83","1.72","3394","44088789000","11383231000"
"大田","60.83","734278","396447","31432","375194","853794","2916060.05","3.99","8796","73726587000","66342064000"
"世田谷","58.05","915427","485937","28994","288580","1186233","2883367.19","3.12","8970","119322180000 ","42522270000"
"渋谷","15.11","229291","139642","28613","503767","272489","1630624.03","7.07","4232","49887354000","681727000"
"中野","15.59","334562","207517","12917","128078","368539","458725.23","1.36","4373","33775544000","32991834000"
"杉並","34.06","573137","325203","20592","173874","688803","1183847.15","2.05","5670","64305803000","38891810000"
"豊島","13.01","290422","180834","19938","279586","308032","208460.12","0.70","3490","32166538000","27785905000"
"北","20.61","353528","198414","13701","142168","375311","1081374.42","3.09","4351","28784548000","48010094000"
"荒川","10.16","216827","116991","9899","85115","215236","436299.99","2.02","2631","16890444000","36778924000"
"板橋","32.22","570522","313605","19343","213374","740199","1945025.95","3.38","6481","45655679000","65031649000"
"練馬","48.08","737711","376400","21426","195639","1138290","2104696.96","2.87","8123","65813977000","80072528000"
"足立","53.25","690603","350936","25887","236348","1057236","3253397.98","4.79","6745","47924343000","99018757000"
"葛飾","34.80","464009","235792","17953","142902","748736","1996233.07","4.42","4497","33297490000","72813656000"
"江戸川","49.90","699539","344918","21840","196949","1078709","7673792.09","11.10","5486","53112429000","88194553000"
"境界未定","8.60",,,"539","21243",,,,,,
"23区に占める港区の割合[%]","3.25","2.72","2.83","7.48","12.58","2.54","3.42",,"3.14","7.27","0"
"順位","12","17","17","1","2","16","11","5","17","2","23"

"令和元年度港区行政資料集　２３区勢一覧","Ver201903",,,,,,,,,,
