"年度","発生源別件数 建設作業[件]","発生源別件数 一般[件]","発生源別件数 合計[件]","現象別件数 大気汚染[件]","現象別件数 悪臭[件]","現象別件数 騒音[件]","現象別件数 振動[件]","現象別件数 その他[件]","現象別件数 合計[件]"
"2017","97","111","208","14","18","142","34","18","226"
"2018","144","125","269","25","42","169","17","19","272"
"2019","200","138","338","35","45","228","42","28","378"
"2020","266","218","484","31","53","360","52","47","543"
"2021","211","177","388","20","37","255","34","51","397"

"令和4年度港区行政資料集　公害苦情受付","Ver202203",,,,,,,,
