"年度","入館者数（延）[人]"
"2014","9865"
"2015","9759"
"2016","8799"
"2017","7534"
"2018","4459"

"令和元年度港区行政資料集　施設利用状況一覧 港郷土資料館入館者数","Ver201903"
