項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年増加率（％）,65歳未満（円）,65歳以上（円）,(再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,914,9086,5686
0,0,0,0,0,0,0,調査世帯数,241,-,20,220,139
0,0,0,0,0,0,0,世帯人員,2.34,-,2.66,2.31,2.3
0,0,0,0,0,0,0,有業人員,0.45,-,0.54,0.44,0.36
0,0,0,0,0,0,0,世帯主平均年齢,75.1,-,57.3,76.9,81.2
1,0,0,0,0,0,0,受取,659773,5.5,625371,663514,617176
1,1,0,0,0,0,0,実収入,223225,9.4,158907,229521,217764
1,2,0,0,0,0,0,経常収入,217352,10.3,148581,224120,213145
1,3,0,0,0,0,0,勤め先収入,25747,30.6,62696,22058,17369
1,4,0,0,0,0,0,世帯主収入,-,-,-,-,-
1,6,0,0,0,0,0,うち男,-,-,-,-,-
1,5,0,0,0,0,0,定期収入,-,-,-,-,-
1,5,0,0,0,0,0,臨時収入,-,-,-,-,-
1,5,0,0,0,0,0,賞与,-,-,-,-,-
1,4,0,0,0,0,0,世帯主の配偶者の収入,7776,14,21583,6410,497
1,6,0,0,0,0,0,うち女,7776,20.8,21583,6410,497
1,4,0,0,0,0,0,他の世帯員収入,17971,39.4,41113,15648,16871
1,3,0,0,0,0,0,事業・内職収入,5904,22.9,3618,6128,3532
1,4,0,0,0,0,0,家賃収入,3239,68.6,1301,3437,1698
1,4,0,0,0,0,0,他の事業収入,416,-47.1,-,456,639
1,4,0,0,0,0,0,内職収入,2248,7.4,2317,2235,1196
1,3,0,0,0,0,0,他の経常収入,185701,7.6,82268,195934,192244
1,4,0,0,0,0,0,財産収入,3772,-7.3,776,4067,3937
1,4,0,0,0,0,0,社会保障給付,180681,8.5,77771,190844,187379
1,5,0,0,0,0,0,公的年金給付,177573,7.7,58685,189331,186425
1,5,0,0,0,0,0,他の社会保障給付,3108,78,19087,1513,954
