項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,298,703,932,983,1212,694,1001,4177,2147
0,0,0,0,0,0,0,調査世帯数,699,-,21,50,61,71,82,51,71,292,151
0,0,0,0,0,0,0,世帯人員,2.94,-,3.23,3.55,3.74,3.7,3.22,3.1,2.76,2.39,2.34
0,0,0,0,0,0,0,有業人員,1.31,-,1.23,1.52,1.61,1.67,1.62,1.81,1.73,0.86,0.6
0,0,0,0,0,0,0,世帯主平均年齢,60.1,-,30.4,37.2,42.1,46.9,52.1,56.7,62,75.5,81.2
2,2,0,0,0,0,0,生計支出,358932,-2,352725,319417,329348,418883,359708,401877,390518,343594,339643
2,3,0,0,0,0,0,消費支出,358932,-2,352725,319417,329348,418883,359708,401877,390518,343594,339643
2,4,1,0,0,0,0,食料,113356,1.7,100579,93359,103403,114469,108646,120497,131483,115427,107900
2,5,1,1,0,0,0,穀類,7560,-5,6955,6099,7553,7709,7578,7677,7655,7769,7108
2,6,1,1,1,0,0,米類,1550,-16.7,1264,1042,1292,1314,1583,1476,1943,1678,1589
2,7,1,1,1,0,102,米,1550,-16.7,1264,1042,1292,1314,1583,1476,1943,1678,1589
2,6,1,1,2,0,0,パン,3132,5.7,3602,3105,3856,3462,3442,3260,2944,2797,2427
2,7,1,1,2,0,120,食パン,928,4.7,748,1023,1130,921,908,747,723,965,833
2,7,1,1,2,0,129,他のパン,2204,6.1,2853,2081,2726,2541,2533,2513,2221,1831,1594
2,6,1,1,3,0,0,麺類,1609,-10.1,1110,1301,1468,1855,1599,1791,1506,1667,1585
2,7,1,1,3,0,130,生うどん・そば,412,-0.7,346,380,356,364,369,420,429,452,456
2,7,1,1,3,0,131,乾うどん・そば,158,-44.2,-,19,164,130,156,81,127,219,201
2,7,1,1,3,0,134,スパゲッティ,107,-12.3,96,139,111,174,92,170,93,83,57
2,7,1,1,3,0,133,中華麺,324,-7.4,60,309,314,368,348,376,272,334,348
2,7,1,1,3,0,135,カップ麺,372,15.2,517,286,325,451,397,514,270,361,314
2,7,1,1,3,0,132,即席麺,157,-18.2,39,97,131,206,170,116,228,155,146
2,7,1,1,3,0,139,他の麺類,79,-24.8,51,71,66,161,66,114,87,63,62
2,6,1,1,4,0,0,他の穀類,1269,-5.3,980,651,937,1079,954,1149,1262,1626,1508
2,7,1,1,4,0,140,小麦粉,63,23.5,64,84,39,114,31,77,80,56,43
2,7,1,1,4,0,150,もち,985,-3.9,825,301,610,716,689,899,934,1370,1289
2,7,1,1,4,0,160,他の穀類のその他,222,-15.6,91,266,288,248,235,173,249,200,176
2,5,1,2,0,0,0,魚介類,10694,-3.9,4140,4065,5076,7232,9182,10321,13037,14284,14210
2,6,1,2,1,0,0,生鮮魚介,5760,0.4,2343,2542,2955,3872,5392,6567,6629,7381,6814
2,7,1,2,1,170-189,0,鮮魚,5264,0,2179,2426,2656,3674,4769,6146,5965,6747,6194
2,7,1,2,1,170-189,170,まぐろ,1021,-8,142,357,389,857,628,1642,1134,1358,1341
2,7,1,2,1,170-189,172,あじ,71,-15.5,59,44,16,20,101,35,146,81,117
2,7,1,2,1,170-189,173,いわし,35,2.9,-,22,-,36,39,36,24,48,49
2,7,1,2,1,170-189,174,かつお,48,-17.2,10,15,38,29,56,39,22,68,55
2,7,1,2,1,170-189,175,かれい,65,-3,38,20,69,58,17,46,65,92,104
2,7,1,2,1,170-189,176,さけ,439,-2.2,125,231,254,399,411,541,485,527,553
2,7,1,2,1,170-189,177,さば,72,-2.7,34,57,62,40,55,118,137,70,64
2,7,1,2,1,170-189,178,さんま,47,11.9,69,23,21,41,36,27,40,63,88
2,7,1,2,1,170-189,180,たい,110,27.9,62,137,26,29,64,193,58,158,114
2,7,1,2,1,170-189,181,ぶり,393,5.9,98,290,140,196,312,295,470,555,588
2,7,1,2,1,170-189,182,いか,159,13.6,145,19,52,70,114,202,161,233,218
2,7,1,2,1,170-189,183,たこ,249,27,30,47,138,154,241,269,313,329,271
2,7,1,2,1,170-189,185,えび,435,6.1,114,161,226,210,336,490,764,544,493
2,7,1,2,1,170-189,186,かに,722,-10.5,364,219,416,86,1077,1346,652,861,655
2,7,1,2,1,170-189,189,他の鮮魚,717,-3.8,548,473,518,981,509,378,687,877,627
2,7,1,2,1,170-189,187,さしみ盛合わせ,683,15.4,339,310,290,470,771,490,807,885,860
2,7,1,2,1,190-194,0,貝類,496,4.9,165,116,299,198,623,421,664,634,619
2,7,1,2,1,190-194,190,あさり,49,-12.5,11,20,42,52,52,71,85,44,46
2,7,1,2,1,190-194,192,しじみ,30,-41.2,-,16,28,18,25,17,18,44,65
2,7,1,2,1,190-194,191,かき(貝),184,1.7,58,75,170,84,168,131,150,260,274
2,7,1,2,1,190-194,194,ほたて貝,171,7.5,77,5,59,33,212,189,238,231,185
2,7,1,2,1,190-194,193,他の貝,63,133.3,19,-,-,11,165,13,173,54,51
2,6,1,2,2,0,0,塩干魚介,1747,5.2,447,576,752,1280,1149,1380,2252,2481,3116
2,7,1,2,2,0,195,塩さけ,224,-16.4,65,80,171,95,153,274,174,326,450
2,7,1,2,2,0,196,たらこ,235,11.9,42,48,92,155,190,181,231,355,538
2,7,1,2,2,0,197,しらす干し,158,-3.7,156,143,60,124,103,89,138,222,307
2,7,1,2,2,0,198,干しあじ,60,-11.8,22,15,20,61,20,49,120,79,98
2,7,1,2,2,0,202,他の塩干魚介,1069,12.3,162,290,409,845,682,788,1588,1499,1724
2,6,1,2,3,0,0,魚肉練製品,1639,-8.6,543,442,530,836,1168,1390,2188,2401,2376
2,7,1,2,3,0,203,揚げかまぼこ,169,-26.5,120,36,99,93,155,124,238,223,267
2,7,1,2,3,0,204,ちくわ,94,-26.6,26,55,42,57,58,81,152,125,153
2,7,1,2,3,0,205,かまぼこ,938,-5.3,186,253,251,476,562,709,1209,1451,1415
2,7,1,2,3,0,209,他の魚肉練製品,437,-1.6,211,97,138,210,393,475,589,602,540
2,6,1,2,4,0,0,他の魚介加工品,1548,-20.2,807,505,839,1244,1473,984,1968,2021,1904
2,7,1,2,4,0,210,かつお節・削り節,93,-25.6,97,45,49,121,61,151,76,108,111
2,7,1,2,4,0,213,魚介の漬物,590,-26.6,112,156,310,360,587,244,755,832,811
2,7,1,2,4,0,215,魚介のつくだ煮,192,-6.8,19,89,46,85,84,119,279,301,421
2,7,1,2,4,0,216,魚介の缶詰,276,-26,154,95,141,242,175,153,331,390,242
2,7,1,2,4,0,217,他の魚介加工品のその他,397,-8.1,425,120,293,437,567,316,526,389,320
2,5,1,3,0,0,0,肉類,10358,1.2,6203,6723,8364,11877,10744,14838,11963,10114,8993
2,6,1,3,1,0,0,生鮮肉,8487,3,5284,5530,6954,9941,9086,12310,9072,8264,7280
2,7,1,3,1,0,220,牛肉,3209,7.6,1289,955,2110,3238,2974,5038,3349,3695,3305
2,7,1,3,1,0,221,豚肉,2951,-1.3,2261,2702,2763,3815,3419,4338,3241,2446,2230
2,7,1,3,1,0,222,鶏肉,1842,-0.1,1354,1471,1749,2260,2078,2447,1955,1665,1464
2,7,1,3,1,0,22X,合いびき肉,220,15.2,262,158,188,333,289,244,197,189,115
2,7,1,3,1,0,224,他の生鮮肉,264,11.4,118,244,144,294,326,243,330,269,166
2,6,1,3,2,0,0,加工肉,1872,-5.9,919,1193,1411,1937,1658,2528,2892,1850,1712
2,7,1,3,2,0,225,ハム,840,-6.9,339,294,464,611,584,1254,1598,929,953
2,7,1,3,2,0,226,ソーセージ,595,-4.2,370,681,607,770,608,753,774,479,403
2,7,1,3,2,0,227,ベーコン,269,0,124,181,186,352,251,307,229,300,225
2,7,1,3,2,0,229,他の加工肉,169,-13.8,87,36,154,203,215,214,291,142,131
2,5,1,4,0,0,0,乳卵類,4535,7.5,4974,4404,4475,4680,4036,4048,5139,4587,4538
2,6,1,4,1,0,230,牛乳,1289,11.2,1545,1269,1453,1442,1217,1006,1217,1287,1351
2,6,1,4,2,0,0,乳製品,2398,5.7,2780,2363,2257,2445,2094,2137,2931,2401,2325
2,7,1,4,2,0,231,粉ミルク,57,18.8,585,293,103,-,45,-,8,8,10
2,7,1,4,2,0,232,ヨーグルト,1194,2.3,1233,963,1063,852,1032,937,1334,1396,1339
2,7,1,4,2,0,233,バター,148,-6.9,145,224,92,202,156,57,161,144,138
2,7,1,4,2,0,234,チーズ,885,9.9,682,805,816,1248,785,965,1338,751,728
2,7,1,4,2,0,235,他の乳製品,114,25.3,135,77,182,143,76,178,89,102,110
2,6,1,4,3,0,238,卵,848,7.5,649,771,765,793,726,905,991,899,863
2,5,1,5,0,0,0,野菜・海藻,11651,-1.8,7366,6695,7813,9528,9470,10999,14107,14299,14192
2,6,1,5,1,0,0,生鮮野菜,7573,2,5395,4804,5372,6553,6285,7552,8902,8983,8829
2,7,1,5,1,240-249,0,葉茎菜,2535,8.1,1790,1548,1688,2238,2231,2619,3326,2898,2737
2,7,1,5,1,240-249,240,キャベツ,209,12.4,91,167,152,179,198,215,274,231,239
2,7,1,5,1,240-249,241,ほうれんそう,244,0.4,130,141,185,172,207,223,339,290,319
2,7,1,5,1,240-249,242,はくさい,218,20.4,201,151,172,218,179,196,252,248,247
2,7,1,5,1,240-249,243,ねぎ,440,8.1,333,279,253,467,383,522,551,486,460
2,7,1,5,1,240-249,244,レタス,268,18.1,200,112,164,247,277,229,327,318,268
2,7,1,5,1,240-249,247,ブロッコリー,306,17.7,313,246,239,193,309,348,383,332,296
2,7,1,5,1,240-249,245,もやし,78,5.4,58,69,99,87,88,72,85,71,69
2,7,1,5,1,240-249,249,他の葉茎菜,772,0.8,463,383,425,675,591,813,1116,922,837
2,7,1,5,1,250-259 25X,0,根菜,2150,-4.2,1629,1205,1653,1910,1786,2031,2461,2564,2540
2,7,1,5,1,250-259 25X,250,さつまいも,149,-6.3,142,80,134,114,110,127,124,193,201
2,7,1,5,1,250-259 25X,251,じゃがいも,214,-3.2,194,130,192,219,193,215,260,228,228
2,7,1,5,1,250-259 25X,252,さといも,242,5.2,71,65,106,165,171,177,318,346,400
2,7,1,5,1,250-259 25X,253,だいこん,227,16.4,162,134,189,183,193,233,244,272,271
2,7,1,5,1,250-259 25X,254,にんじん,266,-5,302,242,262,258,224,272,325,268,264
2,7,1,5,1,250-259 25X,255,ごぼう,130,-18.8,112,28,77,86,123,145,141,168,174
2,7,1,5,1,250-259 25X,256,たまねぎ,251,-14.9,229,224,280,296,256,275,243,237,227
2,7,1,5,1,250-259 25X,258,れんこん,190,-8.7,133,67,98,188,181,170,204,239,236
2,7,1,5,1,250-259 25X,25X,たけのこ,140,-9.1,26,42,48,117,97,134,230,182,148
2,7,1,5,1,250-259 25X,259,他の根菜,340,-1.2,259,192,268,284,238,284,372,432,391
2,7,1,5,1,260-269 26B 26X,0,他の野菜,2888,1.9,1976,2050,2031,2406,2268,2902,3115,3521,3552
