年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成24年平均,55.6,47.9,46,48.4,54,58.2,59.1,64.5
nen,平成25年平均,54.5,48.1,46.2,47.4,52.5,56.3,60.9,61.2
nen,平成26年平均,53.9,44.3,47,50.3,54.7,55.2,58.3,59.9
nen,平成27年平均,52.2,42.8,43.7,46.4,51.8,52.6,56.6,60.9
nen,平成28年平均,53,48,47.7,45.4,52.4,53.5,57.7,59
nen,平成29年平均,54,41.7,45.6,45.9,54.1,56.9,61.4,61.8
nen,平成30年平均,52.7,39.1,41,48,52.2,55.4,56.9,62.7
tuki,平成30年 5月,53.2,39.7,47.4,48,49.1,55,58.4,63.7
tuki,平成30年 6月,50,39.1,44.6,43.4,50.8,53.4,53,56.6
tuki,平成30年 7月,53.4,32.6,40.9,49.4,50.2,57.1,66.7,60.7
tuki,平成30年 8月,50.5,37.3,35.8,41.4,51.9,54.6,53.5,63.8
tuki,平成30年 9月,52.5,41.3,41.4,46.1,50.5,57.9,58.3,60.9
tuki,平成30年10月,54.6,41.4,47.7,50.1,52.2,57.5,59.6,62.4
tuki,平成30年11月,52.6,42.3,42,48.3,51.8,51.1,57.7,62.2
tuki,平成30年12月,52.1,46.1,36.3,46.3,52.1,60.3,51.8,61.1
tuki,平成31年 1月,53.4,44.3,42.9,54.4,52.9,53.1,54.6,61.8
tuki,平成31年 2月,51.2,43,37.7,53.3,48.3,54.7,56.8,56.9
tuki,平成31年 3月,53.8,38.5,47.7,48.2,56.1,57.9,59.5,58.8
tuki,平成31年 4月,56.6,43.8,44.9,48.7,52.4,63.6,66.5,61.6
tuki,令和元年 5月,57.2,39.9,54,49.3,58.2,63.1,57.7,67.1
,,,,,,,,,
東京都生計分析調査　令和元年 5月,,,,,,,,,
主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,,,
選択的支出係数　　　〔＝（選択的支出÷消費支出） ×１００〕,,,,,,,,,
