項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,701,-,-,93,-,101,-,102,-,103,-,104,-,98,-,100,-
0,0,0,0,0,世帯人員,2.98,-,-,2.64,-,2.59,-,3.07,-,3.04,-,3.13,-,3.17,-,3.2,-
0,0,0,0,0,有業人員,1.31,-,-,1.14,-,1.07,-,1.28,-,1.29,-,1.34,-,1.52,-,1.52,-
0,0,0,0,0,世帯主平均年齢,60.2,-,-,66.4,-,64.5,-,62,-,56.8,-,57.9,-,55.8,-,58,-
2,2,0,0,0,生計支出,308260,-,-5.8,98329,-,153555,-,205042,-,250902,-,312972,-,392346,-,739096,-
2,3,0,0,0,消費支出,308260,100,-5.8,98329,100,153555,100,205042,100,250902,100,312972,100,392346,100,739096,100
2,4,1,0,0,食料,87126,28.3,-0.3,50531,51.4,63329,41.2,77859,38,82011,32.7,102549,32.8,104959,26.8,128192,17.3
2,5,1,1,0,穀類,7012,2.3,4.7,4342,4.4,5172,3.4,7036,3.4,6880,2.7,8440,2.7,8469,2.2,8727,1.2
2,6,1,1,1,米類,1963,0.6,-3.4,906,0.9,1333,0.9,2229,1.1,1490,0.6,3140,1,2607,0.7,2046,0.3
2,6,1,1,2,パン,3172,1,8.5,1995,2,2211,1.4,2926,1.4,3395,1.4,3473,1.1,3697,0.9,4492,0.6
2,6,1,1,3,麺類,1457,0.5,11.6,1132,1.2,1317,0.9,1484,0.7,1506,0.6,1448,0.5,1645,0.4,1666,0.2
2,6,1,1,4,他の穀類,419,0.1,-3.5,310,0.3,311,0.2,397,0.2,489,0.2,380,0.1,520,0.1,524,0.1
2,5,1,2,0,魚介類,5997,1.9,-2.8,4784,4.9,5212,3.4,6032,2.9,5122,2,6981,2.2,6544,1.7,7294,1
