項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,703,-,-,96,-,101,-,102,-,104,-,104,-,101,-,96,-
0,0,0,0,0,世帯人員,2.92,-,-,2.51,-,2.74,-,2.85,-,2.98,-,3.02,-,3.16,-,3.21,-
0,0,0,0,0,有業人員,1.31,-,-,1.02,-,1.21,-,1.29,-,1.29,-,1.35,-,1.49,-,1.49,-
0,0,0,0,0,世帯主平均年齢,60.8,-,-,66.5,-,64.3,-,61.9,-,60,-,59,-,56.6,-,57.7,-
2,2,0,0,0,生計支出,330278,-,2.1,101935,-,165826,-,216275,-,267102,-,329864,-,425582,-,805088,-
2,3,0,0,0,消費支出,326563,100,1.3,101935,100,165826,100,216275,100,267102,100,329864,100,425582,100,778973,100
2,4,1,0,0,食料,87921,26.9,2.1,50318,49.4,67897,40.9,78550,36.3,86195,32.3,96698,29.3,107495,25.3,128063,16.4
2,5,1,1,0,穀類,6769,2.1,1.9,4769,4.7,5981,3.6,6504,3,6990,2.6,7146,2.2,7820,1.8,8162,1
2,6,1,1,1,米類,1867,0.6,-2.8,1444,1.4,1804,1.1,1785,0.8,1928,0.7,1902,0.6,2150,0.5,2060,0.3
2,6,1,1,2,パン,3042,0.9,5.5,2011,2,2541,1.5,2890,1.3,3139,1.2,3277,1,3586,0.8,3843,0.5
2,6,1,1,3,麺類,1388,0.4,2.5,1054,1,1254,0.8,1378,0.6,1426,0.5,1464,0.4,1563,0.4,1575,0.2
2,6,1,1,4,他の穀類,472,0.1,-3.1,259,0.3,381,0.2,451,0.2,496,0.2,504,0.2,521,0.1,684,0.1
2,5,1,2,0,魚介類,6282,1.9,-0.3,4548,4.5,5674,3.4,6150,2.8,6261,2.3,6740,2,6566,1.5,7998,1
2,6,1,2,1,生鮮魚介,3710,1.1,1.6,2606,2.6,3268,2,3712,1.7,3776,1.4,3959,1.2,3806,0.9,4828,0.6
2,6,1,2,2,塩干魚介,1072,0.3,-3.9,841,0.8,1082,0.7,1029,0.5,982,0.4,1155,0.4,1128,0.3,1284,0.2
2,6,1,2,3,魚肉練製品,597,0.2,-4.6,498,0.5,574,0.3,571,0.3,561,0.2,647,0.2,612,0.1,708,0.1
2,6,1,2,4,他の魚介加工品,902,0.3,-0.4,603,0.6,750,0.5,838,0.4,942,0.4,979,0.3,1021,0.2,1178,0.2
2,5,1,3,0,肉類,7693,2.4,-1.4,4570,4.5,6235,3.8,7159,3.3,7822,2.9,8369,2.5,8968,2.1,10688,1.4
2,6,1,3,1,生鮮肉,6264,1.9,-1.4,3672,3.6,5003,3,5780,2.7,6401,2.4,6830,2.1,7330,1.7,8799,1.1
2,6,1,3,2,加工肉,1429,0.4,-1.9,898,0.9,1231,0.7,1379,0.6,1422,0.5,1540,0.5,1638,0.4,1889,0.2
2,5,1,4,0,乳卵類,4173,1.3,1.1,2604,2.6,3423,2.1,3844,1.8,4194,1.6,4616,1.4,5063,1.2,5460,0.7
2,6,1,4,1,牛乳,1348,0.4,4.4,826,0.8,1088,0.7,1230,0.6,1412,0.5,1534,0.5,1647,0.4,1695,0.2
2,6,1,4,2,乳製品,2049,0.6,-1.3,1214,1.2,1652,1,1858,0.9,2016,0.8,2239,0.7,2549,0.6,2809,0.4
2,6,1,4,3,卵,777,0.2,2.2,563,0.6,684,0.4,756,0.3,765,0.3,843,0.3,868,0.2,956,0.1
2,5,1,5,0,野菜・海藻,10027,3.1,-5,7384,7.2,8972,5.4,9749,4.5,9831,3.7,10805,3.3,11045,2.6,12392,1.6
2,6,1,5,1,生鮮野菜,6910,2.1,-6.4,5031,4.9,6054,3.7,6668,3.1,6807,2.5,7498,2.3,7663,1.8,8645,1.1
2,6,1,5,2,乾物・海藻,783,0.2,0.8,519,0.5,688,0.4,800,0.4,728,0.3,860,0.3,899,0.2,985,0.1
2,6,1,5,3,大豆加工品,1135,0.3,-1.8,928,0.9,1066,0.6,1111,0.5,1099,0.4,1193,0.4,1240,0.3,1305,0.2
2,6,1,5,4,他の野菜・海藻加工品,1199,0.4,-3.1,906,0.9,1165,0.7,1169,0.5,1197,0.4,1254,0.4,1243,0.3,1457,0.2
2,5,1,6,0,果物,3469,1.1,0.9,2348,2.3,3212,1.9,3344,1.5,3406,1.3,3793,1.1,3889,0.9,4291,0.6
2,6,1,6,1,生鮮果物,3102,0.9,0.4,2159,2.1,2917,1.8,2985,1.4,3044,1.1,3376,1,3447,0.8,3789,0.5
2,6,1,6,2,果物加工品,367,0.1,5.8,189,0.2,295,0.2,359,0.2,362,0.1,418,0.1,442,0.1,503,0.1
2,5,1,7,0,油脂・調味料,3637,1.1,0,2415,2.4,3018,1.8,3372,1.6,3662,1.4,4026,1.2,4197,1,4753,0.6
2,6,1,7,1,油脂,379,0.1,1.3,248,0.2,316,0.2,361,0.2,385,0.1,420,0.1,429,0.1,497,0.1
2,6,1,7,2,調味料,3258,1,-0.2,2168,2.1,2703,1.6,3011,1.4,3277,1.2,3606,1.1,3768,0.9,4256,0.5
2,5,1,8,0,菓子類,6500,2,6.2,3617,3.5,5241,3.2,5845,2.7,6394,2.4,7029,2.1,8077,1.9,9272,1.2
2,5,1,9,0,調理食品,12166,3.7,4.4,8234,8.1,10142,6.1,11294,5.2,12269,4.6,13152,4,14136,3.3,15892,2
2,6,1,9,1,主食的調理食品,5144,1.6,4.8,3531,3.5,4289,2.6,4983,2.3,5283,2,5542,1.7,5846,1.4,6533,0.8
2,6,1,9,2,他の調理食品,7021,2.1,4.1,4703,4.6,5853,3.5,6312,2.9,6985,2.6,7609,2.3,8290,1.9,9359,1.2
2,5,1,10,0,飲料,4973,1.5,1.6,2763,2.7,3747,2.3,4564,2.1,4983,1.9,5454,1.7,6336,1.5,6974,0.9
2,6,1,10,1,茶類,1240,0.4,-1.2,704,0.7,936,0.6,1225,0.6,1260,0.5,1329,0.4,1510,0.4,1713,0.2
2,6,1,10,2,コーヒー・ココア,947,0.3,-2,560,0.5,705,0.4,842,0.4,983,0.4,1054,0.3,1113,0.3,1371,0.2
2,6,1,10,3,他の飲料,2786,0.9,4.2,1499,1.5,2106,1.3,2497,1.2,2740,1,3071,0.9,3714,0.9,3891,0.5
2,5,1,11,0,酒類,3575,1.1,11,1771,1.7,2848,1.7,3083,1.4,3606,1.4,4176,1.3,4381,1,5155,0.7
2,5,1,12,0,外食,18658,5.7,5.3,5296,5.2,9403,5.7,13644,6.3,16778,6.3,21391,6.5,27016,6.3,37024,4.8
2,6,1,12,1,一般外食,17845,5.5,5.8,5150,5.1,8982,5.4,12930,6,15847,5.9,20459,6.2,25421,6,36083,4.6
2,6,1,12,2,学校給食,812,0.2,-3.7,146,0.1,421,0.3,714,0.3,931,0.3,932,0.3,1595,0.4,941,0.1
2,4,2,0,0,住居,23613,7.2,-1.4,2538,2.5,6500,3.9,11045,5.1,14537,5.4,18307,5.5,30515,7.2,81549,10.5
2,5,2,1,0,家賃地代,13606,4.2,-8,2262,2.2,5338,3.2,9865,4.6,11799,4.4,14592,4.4,24299,5.7,27114,3.5
2,5,2,2,0,設備修繕・維持,10008,3.1,9.2,276,0.3,1162,0.7,1180,0.5,2738,1,3715,1.1,6216,1.5,54435,7
2,6,2,2,1,設備材料,3181,1,19.9,86,0.1,223,0.1,362,0.2,701,0.3,796,0.2,2812,0.7,17178,2.2
2,6,2,2,2,工事その他のサービス,6827,2.1,4.9,191,0.2,939,0.6,818,0.4,2038,0.8,2919,0.9,3404,0.8,37256,4.8
2,4,3,0,0,光熱・水道,21274,6.5,-0.5,12500,12.3,18316,11,21225,9.8,22590,8.5,23196,7,25143,5.9,26011,3.3
