項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年増加率（％）,第1階層／実数（円）,第2階層／実数（円）,第3階層／実数（円）,第4階層／実数（円）,第5階層／実数（円）,第6階層／実数（円）,第7階層／実数（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,1429,1429,1429,1429,1429,1429,1429
0,0,0,0,0,0,0,調査世帯数,360,-,51,52,53,53,52,52,48
0,0,0,0,0,0,0,世帯人員,3.3,-,2.92,2.92,3.36,3.5,3.5,3.44,3.47
0,0,0,0,0,0,0,有業人員,1.7,-,1.51,1.54,1.58,1.69,1.76,1.93,1.86
0,0,0,0,0,0,0,世帯主平均年齢,50.5,-,58.2,53.7,47.1,48.2,48,49.8,48.8
1,0,0,0,0,0,0,受取,1301276,10.3,598599,776734,989959,1089191,1488077,1598093,2554731
1,1,0,0,0,0,0,実収入,673468,6.5,167365,333460,458414,541427,668844,848902,1685572
1,2,0,0,0,0,0,経常収入,662685,5.8,163460,324830,438027,533661,658848,836422,1673252
1,3,0,0,0,0,0,勤め先収入,624865,5.5,78475,268864,400978,515561,638004,817017,1645087
1,4,0,0,0,0,0,世帯主収入,523034,3.8,73755,252705,367188,445295,523681,638947,1351396
1,6,0,0,0,0,0,うち男,497805,3.4,53466,214111,340793,417882,514521,622753,1313717
1,5,0,0,0,0,0,定期収入,420967,2.7,73272,250808,361477,437583,508319,594541,718662
1,5,0,0,0,0,0,臨時収入,5651,1.4,177,1417,3062,4913,8292,9782,11939
1,5,0,0,0,0,0,賞与,96417,9.1,306,479,2649,2799,7070,34623,620795
1,4,0,0,0,0,0,世帯主の配偶者の収入,88364,14.4,3899,14015,31186,60370,98095,149164,260469
1,6,0,0,0,0,0,うち女,86739,12.8,3899,14015,30770,58096,96094,149164,253832
1,4,0,0,0,0,0,他の世帯員収入,13466,20.9,821,2145,2603,9896,16228,28907,33222
1,3,0,0,0,0,0,事業・内職収入,7518,-2,13424,4426,5331,3570,4241,7883,13723
1,4,0,0,0,0,0,家賃収入,3398,-18.1,6114,472,3497,994,3655,3994,5110
1,4,0,0,0,0,0,他の事業収入,2593,-2,6647,3665,1416,606,99,3176,2483
1,4,0,0,0,0,0,内職収入,1527,74.7,663,288,418,1969,487,713,6130
1,3,0,0,0,0,0,他の経常収入,30302,12.6,71562,51540,31718,14531,16603,11522,14442
1,4,0,0,0,0,0,財産収入,1543,137.8,3018,858,2812,1273,288,171,2326
1,4,0,0,0,0,0,社会保障給付,28658,10.4,68320,50432,28811,13247,16293,11253,12094
1,5,0,0,0,0,0,公的年金給付,20220,21.2,63116,40426,14613,4486,8844,5982,3915
1,5,0,0,0,0,0,他の社会保障給付,8438,-9,5205,10006,14198,8761,7448,5270,8179
1,4,0,0,0,0,0,仕送り金,102,-67.7,224,250,94,11,22,98,22
1,2,0,0,0,0,0,特別収入,10783,87.3,3905,8629,20387,7765,9997,12480,12319
1,3,0,0,0,0,0,受贈金,2483,28.7,1299,2149,1238,2131,4305,5160,1144
1,3,0,0,0,0,0,他の特別収入,8300,116.8,2606,6481,19149,5634,5692,7320,11176
1,1,0,0,0,0,0,実収入以外の受取(繰入金を除く),512442,9.6,350967,368018,414065,464703,616507,634262,735600
1,2,0,0,0,0,0,預貯金引出,386430,2.5,265021,276148,311196,356463,479762,468611,546517
1,2,0,0,0,0,0,保険金,8852,139.6,13979,8157,5878,8829,13751,3636,7364
1,3,0,0,0,0,0,個人・企業年金保険金,4836,40.7,7846,8157,2294,6331,2834,3004,3233
1,3,0,0,0,0,0,他の保険金,4016,...,6133,-,3585,2498,10917,633,4131
1,2,0,0,0,0,0,有価証券売却,1468,859.5,-,-,6753,-,364,-,2962
1,2,0,0,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-
1,2,0,0,0,0,0,他の借入金,144,-52.2,26,56,524,-,100,156,152
1,2,0,0,0,0,0,分割払購入借入金,4529,17.1,515,8760,3296,1327,347,10176,6921
1,2,0,0,0,0,0,一括払購入借入金,110187,34.5,71084,74754,86137,97761,121521,151296,167963
1,2,0,0,0,0,0,土地家屋売却,384,...,-,-,-,-,-,-,2725
1,2,0,0,0,0,0,実収入以外の受取のその他,448,17,341,143,280,324,662,386,997
1,1,0,0,0,0,0,繰入金,115365,43.8,80267,75256,117481,83061,202726,114929,133559
2,0,0,0,0,0,0,支払,1301276,10.3,598599,776734,989959,1089191,1488077,1598093,2554731
2,1,0,0,0,0,0,実支出,501987,3.8,297112,342362,369590,426832,581063,634110,858315
2,2,0,0,0,0,0,生計支出,368036,3.8,274632,295711,305871,326936,441995,451693,477774
2,3,0,0,0,0,0,消費支出,360606,1.9,274632,294955,305871,326936,394502,449303,476664
2,4,1,0,0,0,0,食料,94563,2.1,82023,84185,88296,87148,97269,107052,115561
2,5,1,1,0,0,0,穀類,7011,1.4,6276,6362,6928,7014,7395,7438,7632
2,6,1,1,1,0,0,米類,1842,2,1700,1810,1788,2022,1847,1886,1829
2,7,1,1,1,0,102,米,1842,2,1700,1810,1788,2022,1847,1886,1829
2,6,1,1,2,0,0,パン,3223,1.8,2800,2853,3204,3103,3494,3487,3611
2,7,1,1,2,0,120,食パン,926,6.8,903,722,847,931,1026,1050,997
2,7,1,1,2,0,129,他のパン,2297,-0.1,1897,2132,2357,2171,2468,2438,2614
2,6,1,1,3,0,0,麺類,1450,1.8,1343,1341,1426,1496,1545,1461,1530
2,7,1,1,3,0,130,生うどん・そば,237,-2.1,230,209,214,265,252,232,257
