実数・増減率,年次コード,年次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／食料／穀類（円）,実支出／生計支出／消費支出／食料／魚介類（円）,実支出／生計支出／消費支出／食料／肉類（円）,実支出／生計支出／消費支出／食料／乳卵類（円）,実支出／生計支出／消費支出／食料／野菜・海藻（円）,実支出／生計支出／消費支出／食料／果物（円）,実支出／生計支出／消費支出／食料／油脂・調味料（円）,実支出／生計支出／消費支出／食料／菓子類（円）,実支出／生計支出／消費支出／食料／調理食品（円）,実支出／生計支出／消費支出／食料／飲料（円）,実支出／生計支出／消費支出／食料／酒類（円）,実支出／生計支出／消費支出／食料／外食（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／住居／家賃地代（円）,実支出／生計支出／消費支出／住居／設備修繕・維持（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／光熱・水道／電気代（円）,実支出／生計支出／消費支出／光熱・水道／ガス代（円）,実支出／生計支出／消費支出／光熱・水道／他の光熱（円）,実支出／生計支出／消費支出／光熱・水道／上下水道料（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／家具・家事用品／家庭用耐久財（円）,実支出／生計支出／消費支出／家具・家事用品／室内装備・装飾品（円）,実支出／生計支出／消費支出／家具・家事用品／寝具類（円）,実支出／生計支出／消費支出／家具・家事用品／家事雑貨（円）,実支出／生計支出／消費支出／家具・家事用品／家事用消耗品（円）,実支出／生計支出／消費支出／家具・家事用品／家事サービス（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／被服及び履物／和服（円）,実支出／生計支出／消費支出／被服及び履物／洋服（円）,実支出／生計支出／消費支出／被服及び履物／シャツ・セーター類（円）,実支出／生計支出／消費支出／被服及び履物／下着類（円）,実支出／生計支出／消費支出／被服及び履物／生地・糸類（円）,実支出／生計支出／消費支出／被服及び履物／他の被服（円）,実支出／生計支出／消費支出／被服及び履物／履物類（円）,実支出／生計支出／消費支出／被服及び履物／被服関連サービス（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／保健医療／医薬品（円）,実支出／生計支出／消費支出／保健医療／健康保持用摂取品（円）,実支出／生計支出／消費支出／保健医療／保健医療用品 ・器具（円）,実支出／生計支出／消費支出／保健医療／保健医療サービス（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／交通・通信／交通（円）,実支出／生計支出／消費支出／交通・通信／自動車等関係費（円）,実支出／生計支出／消費支出／交通・通信／通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教育／授業料等（円）,実支出／生計支出／消費支出／教育／教科書・学習参考教材（円）,実支出／生計支出／消費支出／教育／補習教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／教養娯楽／教養娯楽用耐久財（円）,実支出／生計支出／消費支出／教養娯楽／教養娯楽用品（円）,実支出／生計支出／消費支出／教養娯楽／書籍・他の印刷物（円）,実支出／生計支出／消費支出／教養娯楽／教養娯楽サービス（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／消費支出／その他の消費支出／諸雑費（円）,実支出／生計支出／消費支出／その他の消費支出／こづかい（円）,実支出／生計支出／消費支出／その他の消費支出／交際費（円）,実支出／生計支出／消費支出／その他の消費支出／仕送り金（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,平均消費性向（％）,エンゲル係数（％）
Jissu,nen,実数_平成30年,245,2.37,0.48,74.6,204028,197084,19715,6824,12891,4802,172567,166602,6944,171995,302277,270245,267939,79253,6400,7733,7161,4119,12301,4439,3678,5339,10993,4254,2921,9915,20918,7399,13519,21723,10223,5803,457,5240,10204,3961,584,519,1751,2474,915,7394,135,2336,1591,821,147,635,989,741,16989,3209,1651,2085,10045,26120,5478,11938,8705,1247,1101,8,139,29761,1773,5203,4226,18560,54330,24628,5667,22954,1082,2306,32033,155.8,29.6
Jissu,nen,実数_平成31年・令和元年,241,2.34,0.45,75.1,223225,217352,25747,7776,17971,5904,185701,180681,5873,188050,304324,269148,269148,78516,6397,7235,6411,4064,10965,4104,3526,5664,11907,4335,3002,10905,18849,6061,12788,20576,9895,5657,494,4529,11172,4560,551,708,1772,2663,918,8897,332,2902,2136,848,166,760,1032,723,17761,3400,1683,2433,10245,25100,5657,10076,9367,2119,1699,11,409,31913,1897,6084,4497,19435,54246,23793,5861,23825,767,-,35175,143.1,29.2
Jissu,tuki,実数_平成31年 1月,236,2.34,0.45,74.6,58881,50741,21356,11337,10019,4840,24545,17091,8139,38644,279964,259727,259727,73564,5750,7085,6297,3617,9737,4211,3363,5480,11044,4254,2375,10352,23142,7231,15911,24623,10515,8601,1235,4272,7940,2901,355,493,1616,1953,622,6469,-,2085,1432,950,129,937,591,345,13976,3056,1221,1583,8116,21292,4421,7380,9490,105,101,-,3,27390,3445,3638,4353,15954,61227,22145,5210,33728,144,-,20237,672.1,28.3
Jissu,tuki,実数_平成31年 2月,245,2.31,0.4,74.9,389586,384815,18891,9193,9698,4302,361622,355841,4771,345409,300081,255904,255904,69368,5836,6743,5958,3406,9858,4084,3633,5350,10491,3395,2384,8230,19510,7371,12138,28069,12882,8889,1105,5193,9386,5104,230,107,1583,1972,391,4854,69,1628,953,375,120,570,612,526,13896,2786,937,1727,8445,33827,4601,20585,8641,2527,2519,5,3,26649,1266,4006,4166,17211,47819,20723,8763,18017,315,-,44177,74.1,27.1
Jissu,tuki,実数_平成31年 3月,243,2.32,0.41,74.9,53810,41810,21761,7864,13896,5287,14762,11612,11999,38566,281797,266554,266554,78773,6794,7356,6678,4030,10701,4107,3737,6116,11330,3858,3002,11064,9642,6060,3583,25724,12469,8417,692,4147,10885,5425,306,784,1690,2325,354,7054,-,3296,1078,506,252,427,951,544,16574,3011,1228,2407,9928,19872,6516,5518,7838,5123,322,27,4775,34474,1231,5533,4509,23201,58431,23883,5564,28814,170,-,15243,691.2,29.6
Jissu,tuki,実数_平成31年 4月,249,2.34,0.42,75.6,403871,397861,23456,7519,15936,5744,368661,363069,6010,363561,295113,254803,254803,78460,7165,7494,6583,3936,11088,3726,3476,5950,11178,4194,2934,10735,9492,5406,4086,23644,11340,6955,407,4942,7022,595,157,626,1475,2292,1878,8609,-,2802,1780,932,164,754,1102,1077,17637,3806,1299,1218,11314,21829,5685,8200,7944,5244,5200,41,3,30019,823,6117,4094,18985,52847,20389,7022,25310,126,-,40309,70.1,30.8
Jissu,tuki,実数_令和元年 5月,254,2.37,0.46,75.4,44742,40811,23907,6965,16941,6678,10227,3343,3931,8410,314249,277917,277917,81102,6990,7204,6819,4217,11381,3647,3347,6284,11735,5191,3104,11183,15828,8638,7190,21581,10495,7119,156,3811,8883,1943,337,909,1682,2952,1060,9813,219,2260,3291,919,203,748,861,1313,17939,3141,2958,3590,8251,26831,6341,9491,10999,8655,8649,6,-,35947,1672,5919,5126,23230,51337,22579,4690,23625,443,-,36332,3304.6,29.2
Jissu,tuki,実数_令和元年 6月,251,2.36,0.45,75.5,438957,436088,48762,9223,39539,6883,380443,369329,2869,365604,333216,259863,259863,76991,6754,6982,6245,4015,11559,3474,3452,5300,11163,4557,3130,10360,13800,6032,7768,18048,8040,4468,231,5309,10279,4249,415,343,1845,2754,673,13332,-,4848,4035,988,128,937,1325,1070,18361,3617,2113,1598,11034,19925,5263,6749,7913,558,544,-,14,31968,1731,6004,4208,20024,56602,24948,7606,23946,103,-,73353,71.1,29.6
Jissu,tuki,実数_令和元年 7月,242,2.33,0.44,75.3,41375,37339,21040,4876,16163,7319,8981,6124,4035,5804,328752,293181,293181,77905,6219,6058,6136,4153,10887,4034,3373,5652,11855,4552,3055,11930,33765,6167,27599,15912,7826,4120,120,3846,11415,5332,356,448,1417,2989,873,10593,-,3891,2715,883,177,770,1396,761,20135,3617,2289,4287,9942,37241,5376,20692,11174,56,46,10,-,31930,921,6542,4619,19849,54228,24657,4773,22814,1985,-,35571,5051.4,26.6
Jissu,tuki,実数_令和元年 8月,234,2.34,0.44,75.3,405339,398498,25007,6298,18709,5782,367710,363340,6840,364392,313486,272539,272539,79230,6076,6486,6431,4323,10760,4387,3036,5670,12089,4944,3328,11700,25329,3899,21431,17710,8814,3503,133,5261,12195,5845,233,519,1760,3122,715,8736,1149,2663,1687,848,266,696,982,445,18671,3258,1534,1546,12334,21237,5392,7366,8479,3010,3009,1,-,30153,1583,5055,4680,18836,56267,24769,6403,24380,715,-,40947,74.8,29.1
Jissu,tuki,実数_令和元年 9月,240,2.36,0.48,74.7,43451,36616,27267,8744,18523,4759,4589,3234,6835,24982,283063,264595,264595,77223,5874,6301,5696,4136,10761,4436,3393,5384,11685,4689,3884,10986,14326,5009,9317,17728,10638,2944,135,4012,16273,7647,777,532,2300,3849,1167,7141,16,2254,1569,1073,88,494,1154,494,18260,3809,2003,2312,10136,26298,7636,8104,10558,-,-,-,-,31331,3892,6265,4390,16784,56015,27463,4865,21316,2371,-,18469,1059.1,29.2
Jissu,tuki,実数_令和元年10月,235,2.36,0.48,74.3,384263,380994,27655,8778,18877,6306,347034,344601,3268,337881,290684,244302,244302,76126,6065,6431,5945,4208,10703,4157,3484,4919,12391,4161,2602,11059,14175,4761,9414,17007,8973,3095,135,4805,15915,8305,540,2130,1718,2267,955,8951,1910,2643,1505,552,184,704,846,606,17794,3228,1912,1301,11352,22054,5611,6607,9836,16,-,16,-,32254,2875,5271,4450,19658,40011,17963,5325,15335,1388,-,46382,72.3,31.2
Jissu,tuki,実数_令和元年11月,228,2.34,0.44,75.1,35791,32395,22397,7127,15270,6516,3482,1623,3396,27881,251054,243144,243144,75563,6112,6480,5792,4245,10553,4027,3557,5146,11797,3956,2791,11109,10005,3137,6869,16437,7842,4285,512,3798,9343,2875,593,948,1751,2271,905,11360,620,3651,2484,1041,121,999,1498,946,17248,3737,1559,1306,10647,21528,5492,6770,9267,18,-,18,-,33034,1254,5760,4399,21621,48608,22177,5052,20433,946,-,7910,872.1,31.1
Jissu,tuki,実数_令和元年12月,230,2.33,0.47,75.6,378636,370257,27468,5383,22086,6429,336359,328960,8379,335462,380425,337251,337251,97883,7123,12204,8350,4486,13589,4958,4465,6711,16129,4274,3440,12155,37177,9026,28151,20423,8909,5486,1071,4957,14523,4495,2312,653,2427,3211,1426,9850,-,2797,3101,1113,154,1078,1060,548,22646,3733,1146,6324,11443,29269,5551,13452,10267,119,-,7,113,37801,2066,12893,4975,17867,67560,33823,5056,28179,502,-,43174,100.5,29
meimoku,nen,対前年（同月）名目増加率_平成20年,-,-,-,-,-14.8,-14.8,-50,-38.3,-57.6,-16.3,-10.1,-8.9,-14.9,-15.2,-6.4,-5.6,-6.2,-2.3,0.2,-0.8,11.3,-2.4,0.5,3.1,-2.5,1.3,0.5,-5.4,-5.6,-18.8,-19,-28.5,-9.3,4.1,4.4,8.8,1.1,-1.2,3,30.3,-53.7,3.8,-0.2,-3.2,-11.6,-21.7,-78.8,-23.9,-15.2,-10.8,-21.5,-19.2,-24.5,-11.7,-12.8,10.5,20.3,-28.3,-16.8,-0.2,-4.9,3.8,0.2,-3.3,15.9,-20.7,-83.6,-5.8,-3.4,-6.7,0.1,-7.1,-8.3,-12.4,-14,-6.9,85.4,173.8,-12.8,,
meimoku,nen,対前年（同月）名目増加率_平成21年,-,-,-,-,18.5,17.8,26.3,29.2,23.6,26.9,16.8,16.9,37.8,21.4,5.2,5.3,6.3,2.5,3.4,-5,-9.5,2.8,-4.7,-3.8,4.5,7,2.1,5.4,16.5,21.8,28.5,8.3,45,-2.5,-4.1,0,-21.7,-0.7,4.2,3,65.6,7.3,-9.3,3.8,6.3,0.9,69.2,-3.5,-2.5,-2.5,-16,7.8,14.1,3.5,4.8,24.1,-11.8,18.1,1.6,15.7,13.4,27.7,6,-73.5,-75.6,-56.5,-27.3,-0.1,11.6,0,4.4,-2.7,11.6,26.1,8.3,6,-45.6,-91.2,4.3,,
meimoku,nen,対前年（同月）名目増加率_平成22年,-,-,-,-,-7.4,-6.5,27.5,-4.6,58.9,-32.1,-8.1,-8,-28.9,-9.4,-2.6,-3.3,-4,-2.4,-2.5,-5.6,0.5,0.6,4.3,1.6,-4.9,2.1,1,-4.9,-15.8,-10.1,-9.1,-2.2,-13.3,1.4,3.9,-2.5,25.2,-0.2,-7.1,-11.9,15.1,-43.8,1,-4.5,2.7,-11.2,-51.9,-6.4,-10,-5.5,-19,-15.1,-12,-21.2,-7.3,13.5,-11.8,-17.9,-9.4,2.1,-14.8,16,1.1,400.8,357.2,160,...,3.3,42.8,-5.3,-1.2,0.8,-11.6,-20.5,-7.2,-7.9,70.1,769.1,3.5,,
meimoku,nen,対前年（同月）名目増加率_平成23年,-,-,-,-,0.3,0.7,-14.2,7.6,-27.1,23.3,1.6,2.2,-12.9,1.5,2.6,3.6,-1.4,2.6,-1.2,2,5.2,-3.4,1.1,4,6.1,-2.9,2.8,9.7,3.5,6.4,-10.9,-4.1,-15.6,-7,-7.4,-7.3,15.6,-8,6.9,5.5,0.5,62.1,9,5.2,-4.6,3.8,-21.8,6.9,1.2,-2.3,43.9,7.3,-4.4,9,3.9,6.1,14.5,2.5,2.1,-9.9,-0.1,-23.1,0.3,-7,1.3,-59.6,-34.8,-6.8,-38.3,4.2,-7.5,-2.5,2.4,3.1,0.3,4.3,-23.4,623.2,-5.6,,
meimoku,nen,対前年（同月）名目増加率_平成24年,-,-,-,-,-2.5,-2.6,18.8,10.6,25.9,-5.4,-4.5,-4.2,1.5,-2.1,-1.9,-1.6,3.5,2,1.4,-0.6,-1.9,6.3,-2.8,-0.7,1.6,0.3,10.2,8.5,5.9,1.7,23.8,4.7,38.7,12.1,10.4,20.3,19,4.2,-4,-23.9,6.2,3.7,7.9,11.5,9,5,16.2,0.2,2,25.1,1.6,17.2,2.2,-0.2,4.3,1.8,8.1,5.2,4.4,10.9,2.5,27.9,-0.4,83.2,61.8,119,219.7,-7,-21.3,-7.2,2.2,-7.1,-2.2,6,-11.9,-4.8,-24.9,-87.9,-4.6,,
meimoku,nen,対前年（同月）名目増加率_平成25年,-,-,-,-,1.6,0.1,0.4,-32.5,25.5,11.1,-0.3,0.2,52.1,-0.5,3.4,2.4,3,-0.8,-3.1,-2.1,3.4,0.9,0.8,0.9,-1.3,-2.2,-8.6,-2.9,13.6,1.6,9.6,0.8,14.7,4.1,12.7,-4,-19.5,2.5,7,33.8,-9,50.7,-18.5,-6.2,-4.7,-0.9,72.2,-6.2,13.5,-15.5,-12.4,-8.8,28.2,-22.8,1.2,-1.2,7.1,20.3,-2.4,1.5,-0.6,6.9,-4,-64.7,-68.8,-26.1,-53.5,5,-3.4,-2.4,-5.6,10.4,8.6,15.1,-12.2,9,-11.7,-79.3,12.4,,
meimoku,nen,対前年（同月）名目増加率_平成26年,-,-,-,-,-4.3,-2.7,-3.1,-39,11.7,19.5,-3.7,-5.8,-41.3,-3.9,-2.9,-2.4,-4.1,1.3,-1.5,-1.5,10,7.1,0.2,-2.8,6.3,3.2,8.2,-1.8,-4.3,-4.4,-18,-27.4,-13.1,-0.9,-3.2,4.5,18.8,-5.4,-1.8,-10,0.6,-22.7,6.5,8.2,15.1,-6.8,23.5,-5.7,-13.8,-7.9,-37.3,6.9,-12.9,10.2,-3.3,6,-1.5,-12.7,-4.2,2.4,4,-0.1,4.9,-38.2,-49.6,-20.6,-14.4,0.2,-10.9,19.5,8.2,-4.7,-10.5,-6.2,2.7,-18.2,25.7,...,-6.6,,
meimoku,nen,対前年（同月）名目増加率_平成27年,-,-,-,-,-1.5,-1.4,-1.1,85.9,-20.6,20.2,-2.6,-1.4,-6.8,-3.7,1.6,0.7,2.7,3.1,0.6,4,4.3,8,6.9,9.4,-1,1.2,3.9,2.5,-8,0.1,4.5,46,-13.5,0.5,1.3,-2.8,-35,8.6,-3.6,-5.4,-33.1,-16.5,6.5,0.4,9.2,9.4,21.4,26,7,8.4,24.5,-9.1,-8.2,-4.9,-2.6,-5.2,0.7,-24.2,1.9,6.7,4.3,4.9,11.2,343.4,650.1,-22.2,-26.2,1.8,-16.4,-4.6,-8,7.6,-1.2,-10.7,4,-0.1,138.4,-100,8.8,,
meimoku,nen,対前年（同月）名目増加率_平成28年,-,-,-,-,-1.1,-3,-10.7,2.3,-17.6,-2.9,-2.1,-4.1,75.2,2.6,-10.1,-9.2,-9.2,0,-3.9,2,1.6,-2.4,-1.6,-2.6,1.1,0.5,9,2.8,2.3,-7.4,-5.7,-20.9,5.3,-13.2,-12.6,-17.5,-21.3,-7.8,-6.4,-8.4,-0.5,-8.2,-6.1,1.7,-19.7,-9.7,104.4,-26.5,-4.7,-9.4,-33.3,-7.4,11.6,-3.2,-15.3,-7.1,-10.3,-0.7,-20.8,-22.1,-19.3,-34,-8.7,-79.9,-84.5,9.5,-26.4,-13.4,-1.8,-13.9,-3.6,-16.2,-7.4,-1,11.3,-14.3,-37.5,-,-17.1,,
meimoku,nen,対前年（同月）名目増加率_平成29年,-,-,-,-,-6.6,-4.7,-30,-34.3,-27.2,-15.5,-1.3,2.1,-48.3,-8.6,1.9,1.7,1.7,0.7,1.2,-5.6,2.1,7.9,-0.8,3.7,2,0.7,-1.3,-1.8,14.6,0.3,-5.2,-9.4,-2.9,1.9,1.6,-0.9,47.2,2.6,-2.8,-3.5,-16.4,29.9,-5.5,-2.9,-6.7,-6.3,-94.7,2.8,-6.9,-4.3,93.2,-4.4,2.8,-15.2,10.8,-1.9,-18.7,31.4,17.3,14.5,-6.1,27.5,15.6,-14.7,-26.9,-95.7,30.9,-0.3,-7.6,-1.4,-1.1,0.7,1.4,-10.8,-18,23.6,-24.5,-,4.1,,
meimoku,nen,対前年（同月）名目増加率_平成30年,-,-,-,-,22,20.7,76.9,65.2,83.8,-40.9,19.8,18,75.2,24.9,6,5.7,4.8,2.8,5,-0.3,6,-7.1,5,2.4,2.1,8.4,1.8,9.5,-19,8.4,8.5,13.2,6.1,5.4,7.5,3.2,-13.3,5.9,14.4,32.1,28.4,-26.8,7,8.4,9.2,-3.3,513.6,-8.8,-9.3,-2.1,-13.5,-0.3,-9.9,31.6,3.4,7.6,20.5,-0.7,0.7,11.6,13.3,25.6,-4,128.8,231.6,700,-34.4,3.7,25.7,15.4,-3.6,0.9,2.6,23,-2.4,-10.6,-25.6,...,8.4,,
