項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,704,-,-,95,-,100,-,108,-,105,-,102,-,99,-,95,-
0,0,0,0,0,世帯人員,2.9,-,-,2.69,-,2.7,-,2.81,-,2.85,-,3.03,-,2.95,-,3.29,-
0,0,0,0,0,有業人員,1.33,-,-,1.17,-,1.32,-,1.21,-,1.28,-,1.32,-,1.55,-,1.49,-
0,0,0,0,0,世帯主平均年齢,61.9,-,-,65.6,-,65.2,-,63.2,-,62.8,-,61.1,-,59.8,-,55.9,-
2,2,0,0,0,生計支出,349349,-,14.2,111941,-,172131,-,222143,-,276140,-,341972,-,445796,-,870456,-
2,3,0,0,0,消費支出,349349,100,14.2,111941,100,172131,100,222143,100,276140,100,341972,100,445796,100,870456,100
2,4,1,0,0,食料,88795,25.4,2.5,55239,49.3,69049,40.1,80709,36.3,84267,30.5,99109,29,105855,23.7,126796,14.6
2,5,1,1,0,穀類,7075,2,2.4,5712,5.1,6177,3.6,6976,3.1,6824,2.5,8178,2.4,7543,1.7,8093,0.9
2,6,1,1,1,米類,2030,0.6,0.2,1635,1.5,1803,1,2221,1,1784,0.6,2207,0.6,2411,0.5,2144,0.2
2,6,1,1,2,パン,3137,0.9,2.2,2392,2.1,2728,1.6,3184,1.4,3141,1.1,3737,1.1,3138,0.7,3623,0.4
2,6,1,1,3,麺類,1535,0.4,8.6,1458,1.3,1307,0.8,1286,0.6,1549,0.6,1901,0.6,1624,0.4,1619,0.2
2,6,1,1,4,他の穀類,373,0.1,-7.9,227,0.2,339,0.2,285,0.1,350,0.1,333,0.1,370,0.1,706,0.1
2,5,1,2,0,魚介類,6116,1.8,-1.9,4618,4.1,5513,3.2,6187,2.8,5196,1.9,7252,2.1,6756,1.5,7254,0.8
2,6,1,2,1,生鮮魚介,3697,1.1,2.5,2484,2.2,3256,1.9,3903,1.8,2997,1.1,4395,1.3,4136,0.9,4682,0.5
2,6,1,2,2,塩干魚介,1047,0.3,-11.9,925,0.8,915,0.5,1090,0.5,792,0.3,1300,0.4,1084,0.2,1220,0.1
2,6,1,2,3,魚肉練製品,508,0.1,-7.3,611,0.5,491,0.3,366,0.2,439,0.2,577,0.2,634,0.1,438,0.1
2,6,1,2,4,他の魚介加工品,864,0.2,-3.5,599,0.5,852,0.5,828,0.4,968,0.4,981,0.3,902,0.2,913,0.1
2,5,1,3,0,肉類,7502,2.1,-4.7,4992,4.5,5460,3.2,7825,3.5,6701,2.4,9358,2.7,7866,1.8,10256,1.2
2,6,1,3,1,生鮮肉,6037,1.7,-4.2,3897,3.5,4402,2.6,6325,2.8,5242,1.9,7637,2.2,6427,1.4,8278,1
2,6,1,3,2,加工肉,1466,0.4,-6.3,1095,1,1058,0.6,1501,0.7,1459,0.5,1722,0.5,1439,0.3,1978,0.2
2,5,1,4,0,乳卵類,4269,1.2,0.6,2747,2.5,3435,2,4155,1.9,3918,1.4,4526,1.3,5255,1.2,5820,0.7
2,6,1,4,1,牛乳,1360,0.4,0.8,860,0.8,942,0.5,1378,0.6,1292,0.5,1590,0.5,1517,0.3,1928,0.2
2,6,1,4,2,乳製品,2108,0.6,0.7,1309,1.2,1875,1.1,1997,0.9,1852,0.7,2048,0.6,2730,0.6,2932,0.3
2,6,1,4,3,卵,801,0.2,-0.1,578,0.5,618,0.4,780,0.4,773,0.3,888,0.3,1008,0.2,959,0.1
2,5,1,5,0,野菜・海藻,10245,2.9,-2.1,8103,7.2,9100,5.3,10205,4.6,9482,3.4,11390,3.3,10912,2.4,12479,1.4
2,6,1,5,1,生鮮野菜,7031,2,-4.3,5555,5,6088,3.5,7090,3.2,6573,2.4,8025,2.3,7425,1.7,8428,1
2,6,1,5,2,乾物・海藻,857,0.2,19.2,599,0.5,711,0.4,975,0.4,547,0.2,932,0.3,1006,0.2,1218,0.1
2,6,1,5,3,大豆加工品,1123,0.3,-7,997,0.9,930,0.5,1075,0.5,1118,0.4,1168,0.3,1191,0.3,1381,0.2
2,6,1,5,4,他の野菜・海藻加工品,1235,0.4,3.6,952,0.9,1372,0.8,1065,0.5,1243,0.5,1265,0.4,1290,0.3,1452,0.2
2,5,1,6,0,果物,3295,0.9,6.8,2266,2,2785,1.6,3499,1.6,3065,1.1,3621,1.1,3838,0.9,3977,0.5
2,6,1,6,1,生鮮果物,2943,0.8,6.3,2027,1.8,2591,1.5,3191,1.4,2637,1,3226,0.9,3392,0.8,3523,0.4
2,6,1,6,2,果物加工品,352,0.1,10.7,238,0.2,194,0.1,307,0.1,429,0.2,395,0.1,447,0.1,454,0.1
2,5,1,7,0,油脂・調味料,3439,1,-5.7,2285,2,2744,1.6,3149,1.4,3442,1.2,3674,1.1,4174,0.9,4594,0.5
2,6,1,7,1,油脂,315,0.1,-28.2,172,0.2,293,0.2,311,0.1,282,0.1,400,0.1,362,0.1,380,0
2,6,1,7,2,調味料,3125,0.9,-2.5,2112,1.9,2450,1.4,2838,1.3,3160,1.1,3273,1,3812,0.9,4214,0.5
2,5,1,8,0,菓子類,6707,1.9,6.4,4556,4.1,5711,3.3,5875,2.6,6294,2.3,7678,2.2,7598,1.7,9195,1.1
2,5,1,9,0,調理食品,11859,3.4,4.2,8979,8,10197,5.9,10638,4.8,11794,4.3,13036,3.8,12499,2.8,15815,1.8
2,6,1,9,1,主食的調理食品,5282,1.5,7.1,4228,3.8,4794,2.8,4883,2.2,5279,1.9,5224,1.5,5547,1.2,7000,0.8
2,6,1,9,2,他の調理食品,6577,1.9,2,4752,4.2,5404,3.1,5755,2.6,6515,2.4,7812,2.3,6953,1.6,8815,1
2,5,1,10,0,飲料,5550,1.6,7.5,3245,2.9,4109,2.4,5112,2.3,5275,1.9,6320,1.8,7271,1.6,7493,0.9
2,6,1,10,1,茶類,1545,0.4,1.9,761,0.7,961,0.6,1643,0.7,1454,0.5,1901,0.6,1954,0.4,2128,0.2
2,6,1,10,2,コーヒー・ココア,972,0.3,0.2,577,0.5,611,0.4,711,0.3,878,0.3,1368,0.4,944,0.2,1708,0.2
2,6,1,10,3,他の飲料,3033,0.9,13.2,1907,1.7,2537,1.5,2758,1.2,2943,1.1,3051,0.9,4373,1,3657,0.4
2,5,1,11,0,酒類,3451,1,5.8,1885,1.7,2747,1.6,2605,1.2,3619,1.3,4298,1.3,4177,0.9,4805,0.6
2,5,1,12,0,外食,19285,5.5,6.9,5851,5.2,11070,6.4,14484,6.5,18658,6.8,19778,5.8,27965,6.3,37016,4.3
2,6,1,12,1,一般外食,17856,5.1,4.4,5551,5,10869,6.3,13389,6,17218,6.2,18672,5.5,22971,5.2,36127,4.2
2,6,1,12,2,学校給食,1429,0.4,53,300,0.3,201,0.1,1095,0.5,1440,0.5,1106,0.3,4994,1.1,888,0.1
