項目,階層,大分類,中分類,小分類,中間計,符号,項目名,頻度（回）,金額（円）,１回当たりの金額（円）
0,0,0,0,0,0,0,調査世帯数,703,-,-
0,0,0,0,0,0,0,世帯人員,2.92,-,-
0,0,0,0,0,0,0,有業人員,1.31,-,-
0,0,0,0,0,0,0,世帯主平均年齢,60.8,-,-
2,2,0,0,0,0,0,生計支出,-,-,-
2,3,0,0,0,0,0,消費支出,-,-,-
2,4,1,0,0,0,0,食料,-,-,-
2,5,1,1,0,0,0,穀類,-,-,-
2,6,1,1,1,0,0,米類,-,-,-
2,7,1,1,1,0,102,米,627,1355620,2162
2,6,1,1,2,0,0,パン,-,-,-
2,7,1,1,2,0,120,食パン,3335,655675,197
2,7,1,1,2,0,129,他のパン,6402,1505068,235
2,6,1,1,3,0,0,麺類,-,-,-
2,7,1,1,3,0,130,生うどん・そば,891,185247,208
2,7,1,1,3,0,131,乾うどん・そば,229,134959,589
2,7,1,1,3,0,134,スパゲッティ,329,80428,244
2,7,1,1,3,0,133,中華麺,1111,244835,220
2,7,1,1,3,0,135,カップ麺,1144,234853,205
2,7,1,1,3,0,132,即席麺,299,89671,300
2,7,1,1,3,0,139,他の麺類,261,51587,198
2,6,1,1,4,0,0,他の穀類,-,-,-
2,7,1,1,4,0,140,小麦粉,130,31954,246
2,7,1,1,4,0,150,もち,169,112558,666
2,7,1,1,4,0,160,他の穀類のその他,553,193662,350
2,5,1,2,0,0,0,魚介類,-,-,-
2,6,1,2,1,0,0,生鮮魚介,-,-,-
2,7,1,2,1,170-189,0,鮮魚,-,-,-
2,7,1,2,1,170-189,170,まぐろ,692,449960,650
2,7,1,2,1,170-189,172,あじ,173,67145,388
2,7,1,2,1,170-189,173,いわし,88,27743,315
2,7,1,2,1,170-189,174,かつお,218,89337,410
2,7,1,2,1,170-189,175,かれい,79,41506,525
2,7,1,2,1,170-189,176,さけ,647,302833,468
2,7,1,2,1,170-189,177,さば,140,49140,351
2,7,1,2,1,170-189,178,さんま,133,46929,353
2,7,1,2,1,170-189,180,たい,79,51388,650
2,7,1,2,1,170-189,181,ぶり,330,160612,487
2,7,1,2,1,170-189,182,いか,252,93101,369
2,7,1,2,1,170-189,183,たこ,183,82539,451
2,7,1,2,1,170-189,185,えび,286,145261,508
2,7,1,2,1,170-189,186,かに,18,61608,3423
2,7,1,2,1,170-189,189,他の鮮魚,684,433652,634
2,7,1,2,1,170-189,187,さしみ盛合わせ,339,318790,940
2,7,1,2,1,190-194,0,貝類,-,-,-
2,7,1,2,1,190-194,190,あさり,187,53169,284
2,7,1,2,1,190-194,192,しじみ,87,29151,335
2,7,1,2,1,190-194,191,かき(貝),106,53414,504
2,7,1,2,1,190-194,194,ほたて貝,138,65678,476
2,7,1,2,1,190-194,193,他の貝,46,26293,572
2,6,1,2,2,0,0,塩干魚介,-,-,-
2,7,1,2,2,0,195,塩さけ,232,112734,486
2,7,1,2,2,0,196,たらこ,285,127371,447
