項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
2,7,7,2,3,0,755,自動車以外の輸送機器整備費,174,0,29,148,666,111,87,78,188,130,112
2,7,7,2,3,0,75X,年極・月極駐車場借料,1784,-7.3,3548,4677,1457,1652,2211,2448,1617,1198,1245
2,7,7,2,3,0,756,他の駐車場借料,493,12.6,396,602,1528,697,656,515,429,189,163
2,7,7,2,3,0,75B,レンタカー・カーシェアリング料金,851,62.1,946,5561,1916,1516,181,719,-,229,168
2,7,7,2,3,0,754,他の自動車等関連サービス,354,-14.1,148,308,348,560,449,530,344,285,230
2,7,7,2,3,0,757,自動車保険料(自賠責),338,-10.1,-,-,-,729,363,588,-,420,413
2,7,7,2,3,0,758,自動車保険料(任意),1249,-0.6,577,831,780,1174,246,4432,208,1427,689
2,7,7,2,3,0,759,自動車保険料以外の輸送機器保険料,23,...,-,-,-,197,-,62,-,-,-
2,5,7,3,0,0,0,通信,11737,-9.1,15711,9633,11639,14418,17120,17427,15665,8098,6790
2,7,7,3,0,0,760,郵便料,231,36.7,55,630,106,55,391,176,129,252,351
2,7,7,3,0,0,762,固定電話通信料,1412,-11.1,627,372,895,1115,1495,1188,1458,1789,1667
2,7,7,3,0,0,763,移動電話通信料,8984,-10.8,14638,8242,9339,12378,13551,15380,10736,5321,3746
2,7,7,3,0,0,769,運送料,455,-37.5,294,141,767,730,255,608,508,392,404
2,7,7,3,0,0,766,移動電話,530,90,-,0,-,62,1426,-,2801,252,477
2,7,7,3,0,0,764,他の通信機器,125,86.6,98,249,533,78,2,74,32,91,145
2,4,8,0,0,0,0,教育,15230,34.7,8757,19926,31730,31789,52374,10667,13815,12,-
2,5,8,1,0,0,0,授業料等,10696,72.3,6845,11478,22782,19488,40462,1423,13815,-,-
2,7,8,1,0,0,770,国公立小学校,134,71.8,495,351,560,377,52,-,-,-,-
2,7,8,1,0,0,771,私立小学校,363,-30.9,-,-,3773,-,-,-,-,-,-
