項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,344,534,866,1007,1025,794,954,4476,2312
0,0,0,0,0,0,0,調査世帯数,703,-,25,38,63,73,71,54,66,314,164
0,0,0,0,0,0,0,世帯人員,2.92,-,3.25,3.74,3.64,3.59,3.43,3.21,2.78,2.38,2.3
0,0,0,0,0,0,0,有業人員,1.31,-,1.5,1.56,1.53,1.59,1.74,1.85,1.75,0.87,0.58
0,0,0,0,0,0,0,世帯主平均年齢,60.8,-,30.8,37.2,41.9,47.1,52.1,56.9,62,75.2,80.8
2,2,0,0,0,0,0,生計支出,330278,2.1,287726,307206,392610,366665,401154,416274,358100,278990,260404
2,3,0,0,0,0,0,消費支出,326563,1.3,287726,307206,351090,366665,401154,416274,357264,278990,260404
2,4,1,0,0,0,0,食料,93037,1.6,75065,82268,93193,97325,97043,105658,107144,88611,82416
2,5,1,1,0,0,0,穀類,6915,2,5470,6111,6903,7522,7562,7683,6706,6753,6412
2,6,1,1,1,0,0,米類,1906,-2,1306,1502,1563,2164,2263,1910,1758,1962,1976
2,7,1,1,1,0,102,米,1906,-2,1306,1502,1563,2164,2263,1910,1758,1962,1976
2,6,1,1,2,0,0,パン,3081,5.7,2656,2864,3422,3193,3170,3687,3002,2928,2688
2,7,1,1,2,0,120,食パン,941,7.4,653,745,1018,910,999,991,853,972,946
2,7,1,1,2,0,129,他のパン,2139,4.9,2003,2119,2403,2282,2171,2696,2149,1956,1742
2,6,1,1,3,0,0,麺類,1452,1.9,1136,1268,1413,1631,1556,1556,1500,1415,1345
2,7,1,1,3,0,130,生うどん・そば,257,1.2,206,208,200,265,261,252,259,277,265
2,7,1,1,3,0,131,乾うどん・そば,194,-2.5,91,72,126,115,133,155,159,276,288
2,7,1,1,3,0,134,スパゲッティ,113,-5,105,170,142,175,151,148,117,74,57
2,7,1,1,3,0,133,中華麺,350,-0.3,250,276,387,402,397,350,353,337,322
2,7,1,1,3,0,135,カップ麺,336,15.5,341,353,338,411,397,432,388,275,249
