"年[西暦]","住宅地 最高[千円毎平方メートル]","住宅地 最低[千円毎平方メートル]","商業地 最高[千円毎平方メートル]","商業地 最低[千円毎平方メートル]","工業地 最高[千円毎平方メートル]","工業地 最低[千円毎平方メートル]"
2013,1640,990,8620,1100,1080,810
2014,1760,1040,9650,1130,1140,843
2015,1830,1080,11600,1170,1200,885
2016,1960,1120,22000,1210,1250,920
2017,2040,1170,24200,1260,1300,957

"平成30年度港区行政資料集　港区内基準地の用途別最高・最低価格","Ver201707",,,,,
