事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成17,2005,年平均,19.6,161.9,147.4,14.5,14.9,89.9,85.5,4.4
30人以上,TL 調査産業計,平成18,2006,年平均,19.6,163.8,148.5,15.3,14.8,91.3,87.1,4.2
30人以上,TL 調査産業計,平成19,2007,年平均,19.7,165,149.3,15.7,15.6,96.2,91.9,4.3
30人以上,TL 調査産業計,平成19,2007,1月,18.5,154.4,139.5,14.9,15,92.7,88.4,4.3
30人以上,TL 調査産業計,平成19,2007,2月,19.1,160,144.6,15.4,15.2,93.4,89.4,4
30人以上,TL 調査産業計,平成19,2007,3月,20,167.8,151.1,16.7,15.4,95.5,91.2,4.3
30人以上,TL 調査産業計,平成19,2007,4月,20.1,169.4,152.3,17.1,15.8,98.3,93.8,4.5
30人以上,TL 調査産業計,平成19,2007,5月,19.6,163.5,148,15.5,15.6,96.1,91.8,4.3
30人以上,TL 調査産業計,平成19,2007,6月,20.6,170.6,155.2,15.4,16.2,98.5,94.4,4.1
30人以上,TL 調査産業計,平成19,2007,7月,20.4,170,154.3,15.7,15.9,98,93.7,4.3
30人以上,TL 調査産業計,平成19,2007,8月,19.8,164.7,149.9,14.8,15.6,97.2,93,4.2
30人以上,TL 調査産業計,平成19,2007,9月,18.8,157.5,142.5,15,15.3,95.1,90.5,4.6
30人以上,TL 調査産業計,平成19,2007,10月,20.2,168.1,152.4,15.7,15.8,97,92.9,4.1
30人以上,TL 調査産業計,平成19,2007,11月,20.5,171.7,155.6,16.1,15.8,96.3,92.4,3.9
30人以上,TL 調査産業計,平成19,2007,12月,19.4,161.9,146.2,15.7,15.4,95.9,91.4,4.5
30人以上,D 鉱業,平成17,2005,年平均,19.3,149.1,144.7,4.4,4,23,23,0
30人以上,D 鉱業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
30人以上,D 鉱業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
30人以上,D 鉱業,平成19,2007,1月,18.9,154.2,139.6,14.6,13.4,61.4,61.4,0
30人以上,D 鉱業,平成19,2007,2月,18.5,151,135.6,15.4,12.9,61.7,61.7,0
30人以上,D 鉱業,平成19,2007,3月,20.3,164.5,149.2,15.3,14.5,69.8,69.8,0
30人以上,D 鉱業,平成19,2007,4月,20.1,164.9,148.1,16.8,14.1,68.2,68.2,0
30人以上,D 鉱業,平成19,2007,5月,19.6,161.8,143.9,17.9,14,64.8,64.7,0.1
30人以上,D 鉱業,平成19,2007,6月,20.1,164.1,149.4,14.7,14.9,70.8,70.4,0.4
30人以上,D 鉱業,平成19,2007,7月,20.5,166.8,152,14.8,14.1,67.5,67.5,0
30人以上,D 鉱業,平成19,2007,8月,20,161,147.3,13.7,12.8,57.9,57.9,0
30人以上,D 鉱業,平成19,2007,9月,18.9,148.4,134.5,13.9,12.1,57.4,56.8,0.6
30人以上,D 鉱業,平成19,2007,10月,20.2,159.4,145.8,13.6,14.9,67.4,67.4,0
30人以上,D 鉱業,平成19,2007,11月,20.7,164.3,148.2,16.1,13.6,65,64.8,0.2
30人以上,D 鉱業,平成19,2007,12月,19.2,156.4,139.9,16.5,13.4,61,61,0
30人以上,E 建設業,平成17,2005,年平均,20.1,166.2,153.7,12.5,21.1,157.1,154.6,2.5
30人以上,E 建設業,平成18,2006,年平均,20.5,172.5,156.8,15.7,14.3,83.2,81.6,1.6
30人以上,E 建設業,平成19,2007,年平均,20.5,174.1,157.4,16.7,17.5,129,126,3
30人以上,E 建設業,平成19,2007,1月,19,161.9,146.4,15.5,15.3,149.7,147.1,2.6
30人以上,E 建設業,平成19,2007,2月,20.3,173.9,156.4,17.5,15.9,113.4,110.6,2.8
30人以上,E 建設業,平成19,2007,3月,21.2,180.6,161.7,18.9,18.5,131.6,128.9,2.7
30人以上,E 建設業,平成19,2007,4月,21.3,181.1,163.8,17.3,18,130.7,127.9,2.8
30人以上,E 建設業,平成19,2007,5月,20,169.5,154.7,14.8,16.8,120.1,117.4,2.7
30人以上,E 建設業,平成19,2007,6月,21.3,179.5,163.5,16,18.8,133.6,130.7,2.9
30人以上,E 建設業,平成19,2007,7月,21.1,179.4,163.6,15.8,18.7,134,130.8,3.2
30人以上,E 建設業,平成19,2007,8月,20.3,171.8,155.6,16.2,17,122.3,118.7,3.6
30人以上,E 建設業,平成19,2007,9月,19.1,161.6,144.4,17.2,17.4,124.3,121.6,2.7
30人以上,E 建設業,平成19,2007,10月,21.5,181,163.6,17.4,18.4,133.6,130.6,3
