事業所規模,和暦年,西暦年,年平均・月・前年比,調査産業計,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,103.6,359.1,95.5,98,72.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,109.6,144.3,84,100.1,115.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,104.6,105.5,114,102.4,106.2,96,110.2,113.1,119.3,102.8,98,96.1,94,94.6,100.4
５人以上,平成19,2007,年平均,104.4,115.2,131.4,101.9,115.8,98.4,107.8,111.7,138.1,106.3,82.2,102.7,82.8,90.7,95.4
５人以上,平成19,2007,1月,100,110,119.3,93.5,109.1,92.5,111.4,107,125.7,105.9,87.5,96.2,79.7,98.2,91.9
５人以上,平成19,2007,2月,104.4,116.2,137.6,107.3,121.5,93,108.6,112.7,122.9,112.9,77.8,96.2,87.3,76.7,98.5
５人以上,平成19,2007,3月,111.5,115.4,146.8,112.9,131.4,104.5,114.1,115.5,144.8,110.9,87.5,105.8,87.3,87.1,105.2
５人以上,平成19,2007,4月,113.3,126.9,133,111.3,119,107.5,118.2,121.1,153.3,112.9,95.8,140.4,106.3,80.4,97.8
５人以上,平成19,2007,5月,103.5,135.4,121.1,100,111.6,96,104.1,109.9,149.5,103,88.9,107.7,84.8,77.3,93.3
５人以上,平成19,2007,6月,104.4,111.5,125.7,103.2,105,94,104.1,115.5,146.7,104,84.7,103.8,79.7,81.6,96.3
５人以上,平成19,2007,7月,103.5,111.5,125.7,100.8,123.1,100,106.8,114.1,141,110.9,72.2,96.2,78.5,98.8,94.1
５人以上,平成19,2007,8月,99.1,103.8,129.4,94.4,112.4,98.5,101.4,104.2,132.4,97,84.7,94.2,58.2,79.8,89.6
５人以上,平成19,2007,9月,100,104.6,133,98.4,114,94.5,99.5,107,126.7,99,73.6,94.2,81,116.6,90.4
５人以上,平成19,2007,10月,102.7,102.3,134.9,99.2,121.5,97.5,106.8,108.5,134.3,103,75,100,83.5,92.6,94.8
５人以上,平成19,2007,11月,105.3,121.5,133.9,103.2,118.2,102.5,107.7,109.9,141,110.9,76.4,101.9,89.9,83.4,97
５人以上,平成19,2007,12月,105.3,123.8,135.8,98.4,102.5,100,110.9,115.5,139,105,81.9,96.2,77.2,116,95.6
５人以上,平成16,2004,年平均（前年比（％））,5.8,-59.8,-12,2.1,59.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均（前年比（％））,-8.8,-30.7,19,-0.1,-13.7,－,－,－,－,－,－,－,－,－,－
５人以上,平成18,2006,年平均（前年比（％））,4.6,5.5,14,2.4,6.2,-4,10.2,13.1,19.3,2.8,-2,-3.9,-6,-5.4,0.4
５人以上,平成19,2007,年平均（前年比（％））,-0.2,9.2,15.3,-0.5,9,2.5,-2.2,-1.2,15.8,3.4,-16.1,6.9,-11.9,-4.1,-5
