事業所規模,産業,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),超過労働給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５人以上,TL 調査産業計,平成17,2005,年平均,429876,522705,272819,342350,412511,223646,319906,22444,87526,110194,49173
５人以上,TL 調査産業計,平成18,2006,年平均,433685,525876,278182,341360,409746,226010,317962,23398,92325,116130,52172
５人以上,TL 調査産業計,平成19,2007,年平均,430485,521754,276184,338139,404829,225391,315669,22470,92346,116925,50793
５人以上,TL 調査産業計,平成19,2007,1月,346870,416168,229098,334504,400834,221776,312763,21741,12366,15334,7322
５人以上,TL 調査産業計,平成19,2007,2月,346764,416304,226557,335521,400941,222436,313348,22173,11243,15363,4121
５人以上,TL 調査産業計,平成19,2007,3月,368879,442266,243090,338972,405934,224195,315643,23329,29907,36332,18895
５人以上,TL 調査産業計,平成19,2007,4月,360505,431512,239663,343904,410379,230775,319587,24317,16601,21133,8888
５人以上,TL 調査産業計,平成19,2007,5月,355932,424407,239708,336971,401914,226743,314124,22847,18961,22493,12965
５人以上,TL 調査産業計,平成19,2007,6月,695718,865041,409174,339174,404986,227800,316807,22367,356544,460055,181374
５人以上,TL 調査産業計,平成19,2007,7月,461400,559387,296858,336101,402411,224750,313889,22212,125299,156976,72108
５人以上,TL 調査産業計,平成19,2007,8月,350014,421101,231188,337029,404534,224191,315008,22021,12985,16567,6997
５人以上,TL 調査産業計,平成19,2007,9月,344973,413996,229698,336871,404281,224290,315819,21052,8102,9715,5408
５人以上,TL 調査産業計,平成19,2007,10月,347833,417997,230892,339221,407401,225586,317449,21772,8612,10596,5306
５人以上,TL 調査産業計,平成19,2007,11月,378986,456452,248956,339405,406721,226411,316445,22960,39581,49731,22545
５人以上,TL 調査産業計,平成19,2007,12月,802422,989554,486080,339970,407604,225637,317110,22860,462452,581950,260443
５人以上,D 鉱業,平成17,2005,年平均,627344,684756,367000,447005,485413,272836,439880,7125,180339,199343,94164
５人以上,D 鉱業,平成18,2006,年平均,703153,772912,385894,453473,494582,266513,444886,8587,249680,278330,119381
５人以上,D 鉱業,平成19,2007,年平均,667289,728738,394115,466148,508569,277563,434236,31912,201141,220169,116552
５人以上,D 鉱業,平成19,2007,1月,480700,525760,278049,471658,515668,273728,440416,31242,9042,10092,4321
