事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30人以上,TL 調査産業計,平成17,2005,年平均,18.8,19.3,17.9,150.2,159.3,133,137.4,144.6,123.8,12.8,14.7,9.2
30人以上,TL 調査産業計,平成18,2006,年平均,18.9,19.4,17.9,152,161.3,134.8,138.5,145.8,125.1,13.5,15.5,9.7
30人以上,TL 調査産業計,平成19,2007,年平均,19.1,19.6,18.3,155,163.3,139.2,141,147.2,129.1,14,16.1,10.1
30人以上,TL 調査産業計,平成19,2007,1月,18,18.3,17.4,145.3,153,130.9,132,137.7,121.2,13.3,15.3,9.7
30人以上,TL 調査産業計,平成19,2007,2月,18.5,19,17.7,150.3,158.7,134.1,136.5,142.8,124.5,13.8,15.9,9.6
30人以上,TL 調査産業計,平成19,2007,3月,19.3,19.7,18.4,157.2,165.7,140.7,142.3,148.6,130.1,14.9,17.1,10.6
30人以上,TL 調査産業計,平成19,2007,4月,19.5,19.9,18.7,159.1,167.1,143.8,143.9,150.1,132,15.2,17,11.8
30人以上,TL 調査産業計,平成19,2007,5月,19,19.4,18.3,153.9,161.5,139.3,140,145.9,128.8,13.9,15.6,10.5
30人以上,TL 調査産業計,平成19,2007,6月,19.9,20.3,19.2,160.3,168.7,144.5,146.5,152.9,134.5,13.8,15.8,10
30人以上,TL 調査産業計,平成19,2007,7月,19.7,20.2,18.9,159.6,168.2,143,145.5,152,133,14.1,16.2,10
30人以上,TL 調査産業計,平成19,2007,8月,19.2,19.5,18.4,154.8,162.8,139.6,141.6,147.5,130.3,13.2,15.3,9.3
30人以上,TL 調査産業計,平成19,2007,9月,18.3,18.7,17.6,148.4,156,134,134.9,140.4,124.5,13.5,15.6,9.5
30人以上,TL 調査産業計,平成19,2007,10月,19.5,20,18.6,157.7,166.7,140.8,143.7,150.4,131,14,16.3,9.8
30人以上,TL 調査産業計,平成19,2007,11月,19.8,20.3,18.9,160.6,169.6,143.5,146.3,153.1,133.4,14.3,16.5,10.1
30人以上,TL 調査産業計,平成19,2007,12月,18.8,19.2,17.9,152.2,160.7,136.2,138.2,144.5,126.2,14,16.2,10
30人以上,D 鉱業,平成17,2005,年平均,19.2,19.3,19,149.1,149.3,148,144.7,145.1,142.6,4.4,4.2,5.4
30人以上,D 鉱業,平成18,2006,年平均,19.6,19.7,19.3,150.4,150.6,149.7,146.6,147.1,144.6,3.8,3.5,5.1
30人以上,D 鉱業,平成19,2007,年平均,19.6,19.9,18.5,158,160.9,145.3,143,145,134.2,15,15.9,11.1
30人以上,D 鉱業,平成19,2007,1月,18.8,19.1,17.6,152.3,155.4,137.9,138,140.3,127.6,14.3,15.1,10.3
30人以上,D 鉱業,平成19,2007,2月,18.4,18.8,16.9,149.2,152.6,134,134.1,136.8,122.1,15.1,15.8,11.9
30人以上,D 鉱業,平成19,2007,3月,20.2,20.5,19.2,162.7,165.6,149.6,147.7,149.6,139.3,15,16,10.3
30人以上,D 鉱業,平成19,2007,4月,19.9,20.2,19,163.2,165.1,154.3,146.7,148.6,138,16.5,16.5,16.3
30人以上,D 鉱業,平成19,2007,5月,19.5,19.7,18.3,160,162.3,150.3,142.4,144.7,132.7,17.6,17.6,17.6
30人以上,D 鉱業,平成19,2007,6月,20,20.3,18.9,162.5,165.6,148.8,148,150.4,137.4,14.5,15.2,11.4
30人以上,D 鉱業,平成19,2007,7月,20.4,20.6,19.6,165,167.7,153.2,150.5,152.4,142.3,14.5,15.3,10.9
30人以上,D 鉱業,平成19,2007,8月,19.9,20.1,19.1,159.2,162.2,146.2,145.7,147.2,139.2,13.5,15,7
