事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成17,2005,年平均,19.8,163.2,150.1,13.1,15.1,91.3,87.6,3.7
５人以上,TL 調査産業計,平成18,2006,年平均,19.9,165.1,151.3,13.8,14.7,90.2,86.8,3.4
５人以上,TL 調査産業計,平成19,2007,年平均,20,165.8,151.8,14,14.6,89.7,86.5,3.2
５人以上,TL 調査産業計,平成19,2007,1月,18.5,153.8,140.5,13.3,14,86.5,83.3,3.2
５人以上,TL 調査産業計,平成19,2007,2月,19.6,162.6,148.7,13.9,14.4,88.3,85.3,3
５人以上,TL 調査産業計,平成19,2007,3月,20.1,167.8,152.9,14.9,14.6,90.8,87.3,3.5
５人以上,TL 調査産業計,平成19,2007,4月,20.5,170.5,155.4,15.1,14.8,91.3,87.8,3.5
５人以上,TL 調査産業計,平成19,2007,5月,19.6,163,149.2,13.8,14.6,89.1,86,3.1
５人以上,TL 調査産業計,平成19,2007,6月,20.9,172.5,158.6,13.9,15.2,92.3,89.2,3.1
５人以上,TL 調査産業計,平成19,2007,7月,20.6,170.3,156.4,13.9,14.8,90.7,87.4,3.3
５人以上,TL 調査産業計,平成19,2007,8月,19.8,163.9,150.7,13.2,14.6,90.2,87,3.2
５人以上,TL 調査産業計,平成19,2007,9月,19.3,159.9,146.6,13.3,14.4,88.3,85,3.3
５人以上,TL 調査産業計,平成19,2007,10月,20.3,167.7,153.8,13.9,14.7,89.3,86.4,2.9
５人以上,TL 調査産業計,平成19,2007,11月,20.8,172.7,158.5,14.2,14.8,89.7,86.8,2.9
５人以上,TL 調査産業計,平成19,2007,12月,19.7,163.7,149.7,14,14.5,90,86.6,3.4
５人以上,D 鉱業,平成17,2005,年平均,19.4,146.8,143.2,3.6,4,23,23,0
５人以上,D 鉱業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
５人以上,D 鉱業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
５人以上,D 鉱業,平成19,2007,1月,18.9,154.2,139.6,14.6,13.4,61.4,61.4,0
５人以上,D 鉱業,平成19,2007,2月,18.5,151,135.6,15.4,12.9,61.7,61.7,0
５人以上,D 鉱業,平成19,2007,3月,20.3,164.5,149.2,15.3,14.5,69.8,69.8,0
５人以上,D 鉱業,平成19,2007,4月,20.1,164.9,148.1,16.8,14.1,68.2,68.2,0
５人以上,D 鉱業,平成19,2007,5月,19.6,161.8,143.9,17.9,14,64.8,64.7,0.1
５人以上,D 鉱業,平成19,2007,6月,20.1,164.1,149.4,14.7,14.9,70.8,70.4,0.4
５人以上,D 鉱業,平成19,2007,7月,20.5,166.8,152,14.8,14.1,67.5,67.5,0
５人以上,D 鉱業,平成19,2007,8月,20,161,147.3,13.7,12.8,57.9,57.9,0
５人以上,D 鉱業,平成19,2007,9月,18.9,148.4,134.5,13.9,12.1,57.4,56.8,0.6
５人以上,D 鉱業,平成19,2007,10月,20.2,159.4,145.8,13.6,14.9,67.4,67.4,0
５人以上,D 鉱業,平成19,2007,11月,20.7,164.3,148.2,16.1,13.6,65,64.8,0.2
５人以上,D 鉱業,平成19,2007,12月,19.2,156.4,139.9,16.5,13.4,61,61,0
５人以上,E 建設業,平成17,2005,年平均,20.7,170.3,158.2,12.1,18,132.4,127.6,4.8
５人以上,E 建設業,平成18,2006,年平均,21.1,174.5,160.7,13.8,16.9,119.9,115.9,4
５人以上,E 建設業,平成19,2007,年平均,20.9,174.3,159.5,14.8,16.3,117,113.6,3.4
５人以上,E 建設業,平成19,2007,1月,19,157.4,143.9,13.5,15,121.6,118.6,3
５人以上,E 建設業,平成19,2007,2月,21,175.9,160.4,15.5,16.6,115.4,112,3.4
５人以上,E 建設業,平成19,2007,3月,21.3,178.2,161.6,16.6,17.1,119.1,116.7,2.4
５人以上,E 建設業,平成19,2007,4月,21.7,180.9,165.9,15,17.4,122.5,119.3,3.2
５人以上,E 建設業,平成19,2007,5月,20,167.4,153.8,13.6,16.3,114.3,111.3,3
５人以上,E 建設業,平成19,2007,6月,22,181.9,167.8,14.1,17.6,123.1,119.6,3.5
５人以上,E 建設業,平成19,2007,7月,21.4,179.2,165.1,14.1,16.6,117.5,113.9,3.6
５人以上,E 建設業,平成19,2007,8月,20.2,169.8,155.2,14.6,15.1,110.2,106.2,4
５人以上,E 建設業,平成19,2007,9月,20.1,167.7,152.7,15,16.1,115.1,111.6,3.5
５人以上,E 建設業,平成19,2007,10月,21.4,178.9,163.7,15.2,16.3,118.1,114.8,3.3
５人以上,E 建設業,平成19,2007,11月,21.8,182.3,167.2,15.1,16,114.6,110.8,3.8
５人以上,E 建設業,平成19,2007,12月,20.6,171.8,156.5,15.3,16,113.8,110,3.8
５人以上,F 製造業,平成17,2005,年平均,19.7,165.5,151.7,13.8,17.8,130.4,124.4,6
５人以上,F 製造業,平成18,2006,年平均,19.8,166.9,152.8,14.1,18.1,132.2,125.8,6.4
５人以上,F 製造業,平成19,2007,年平均,19.7,164.4,150.9,13.5,17.4,111.7,108.1,3.6
５人以上,F 製造業,平成19,2007,1月,17.6,146.1,133.8,12.3,15.9,102.3,98.6,3.7
５人以上,F 製造業,平成19,2007,2月,19.8,165.5,151.4,14.1,17.7,117,112.7,4.3
５人以上,F 製造業,平成19,2007,3月,19.7,165.8,150.9,14.9,17.6,114.7,109.8,4.9
５人以上,F 製造業,平成19,2007,4月,20.4,170.7,156,14.7,18,116.8,113,3.8
５人以上,F 製造業,平成19,2007,5月,18.8,157.1,143.9,13.2,16.9,109,105.5,3.5
５人以上,F 製造業,平成19,2007,6月,21.1,175.4,161.8,13.6,18.6,119.3,116,3.3
