規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,20.5,170.5,155.4,15.1,14.8,91.3,87.8,3.5
５人以上,D 鉱業,20.1,164.9,148.1,16.8,14.1,68.2,68.2,0
５人以上,E 建設業,21.7,180.9,165.9,15,17.4,122.5,119.3,3.2
５人以上,F 製造業,20.4,170.7,156,14.7,18,116.8,113,3.8
５人以上,G 電気・ガス・熱供給・水道業,19.6,164.6,149.2,15.4,15.7,117.1,113.5,3.6
５人以上,H 情報通信業,19.9,174.3,151.9,22.4,14.3,101.2,94.5,6.7
５人以上,I 運輸業,20.9,186.5,158.3,28.2,16.8,110.1,100,10.1
５人以上,J 卸売・小売業,20.7,169.7,159,10.7,15.8,96.7,93.6,3.1
５人以上,K 金融・保険業,19.6,161.3,144.4,16.9,15.4,108.7,103.7,5
５人以上,L 不動産業,21.2,174.6,162.2,12.4,15.4,92.7,89.5,3.2
５人以上,"M 飲食店,宿泊業",21.2,181.1,167.9,13.2,13.7,87.7,84,3.7
５人以上,"N 医療,福祉",19.8,156.8,147,9.8,12.3,66.9,65.5,1.4
５人以上,"O 教育,学習支援業",20.3,157.2,147.6,9.6,9.1,54.9,52.6,2.3
５人以上,P 複合サービス事業,19,164,152.5,11.5,18.1,111.7,94.6,17.1
５人以上,Q サービス業（他に分類されないもの）,20.4,170.6,155.3,15.3,15.6,91.7,89.3,2.4
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,
第５－１表　産業、就業形態別労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人以上）,,,,,,,,,
