,名称,所在地,開設年月日,定員
1,ムーミン保育室,太平3－19－1,平14.2.1,40
2,ひまわり保育園,押上2－32－10,平14.4.1,25
3,ピノキオ幼児舎鐘ヶ淵園,堤通2－8－2,平15.4.1,28
4,アスク両国保育園,亀沢2-14-9,平16.12.1,33
5,こすもす保育園,錦糸1-14-7,平17.10.1,25
6,ポピンズナーサリースクールすみだ,太平4-1-1,平18.5.1,30
7,ゆらりん曳舟保育園,京島1-38-1-107,平20.4.1,30
8,マミーズエンジェル墨田みなみ保育園,亀沢4-24-13,平22.4.1,29
9,保育園夢未来錦糸町園,太平3－3－12,平22.11.1,40
