,名称,所在地,開設年月日,定員
1,チェリッシュ曳舟,京島１－３６－１,平26.4.1,19
2,あい・あい保育園　小村井園,立花５－２４－１１,平26.4.1,19
3,ぶどうの木保育室　※2,東駒形４－４－８,平24.6.16,11
4,八広ぶどうの木保育室　※2,八広６－３７－５,平25.11.1,15
5,ちゃのま保育園,横川４－９－８－１０１,平27.4.1,19
6,キャリー保育園　東向島,東向島５－３６－１０,平28.4.1,18
7,じょうえん第２保育園,京島１－６－６－１０５,平28.4.1,12
8,じょうえん第３保育園,京島１－６－６－１０６,平27.4.1,18
