,名称,所在地,開設年月日,園庭面積[㎡],建物面積[㎡],定員[0歳],定員[1歳],定員[2歳],定員[3歳],定員[4～5歳],計
1,興望館保育園,京島1－11－6,昭23.7.1,970.96,1259.362,21,25,28,28,58,160
2,光の園保育学校,東駒形4－6－2,昭24.5.1,386.605,587.76,,24,24,28,56,150
2,光の園保育学校外手分園,本所2－1－16,平13.1.1,,259,18,,,,,
3,菊川保育園,江東橋5－3－3,昭26.1.20,391.64,1501.76,9,18,25,25,50,127
4,墨田みどり保育園,亀沢3－7－11,昭29.11.1,128.98,874.9,3,17,20,20,40,100
5,厚生館保育園,立花5－21－3,昭30.12.1,268.6,675.31,9,17,17,19,38,100
6,ほがらか保育園,墨田4－30－14,昭31.6.1,182.06,470.82,4,10,14,14,28,70
7,幼保連携型認定こども園共愛館保育園,押上3－53－6,昭31.12.26,666.47,1206.62,12,22,24,24,48,130
8,さゆり保育園,東向島6－7－8,昭41.9.1,255.52,457.77,8,12,15,15,30,80
9,木ノ下保育園,墨田4－60－13,昭45.2.1,210.3,253.87,3,5,10,14,28,60
10,杉の子学園保育所,東向島2－13－6,昭45.3.10,,984.35,6,20,21,21,42,110
11,ナースリー保育園,東向島6－15－5,昭51.4.1,,352.07,10,,10,10,21,61
11,ナースリー保育園分園,東向島6－16－10,平12.5.1,35.51,42.82,,10,,,,
12,育正保育園,東駒形1－3－15,平19.1.1,,434.29,9,15,16,16,34,90
13,こひつじ保育園,緑2-23-3,平19.4.1,,1074.01,6,13,18,21,42,100
14,わらべみどり保育園,緑3-12-2,平22.4.1,,998.42,9,15,18,18,40,100
14,わらべみどり保育園向島分園,向島4-2-14,平26.7.1,,234.49,3,9,12,18,,42
15,本所たから保育園,東駒形4-4-7,平23.4.1,,522.38,,9,12,18,36,75
16,すみだ中和こころ保育園,菊川1-18-5,平24.4.1,,331.05,6,10,11,11,22,60
17,両国・なかよし保育園,両国1‐10‐7,平25.10.1,,957.87,9,20,20,20,50,119
18,小梅保育園,向島3-42-1,平27.4.1,,392.37,6,6,9,13,26,60
19,すみだ川のほとりに笑顔咲くほいくえん,立川2-12-16,平27.4.1,,448.53,6,11,12,12,24,65
20,まなびの森保育園錦糸町,太平2-4-4,平27.4.1,,351.81,6,10,11,11,22,60
21,グローバルキッズ押上園,押上2-19-2,平27.4.1,,704.77,9,18,18,20,40,105
22,両国すきっぷ保育園,両国4-25-9,平27.4.1,,226.02,9,10,10,10,21,60
23,のびのび保育園,千歳3-8-13、千歳2-9-8,平27.4.1,,157.13、138.08,8,8,8,9,18,51
24,すこやか錦糸保育園,錦糸3-7-1,平27.4.1,,452.01,12,12,12,12,24,72
25,あい・あい保育園錦糸町園,亀沢4-5-4,平27.10.1,,198.51,6,6,7,7,14,40
26,うぃず東駒形保育園,東駒形2-9-9,平27.12.1,,368,6,8,10,12,14,50
27,ベネッセ 菊川北保育園,立川4-10-9,平28.4.1,,395.09,6,11,11,11,22,61
28,小学館アカデミーひきふね駅前保育園,京島 1-1-1-314,平28.4.1,,439,9,10,15,10,20,64
計,,28箇所,,,,228,381,438,467,908,2422
