区分,,区立,私立,計
施設数(か所),,27,28,55
職員数,保育士,612,483,1095
職員数,その他,135,151,286
定員,,2842,2422,5264
入所児童数,区内保育所の入所児,2676,2371,5047
入所児童数,区外への委託児,4,7,11
入所児童数,小計,2680,2378,5058
入所児童数,（再掲）区外からの受託児,7,20,27
入所児のうち,0歳児保育,181,231,412
入所児のうち,障害児保育,115,61,176
