,,平成24年[人],平成25年[人],平成26年[人],平成27年[人],平成28年[人]
0歳,区立,156,177,174,180,181
0歳,私立,150,143,152,207,231
0歳,計,306,320,326,387,412
1歳,区立,404,405,410,411,413
1歳,私立,230,239,253,356,387
1歳,計,634,644,663,767,800
2歳,区立,489,494,499,498,494
2歳,私立,272,276,299,398,436
2歳,計,761,770,798,896,930
3歳,区立,509,528,526,511,525
3歳,私立,306,314,337,429,484
3歳,計,815,842,863,940,1009
4歳,区立,523,526,550,530,533
4歳,私立,297,308,327,385,447
4歳,計,820,834,877,915,980
5歳,区立,519,529,531,547,530
5歳,私立,272,298,312,348,386
5歳,計,791,827,843,895,916
合計,,4127,4237,4370,4800,5047
