区分,平成23年,平成24年,平成25年,平成26年,平成27年
被生活保護世帯,6330,6503,6549,6481,6544
被保護者数,8006,8238,8263,8147,8201
保護率(‰),31.99,32.6,32.4,31.5,31.3
