区分,,平成24年,平成25年,平成26年,平成27年,平成28年
施設数,,14,14,14,10,9
児童数,0歳,67,72,70,58,57
児童数,1歳,108,104,109,84,70
児童数,2歳,107,102,99,79,63
児童数,3歳,49,63,47,32,34
児童数,4歳以上,56,59,72,37,36
計,,387,400,397,290,260
