,名称,所在地,開設年月日,27年度4月1日登録者数,27年度延登録者数,27年度延利用人数,28年4月1日現在学年別内訳1年生,28年4月1日現在学年別内訳2年生,28年4月1日現在学年別内訳3年生～,28年4月1日現在学年別内訳計,28年4月1日現在学校別内訳,,
1,墨田児童会館学童クラブ,墨田2－30－15,昭51.4.1,70,16542,12713,17,29,24,70,梅若、二寺　外,,
2,墨田児童会館第二学童クラブ,墨田2－30－15,平22.4.1,40,7320,4666,7,23,10,40,梅若、二寺、隅田　外,,
3,墨田児童会館学童クラブ二寺分室,東向島4－30－2,平7.4.1,60,14153,11369,45,13,2,60,二寺,,
4,墨田児童会館学童クラブ隅田分室,墨田4－6－5,平17.4.1,60,14312,11308,45,9,6,60,隅田,,
5,墨田児童会館学童クラブ梅若分室,墨田2-25-1,平23.4.1,40,9599,7591,14,17,9,40,梅若,,
6,八広児童館学童クラブ,八広2－38－14,昭52.4.1,45,11465,9218,17,18,10,45,第三吾嬬、第四吾嬬,,
7,八広児童館学童クラブ三吾分室,八広2－36－3,平19.4.1,40,9354,7013,16,12,12,40,第三吾嬬,,
8,江東橋児童館学童クラブ,江東橋1－15－4,昭49.5.7,50,12150,9284,19,28,11,58,錦糸、緑、菊川、両国　外,,
9,江東橋児童館学童クラブ菊川分室,立川4－12－15,平7.4.1,60,13743,10393,25,21,14,60,菊川、緑,,
10,東向島児童館学童クラブ,東向島6－6－12,昭50.7.22,70,16796,12823,27,22,21,70,一寺、二寺、三寺、曳舟　外,,
11,東向島児童館学童クラブ一寺分室,東向島1－16－2,平15.4.1,44,10615,8664,31,13,1,45,一寺,,
12,東向島児童館学童クラブ三寺分室,東向島6-8-1,平24.4.1,34,7738,5533,8,11,20,39,一寺、三寺、曳舟　外,,
13,立花児童館学童クラブ,立花1－27－9,昭51.6.1,44,10692,9095,25,13,6,44,立花吾嬬の森、東吾嬬　外,,
14,立花児童館学童クラブ分室,立花1－28－3－105,昭60.4.1,29,7305,5356,7,3,8,18,立花吾嬬の森、東吾嬬　外,,
15,立花児童館学童クラブ第二分室,立花1－23－2－206,平22.4.1,59,14334,11179,7,27,26,60,立花吾嬬の森、東吾嬬,,
16,立川児童館学童クラブ,立川1－5－2,昭54.6.1,70,16746,12129,26,23,21,70,両国、緑　外,,
17,立川児童館学童クラブ中和分室,菊川1－18－10,平17.4.1,25,14603,11828,10,9,6,25,中和,,
18,立川児童館学童クラブ中和第二分室,菊川1－18－10,平27.4.1,35,,,8,17,10,35,中和　外,,
19,立川児童館学童クラブ両国分室,両国4－24－5,平28.4.1,,,,17,3,5,25,両国　外,,
20,文花児童館学童クラブ,文花1－32－11,昭55.4.1,39,9656,7518,18,12,15,45,四吾、押上,,
21,文花児童館第二学童クラブ,文花1－32－11,平22.4.1,16,4005,2784,3,5,8,16,四吾、押上　外,,
22,文花児童館学童クラブ押上分室,押上3－46－17,平11.4.1,34,7723,6102,9,11,12,32,押上,,
23,文花児童館学童クラブ四吾分室,京島3－64－9,平27.4.1,40,9720,7328,13,20,6,39,四吾　外,,
24,中川児童館学童クラブ,立花5－18－9,昭58.4.1,70,16988,13876,34,26,10,70,中川、東吾嬬、四吾　外,,
25,外手児童館学童クラブ,本所2－6－9,昭58.9.1,70,30912,13219,26,24,20,70,外手、二葉　外,,
26,外手児童館第二学童クラブ,本所2－6－9,平25.12.1,30,7009,4819,7,4,19,30,外手、二葉　外,,
27,外手児童館学童クラブ分室,亀沢2-24-12,平15.4.1,60,14357,11656,26,28,6,60,二葉、緑　外,,
28,外手児童館学童クラブ業平分室,業平2-4-8,平20.4.1,44,10570,9034,32,6,7,45,業平,,
29,八広はなみずき児童館学童クラブ,八広4－27－8,昭60.4.1,69,16739,13144,29,25,16,70,八広　外,,
30,八広はなみずき児童館第二学童クラブ,八広4－27－8,平25.4.1,38,9451,7330,19,18,6,43,八広,,
31,さくら橋コミュニティセンター学童クラブ,向島2－3－8,昭61.4.1,44,10692,9007,20,13,10,43,小梅　外,,
32,さくら橋コミュニティセンター第二学童クラブ,向島2－3－8,平28.4.1,,,,10,20,10,40,小梅　外,,
33,さくら橋コミュニティセンター学童クラブ言問分室,向島5-40-14,平21.4.1,43,10449,8391,15,15,13,43,言問,,
34,東駒形コミュニティ会館学童クラブ,東駒形4－14－1,昭57.5.1,47,10888,7377,34,17,16,67,業平、横川　外,,
35,梅若橋コミュニティ会館学童クラブ,堤通2－9－1,昭63.4.1,15,3082,1938,,,,0,隅田　外,,
36,横川コミュニティ会館学童クラブ,横川5－9－1,平7.4.1,52,13540,10397,22,25,16,63,柳島　業平　外,,
37,横川コミュニティ会館第二学童クラブ,横川5－9－1,平24.4.1,59,13691,10093,19,18,24,61,柳島　外,,
,計,37箇所,,1645,406939,304175,707,598,436,1741,,,
