,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
第１段階,79618520,117863832,124224255,129750095,407936575
第２段階,214968190,300112000,305207355,306489360,185829565
特例第3段階,,157835705,165322915,177220080,80190
第３段階,276809024,199137530,209409470,212750500,218105610
特例第4段階,253528818,380200833,379973225,380046325,389600
第４段階,232905560,324554854,334968550,348064630,373702400
第５段階,341251294,496355298,520625143,541350645,351408865
第６段階,322968218,406299714,417886818,423933905,563059830
第７段階,328360560,282016095,291307720,296734280,432048842
第８段階,118505000,261458436,266327113,284765331,292870730
第９段階,82702828,182096640,196608770,210428885,290975120
第１０段階,32469020,151235852,161082970,162707145,220622670
第１１段階,74044874,72777426,69844950,78583680,159748623
第１２段階,,151995420,161850060,184171670,77004800
第１３段階,,,,,189068280
合計,2358131906,3483939635,3604639314,3736996531,3762851700
