,利用状況,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
両国子育てひろば,新規登録者数（人）,900,1048,1009,1055,1100
両国子育てひろば,利用者数（人）,24777,27508,28788,33282,36012
両国子育てひろば,相談件数（件）,535,707,636,542,514
文花子育てひろば,新規登録者数（人）,928,1021,868,1030,1079
文花子育てひろば,利用者数（人）,27616,31511,28618,32879,32186
文花子育てひろば,相談件数（件）,779,845,971,813,899
