"選挙名称","時現在","投票者数[人]","投票率[%]"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","8時現在","1160","0.57"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","9時現在","3146","1.56"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","10時現在","6894","3.42"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","11時現在","12530","6.21"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","12時現在","19421","9.62"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","13時現在","26303","13.03"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","14時現在","32737","16.22"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","15時現在","38887","19.26"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","16時現在","44901","22.24"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","17時現在","50958","25.24"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","18時現在","57857","28.66"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","19時現在","65055","32.23"
"令和元年7月21日執行　参議院（選挙区選出）議員選挙","20時終了","97759","48.14"

"令和元年7月21日執行　参議院選挙区選出議員選挙投票状況","Ver201907",,
