"年度","個人利用[人]","団体利用[人]","区民無料公開の日[人]","障害者 高齢者 幼児等[人]","その他[人]"
"2013","235420","98639","30110","71892","33491"
"2014","261416","110259","32809","97273","44148"
"2015","383344","137103","40266","180351","48175"
"2016","418471","151454","40554","193721","51539"
"2017","427086","171293","42400","187728","53813"

"平成30年度港区行政資料集　施設利用状況一覧 スポーツセンター","Ver201803",,,,
