"地物・地点_全国地方公共団体コード","地物・地点_ID","地物・地点_名称","地物・地点_名称_カナ","地物・地点_名称_英字","地物・地点_POIコード","地物・地点_説明","住所_全国地方公共団体コード","住所_町字ID","住所_都道府県","住所_市区町村（郡）","住所_町字","住所_番地以下","住所_建物名等(方書)","住所_連結表記","住所_緯度","住所_経度","住所_座標参照系","住所_座標参照系コード","住所_国名","住所_国コード","住所_郡","住所_市区町村","住所_政令市区","住所_大字・町","住所_小字","住所_住居表示フラグ","住所_街区符号","住所_住居番号","住所_地番","住所_建物名","住所_フロア名","住所_部屋番号","地物・地点_建物名等","連絡先_名称","連絡先_電話番号","連絡先_内線番号","連絡先_メールアドレス","連絡先_FormURL","連絡先_備考（その他、SNSなど）","連絡先_郵便番号","連絡先_住所","地物・地点_URL","地物・地点_備考"
"132136","132136V50001","北山公園","","","","","132136","","東京都","東村山市","野口町4丁目","50番地","","東京都東村山市野口町4丁目50番地","35.766954","139.460107","","","","","","","","","","","","","","","","","","","","","","","","","","","・座標精度：街区代表点"
"132136","132136V50002","国宝正福寺地蔵堂（※正福寺境内）","","","","","132136","","東京都","東村山市","野口町4丁目","6番地1","正福寺境内","東京都東村山市野口町4丁目6番地1 正福寺境内","35.764723","139.459459","","","","","","","","","","","","","","","","","","","","","","","","","","","・座標精度：番地号一致（同住所の別建物あり）"
"132136","132136V50003","正福寺","","","","","132136","","東京都","東村山市","野口町4丁目","6番地1","正福寺境内","東京都東村山市野口町4丁目6番地1 正福寺境内","35.764723","139.459459","","","","","","","","","","","","","","","","","","","","","","","","","","","・座標精度：番地号一致（同住所の別建物あり）"
"132136","132136V50004","大善院","","","","","132136","","東京都","東村山市","野口町4丁目","16番地1","","東京都東村山市野口町4丁目16番地1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50005","諏訪神社","","","","","132136","","東京都","東村山市","諏訪町1丁目","4番地3","","東京都東村山市諏訪町1丁目4番地3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50006","将軍塚","","","","","132136","","東京都","東村山市・所沢市","","","","東京都東村山市・所沢市","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50007","徳蔵寺","","","","","132136","","東京都","東村山市","諏訪町1丁目","26番地3","","東京都東村山市諏訪町1丁目26番地3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50008","梅岩寺","","","","","132136","","東京都","東村山市","久米川町5丁目","24番地6","","東京都東村山市久米川町5丁目24番地6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50009","白山神社","","","","","132136","","東京都","東村山市","久米川町4丁目","41番地2","","東京都東村山市久米川町4丁目41番地2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50010","志村けんの木と銅像","","","","","132136","","東京都","東村山市","本町2丁目","","","東京都東村山市本町2丁目","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50011","氷川神社（※秋津町）","","","","","132136","","東京都","東村山市","秋津町4丁目","13番地1","","東京都東村山市秋津町4丁目13番地1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50012","秋津神社","","","","","132136","","東京都","東村山市","秋津町5丁目","27番地1","","東京都東村山市秋津町5丁目27番地1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50013","八坂神社","","","","","132136","","東京都","東村山市","栄町3丁目","35番地1","","東村山市栄町3丁目35番地1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50014","都立 八国山緑地","","","","","132136","","東京都","東村山市","諏訪町2・3丁目","","","東村山市諏訪町2・3丁目","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50015","淵の森緑地","","","","","132136","","東京都","東村山市","秋津町5丁目","31番地","","東村山市秋津町5丁目31番地","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50016","都立 狭山公園","","","","","132136","","東京都","東村山市","多摩湖町3丁目","17番地19","","東村山市多摩湖町3丁目17番地19","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50017","氷川神社 （※都立 狭山公園内）","","","","","132136","","東京都","東村山市","多摩湖町3丁目","16番地30","","東村山市多摩湖町3丁目16番地30","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50018","多摩湖自転車歩行者道","","","","","132136","","東京都","東村山市","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50019","野火止用水","","","","","132136","","東京都","東村山市","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","132136V50020","大岱稲荷神社","","","","","132136","","東京都","東村山市","恩多町3丁目","33番地1","","東村山市恩多町3丁目33番地1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
