"投票所_全国地方公共団体コード","施設_ID","投票所_ID","投票所_名称","投票所_名称（カナ）","投票所_名称（英字）","投票所_説明","投票所_緯度","投票所_経度","投票所_座標参照系","投票所_座標参照系コード","投票所_投票所区分","投票所_投票区名"
"132136","132136R00001","132136R00001","東村山市役所本庁舎","","","","","","","","投票所","第１投票区"
"132136","132136R00002","132136R00002","久米川小学校","","","","","","","","投票所","第２投票区"
"132136","132136R00003","132136R00003","東村山第二中学校","","","","","","","","投票所","第３投票区"
"132136","132136R00004","132136R00004","秋津小学校","","","","","","","","投票所","第４投票区"
"132136","132136R00005","132136R00005","秋津東小学校","","","","","","","","投票所","第５投票区"
"132136","132136R00006","132136R00006","青葉小学校","","","","","","","","投票所","第６投票区"
"132136","132136R00007","132136R00007","全生園公会堂","","","","","","","","投票所","第７投票区"
"132136","132136R00008","132136R00008","さくらコート青葉町","","","","","","","","投票所","第８投票区"
"132136","132136R00009","132136R00009","東村山第五中学校","","","","","","","","投票所","第９投票区"
"132136","132136R00010","132136R00010","野火止小学校","","","","","","","","投票所","第１０投票区"
"132136","132136R00011","132136R00011","東村山第三中学校","","","","","","","","投票所","第１１投票区"
"132136","132136R00012","132136R00012","希望の郷 東村山","","","","","","","","投票所","第１２投票区"
"132136","132136R00013","132136R00013","萩山小学校","","","","","","","","投票所","第１３投票区"
"132136","132136R00014","132136R00014","都営集会所","","","","","","","","投票所","第１４投票区"
"132136","132136R00015","132136R00015","八坂小学校","","","","","","","","投票所","第１５投票区"
"132136","132136R00016","132136R00016","東村山第一中学校","","","","","","","","投票所","第１６投票区"
"132136","132136R00017","132136R00017","私立明法高校","","","","","","","","投票所","第１７投票区"
"132136","132136R00018","132136R00018","第四保育園","","","","","","","","投票所","第１８投票区"
"132136","132136R00019","132136R00019","回田小学校","","","","","","","","投票所","第１９投票区"
"132136","132136R00020","132136R00020","東村山第四中学校","","","","","","","","投票所","第２０投票区"
"132136","132136R00021","132136R00021","化成小学校","","","","","","","","投票所","第２１投票区"
"132136","132136R00022","132136R00022","東村山市期日前投票所","","","","","","","","期日前投票所",""
"132136","132136R00023","132136R00023","東村山駅西口期日前投票所","","","","","","","","期日前投票所",""
