全国地方公共団体コード,ID,地方公共団体名,地区名,ゴミの品目,ゴミの品目_カナ,ゴミの品目_英字,分別区分,注意点,備考,粗大ごみ回収料金
132136,132136GMLT000409,東村山市,全域,アイロン,アイロン,,燃やせないごみ,,,
132136,132136GMLT000410,東村山市,全域,アイロン台,アイロンダイ,,粗大ごみ,,,
132136,132136GMLT000411,東村山市,全域,アコーディオン（楽器）,アコーディオン,,粗大ごみ,,,
132136,132136GMLT000412,東村山市,全域,アコーディオンカーテン,アコーディオンカーテン,,粗大ごみ,,,
132136,132136GMLT000413,東村山市,全域,足拭きマット,アシフキマット,,燃やせるごみ,,,
132136,132136GMLT000414,東村山市,全域,足踏み自動車（子供用）,アシブミジドウシャ,,粗大ごみ,,,
132136,132136GMLT000415,東村山市,全域,足踏みミシン,アシブミミシン,,粗大ごみ,,,
132136,132136GMLT000416,東村山市,全域,アタッシュケース,アタッシュケース,,粗大ごみ,,,
132136,132136GMLT000417,東村山市,全域,アダプター,アダプター,,燃やせないごみ,,,
132136,132136GMLT000418,東村山市,全域,油（機械油）,アブラ,,収集しません,,,
132136,132136GMLT000419,東村山市,全域,油（食用）,アブラ,,燃やせるごみ,,,
132136,132136GMLT000420,東村山市,全域,油かん（食用）,アブラカン,,びん・かん,,,
132136,132136GMLT000421,東村山市,全域,油とり紙,アブラトリシ,,燃やせるごみ,,,
132136,132136GMLT000423,東村山市,全域,油の容器（食用、プラスチック製）,アブラノヨウキ,,容器包装プラスチック,,,
132136,132136GMLT000422,東村山市,全域,油びん（食用）,アブラビン,,びん・かん,,,
132136,132136GMLT000424,東村山市,全域,雨具（カッパ）,アマグ,,燃やせないごみ,,,
132136,132136GMLT000428,東村山市,全域,編み機,アミキ,,粗大ごみ,,,
132136,132136GMLT000425,東村山市,全域,網戸,アミド,,粗大ごみ,,,
132136,132136GMLT000426,東村山市,全域,あめの包み袋（紙）,アメノツツミブクロ,,燃やせるごみ,,,
132136,132136GMLT000427,東村山市,全域,あめの包み袋（プラスチック製）,アメノツツミブクロ,,容器包装プラスチック,,,
132136,132136GMLT000429,東村山市,全域,アルカリ電池,アルカリデンチ,,有害ごみ,,,
132136,132136GMLT000430,東村山市,全域,アルミサッシ,アルミサッシ,,収集しません,,,
132136,132136GMLT000431,東村山市,全域,アルミ製の容器,アルミセイノヨウキ,,燃やせないごみ,,,
132136,132136GMLT000432,東村山市,全域,アルミホイル,アルミホイル,,燃やせないごみ,,,
132136,132136GMLT000433,東村山市,全域,あんか,アンカ,,燃やせないごみ,,,
132136,132136GMLT000434,東村山市,全域,安全ピン,アンゼンピン,,燃やせないごみ,,,
132136,132136GMLT000435,東村山市,全域,アンテナ（室内外、パラボラ）,アンテナ,,粗大ごみ,,,
132136,132136GMLT000436,東村山市,全域,アンプ（オーディオ等）,アンプ,,粗大ごみ,,,
132136,132136GMLT000437,東村山市,全域,石,イシ,,収集しません,,,
132136,132136GMLT000438,東村山市,全域,衣装ケース（紙・木製・プラ・金属製）,イショウケース,,粗大ごみ,,,
132136,132136GMLT000439,東村山市,全域,椅子,イス,,粗大ごみ,,,600
132136,132136GMLT000440,東村山市,全域,板ガラス,イタガラス,,燃やせないごみ,,,
132136,132136GMLT000442,東村山市,全域,一升びん,イッショウビン,,びん・かん,,,
132136,132136GMLT000441,東村山市,全域,一輪車（スポーツ用・運搬作業用）,イチリンシャ,,粗大ごみ,,,
132136,132136GMLT000443,東村山市,全域,犬小屋,イヌゴヤ,,粗大ごみ,,,
132136,132136GMLT000444,東村山市,全域,鋳物類,イモノルイ,,燃やせないごみ,,,
132136,132136GMLT000445,東村山市,全域,医療廃棄物（注射針）,イリョウハイキブツ,,収集しません,,,
132136,132136GMLT000446,東村山市,全域,医療廃棄物（点滴袋）,イリョウハイキブツ,,燃やせるごみ,,,
132136,132136GMLT000447,東村山市,全域,衣類（まだ着られる物）,イルイ,,古紙・古着,,,
132136,132136GMLT000448,東村山市,全域,衣類（着られない物）,イルイ,,燃やせるごみ,,,
