"年度","区分","18歳未満[人]","18歳以上[人]","合計[人]"
"2016","合計","241","562","803"
"2017","合計","255","565","820"
"2018","合計","273","578","851"
"2019","合計","284","587","871"
"2020","１度","7","34","41"
"2020","２度","77","201","278"
"2020","３度","67","157","224"
"2020","４度","146","220","366"
"2020","合計","297","612","909"

"令和3年度港区行政資料集　愛の手帳所持者数","Ver202103",,,
