"年[西暦]","住宅地 最高[千円毎平方メートル]","住宅地 最低[千円毎平方メートル]","商業地 最高[千円毎平方メートル]","商業地 最低[千円毎平方メートル]","工業地 最高[千円毎平方メートル]","工業地 最低[千円毎平方メートル]"
"2017","2040","1170","24200","1260","1300","957"
"2018","2120","1220","25700","1370","1390","995"
"2019","4530","1300","26600","1500","1500","550"
"2020","4720","1320","27000","1530","1550","564"
"2021","4870","1340","27000","1520","1590","575"

"令和4年度港区行政資料集　港区内基準地の用途別最高・最低価格","Ver202107",,,,,
