項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,750,-,-,101,-,107,-,107,-,110,-,108,-,112,-,105,-
0,0,0,0,0,世帯人員,3.02,-,-,2.62,-,2.85,-,3.02,-,3.1,-,3,-,3.33,-,3.2,-
0,0,0,0,0,有業人員,1.28,-,-,1.12,-,1.16,-,1.23,-,1.33,-,1.21,-,1.49,-,1.4,-
0,0,0,0,0,世帯主平均年齢,57.8,-,-,63.1,-,59.6,-,59.2,-,53.8,-,58.2,-,55.3,-,55.4,-
2,2,0,0,0,生計支出,353621,-,3.7,119970,-,188120,-,231233,-,288211,-,343072,-,429878,-,872854,-
2,3,0,0,0,消費支出,353621,100,5.8,119970,100,188120,100,231233,100,288211,100,343072,100,429878,100,872854,100
2,4,1,0,0,食料,81105,22.9,1.5,51549,43,63509,33.8,75811,32.8,77888,27,85979,25.1,100791,23.4,111895,12.8
2,5,1,1,0,穀類,6991,2,-2.4,5424,4.5,6382,3.4,7008,3,6780,2.4,7374,2.1,8003,1.9,7947,0.9
2,6,1,1,1,米類,2469,0.7,4.1,1812,1.5,2699,1.4,"2,589",1.1,"2,426",0.8,"2,580",0.8,"2,606",0.6,"2,567",0.3
2,6,1,1,2,パン,2778,0.8,-6.3,2220,1.9,2223,1.2,"2,749",1.2,"2,404",0.8,"3,076",0.9,"3,349",0.8,"3,411",0.4
2,6,1,1,3,めん類,1381,0.4,-3.9,1079,0.9,1224,0.7,"1,321",0.6,"1,568",0.5,"1,361",0.4,"1,625",0.4,"1,482",0.2
2,6,1,1,4,他の穀類,364,0.1,-6.7,312,0.3,235,0.1,350,0.2,381,0.1,356,0.1,423,0.1,486,0.1
2,5,1,2,0,魚介類,6808,1.9,1.1,5225,4.4,6533,3.5,"7,148",3.1,"6,167",2.1,"8,045",2.3,"6,733",1.6,"7,798",0.9
2,6,1,2,1,生鮮魚介,4083,1.2,1.3,3138,2.6,3727,2,"4,267",1.8,"3,655",1.3,"4,765",1.4,"4,059",0.9,"4,967",0.6
2,6,1,2,2,塩干魚介,1248,0.4,-1.4,958,0.8,1326,0.7,"1,294",0.6,"1,233",0.4,"1,497",0.4,"1,168",0.3,"1,264",0.1
2,6,1,2,3,魚肉練製品,502,0.1,-5.6,424,0.4,535,0.3,630,0.3,407,0.1,514,0.1,466,0.1,541,0.1
2,6,1,2,4,他の魚介加工品,974,0.3,7.9,706,0.6,945,0.5,958,0.4,872,0.3,"1,268",0.4,"1,040",0.2,"1,026",0.1
2,5,1,3,0,肉類,6914,2,5,4401,3.7,5620,3,"6,397",2.8,"7,653",2.7,"6,899",2,"8,179",1.9,"9,233",1.1
2,6,1,3,1,生鮮肉,5548,1.6,6.1,3374,2.8,4566,2.4,5187,2.2,"6,026",2.1,"5,352",1.6,"6,566",1.5,"7,750",0.9
2,6,1,3,2,加工肉,1366,0.4,0.9,1027,0.9,1054,0.6,1210,0.5,1627,0.6,1548,0.5,1612,0.4,1483,0.2
2,5,1,4,0,乳卵類,3692,1,0.1,2741,2.3,3260,1.7,3219,1.4,3615,1.3,4249,1.2,4398,1,"4,351",0.5
2,6,1,4,1,牛乳,1289,0.4,9.6,962,0.8,1224,0.7,"1,209",0.5,"1,264",0.4,"1,516",0.4,"1,559",0.4,"1,283",0.1
2,6,1,4,2,乳製品,1728,0.5,-2.7,1281,1.1,1365,0.7,"1,397",0.6,"1,621",0.6,"2,059",0.6,"2,029",0.5,"2,338",0.3
2,6,1,4,3,卵,675,0.2,-8.4,498,0.4,671,0.4,612,0.3,730,0.3,673,0.2,809,0.2,730,0.1
2,5,1,5,0,野菜・海藻,10075,2.8,-1.8,7555,6.3,10075,5.4,"10,421",4.5,"9,542",3.3,"10,975",3.2,"10,709",2.5,"11,239",1.3
2,6,1,5,1,生鮮野菜,6868,1.9,-1.9,5098,4.2,6671,3.5,7032,3,"6,615",2.3,"7,328",2.1,"7,211",1.7,"8,115",0.9
2,6,1,5,2,乾物・海藻,768,0.2,-0.9,670,0.6,898,0.5,669,0.3,664,0.2,731,0.2,931,0.2,811,0.1
