項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,741,-,-,104,-,103,-,115,-,107,-,100,-,110,-,102,-
0,0,0,0,0,世帯人員,3,-,-,2.62,-,2.95,-,2.91,-,2.87,-,3.12,-,3.27,-,3.23,-
0,0,0,0,0,有業人員,1.32,-,-,1.19,-,1.3,-,1.15,-,1.25,-,1.51,-,1.44,-,1.41,-
0,0,0,0,0,世帯主平均年齢,57.4,-,-,59.5,-,60.9,-,57.9,-,59,-,56.3,-,52.9,-,55.3,-
2,2,0,0,0,生計支出,318807,-,-4.1,107166,-,168344,-,210873,-,262950,-,316449,-,400504,-,762345,-
2,3,0,0,0,消費支出,318587,100,5.6,107166,100,168344,100,210873,100,262950,100,316449,100,400504,100,760813,100
2,4,1,0,0,食料,77423,24.3,1.1,43940,41,63212,37.5,69903,33.1,71795,27.3,86132,27.2,98706,24.6,107940,14.2
2,5,1,1,0,穀類,6136,1.9,-1.1,3786,3.5,5468,3.2,5755,2.7,6093,2.3,6092,1.9,7707,1.9,8021,1.1
2,6,1,1,1,米類,1842,0.6,-3.9,970,0.9,1832,1.1,1848,0.9,1719,0.7,1770,0.6,2359,0.6,2390,0.3
2,6,1,1,2,パン,2592,0.8,1.8,1488,1.4,2196,1.3,2251,1.1,2508,1,2725,0.9,3264,0.8,3697,0.5
2,6,1,1,3,めん類,1246,0.4,-4.7,971,0.9,1164,0.7,1106,0.5,1332,0.5,1220,0.4,1594,0.4,1335,0.2
2,6,1,1,4,他の穀類,455,0.1,4.4,358,0.3,276,0.2,550,0.3,534,0.2,378,0.1,489,0.1,599,0.1
2,5,1,2,0,魚介類,5954,1.9,-1.1,3837,3.6,5700,3.4,5917,2.8,6117,2.3,6315,2,6622,1.7,7147,0.9
2,6,1,2,1,生鮮魚介,3557,1.1,-0.9,2100,2,3505,2.1,3415,1.6,3469,1.3,4002,1.3,4068,1,4327,0.6
2,6,1,2,2,塩干魚介,1043,0.3,-4,803,0.7,992,0.6,1097,0.5,1176,0.4,967,0.3,1020,0.3,1239,0.2
2,6,1,2,3,魚肉練製品,543,0.2,-9.5,464,0.4,601,0.4,573,0.3,488,0.2,607,0.2,493,0.1,576,0.1
2,6,1,2,4,他の魚介加工品,811,0.3,8.4,471,0.4,602,0.4,833,0.4,984,0.4,739,0.2,1041,0.3,1004,0.1
2,5,1,3,0,肉類,6779,2.1,5.4,4520,4.2,5613,3.3,5562,2.6,6155,2.3,7642,2.4,8751,2.2,9187,1.2
2,6,1,3,1,生鮮肉,5387,1.7,5.9,3658,3.4,4425,2.6,4206,2,4724,1.8,6302,2,6810,1.7,7568,1
2,6,1,3,2,加工肉,1392,0.4,3.4,862,0.8,1189,0.7,1356,0.6,1431,0.5,1339,0.4,1942,0.5,1619,0.2
2,5,1,4,0,乳卵類,3818,1.2,6.5,2323,2.2,3330,2,3598,1.7,3814,1.5,4163,1.3,4344,1.1,5139,0.7
2,6,1,4,1,牛乳,1339,0.4,10,733,0.7,1062,0.6,1316,0.6,1376,0.5,1698,0.5,1288,0.3,1898,0.2
2,6,1,4,2,乳製品,1786,0.6,3.8,1086,1,1685,1,1561,0.7,1709,0.6,1762,0.6,2337,0.6,2354,0.3
2,6,1,4,3,卵,693,0.2,7.3,505,0.5,583,0.3,721,0.3,729,0.3,703,0.2,719,0.2,887,0.1
2,5,1,5,0,野菜・海藻,9543,3,7.6,6337,5.9,8629,5.1,9088,4.3,9254,3.5,10803,3.4,10827,2.7,11835,1.6
2,6,1,5,1,生鮮野菜,6552,2.1,11.2,4418,4.1,5898,3.5,5965,2.8,6195,2.4,7400,2.3,7673,1.9,8299,1.1
2,6,1,5,2,乾物・海藻,655,0.2,-2.8,420,0.4,631,0.4,745,0.4,600,0.2,804,0.3,681,0.2,703,0.1
2,6,1,5,3,大豆加工品,1125,0.4,1.7,706,0.7,1060,0.6,1108,0.5,1103,0.4,1313,0.4,1222,0.3,1359,0.2
2,6,1,5,4,他の野菜・海藻加工品,1210,0.4,1.3,793,0.7,1039,0.6,1269,0.6,1356,0.5,1285,0.4,1251,0.3,1474,0.2
2,5,1,6,0,果物,3006,0.9,8.7,2168,2,2508,1.5,3260,1.5,2609,1,3294,1,3466,0.9,3731,0.5
2,6,1,6,1,生鮮果物,2781,0.9,9.6,2055,1.9,2323,1.4,3060,1.5,2352,0.9,3086,1,3214,0.8,3371,0.4
2,6,1,6,2,果物加工品,225,0.1,-1.3,113,0.1,185,0.1,199,0.1,257,0.1,208,0.1,252,0.1,360,0
2,5,1,7,0,油脂・調味料,3500,1.1,3.7,2251,2.1,3356,2,3564,1.7,3546,1.3,3592,1.1,4112,1,4069,0.5
2,6,1,7,1,油脂,310,0.1,-9.1,201,0.2,323,0.2,304,0.1,337,0.1,327,0.1,376,0.1,298,0
2,6,1,7,2,調味料,3191,1,5.2,2050,1.9,3033,1.8,3260,1.5,3209,1.2,3265,1,3736,0.9,3771,0.5
2,5,1,8,0,菓子類,5145,1.6,4.3,3108,2.9,3973,2.4,4086,1.9,5048,1.9,6117,1.9,6839,1.7,6824,0.9
2,5,1,9,0,調理食品,9852,3.1,1.9,6100,5.7,9076,5.4,8832,4.2,9560,3.6,10452,3.3,11249,2.8,13659,1.8
2,6,1,9,1,主食的調理食品,4189,1.3,1.1,2577,2.4,3738,2.2,3835,1.8,4230,1.6,4477,1.4,4843,1.2,5603,0.7
2,6,1,9,2,他の調理食品,5664,1.8,2.5,3523,3.3,5338,3.2,4997,2.4,5329,2,5975,1.9,6406,1.6,8056,1.1
2,5,1,10,0,飲料,3999,1.3,4,1884,1.8,3146,1.9,3607,1.7,3820,1.5,4516,1.4,5089,1.3,5910,0.8
2,6,1,10,1,茶類,1082,0.3,2.8,468,0.4,931,0.6,1017,0.5,1077,0.4,1354,0.4,1133,0.3,1590,0.2
