項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3038,-,5142,-,651,-,165,-,1169,-,3145,-
0,0,0,0,0,調査世帯数,760,-,236,-,388,-,50,-,12,-,86,-,233,-
0,0,0,0,0,世帯人員,3.06,-,2,-,3.64,-,2.33,-,2.63,-,3.68,-,3.3,-
0,0,0,0,0,有業人員,1.36,-,0.87,-,1.64,-,0.99,-,0.79,-,1.6,-,2.28,-
0,0,0,0,0,世帯主平均年齢,56.9,-,65.7,-,50.7,-,64,-,40.4,-,57.8,-,50.4,-
2,2,0,0,0,生計支出,375503,-,431995,-,374905,-,209178,-,245095,-,323908,-,413710,-
2,3,0,0,0,消費支出,339876,100,317650,100,373183,100,209178,100,245095,100,323908,100,338668,100
2,4,1,0,0,食料,81247,23.9,74376,23.4,86499,23.2,61373,29.3,58384,23.8,87066,26.9,84411,24.9
2,5,1,1,0,穀類,6454,1.9,5426,1.7,7070,1.9,4905,2.3,4425,1.8,7284,2.2,6249,1.8
2,6,1,1,1,米類,2367,0.7,2136,0.7,2415,0.6,1696,0.8,1991,0.8,3131,1,2182,0.6
2,6,1,1,2,パン,2491,0.7,2036,0.6,2866,0.8,1870,0.9,1625,0.7,2375,0.7,2372,0.7
2,6,1,1,3,めん類,1228,0.4,972,0.3,1349,0.4,1057,0.5,562,0.2,1455,0.4,1331,0.4
2,6,1,1,4,他の穀類,368,0.1,282,0.1,440,0.1,283,0.1,246,0.1,322,0.1,364,0.1
2,5,1,2,0,魚介類,5919,1.7,5942,1.9,5713,1.5,4985,2.4,2732,1.1,7280,2.2,4953,1.5
2,6,1,2,1,生鮮魚介,3676,1.1,3519,1.1,3617,1,3346,1.6,1757,0.7,4522,1.4,3107,0.9
2,6,1,2,2,塩干魚介,1008,0.3,1033,0.3,969,0.3,721,0.3,372,0.2,1276,0.4,896,0.3
2,6,1,2,3,魚肉練製品,455,0.1,463,0.1,418,0.1,460,0.2,227,0.1,593,0.2,377,0.1
2,6,1,2,4,他の魚介加工品,780,0.2,926,0.3,709,0.2,457,0.2,376,0.2,889,0.3,573,0.2
2,5,1,3,0,肉類,6640,2,4813,1.5,7736,2.1,4390,2.1,3956,1.6,7819,2.4,6649,2
2,6,1,3,1,生鮮肉,5226,1.5,3768,1.2,6141,1.6,3380,1.6,3001,1.2,6016,1.9,5195,1.5
2,6,1,3,2,加工肉,1414,0.4,1046,0.3,1595,0.4,1010,0.5,955,0.4,1803,0.6,1453,0.4
2,5,1,4,0,乳卵類,3829,1.1,3306,1,4141,1.1,2761,1.3,2558,1,4412,1.4,3745,1.1
2,6,1,4,1,牛乳,1457,0.4,1323,0.4,1557,0.4,1174,0.6,1213,0.5,1523,0.5,1343,0.4
2,6,1,4,2,乳製品,1721,0.5,1437,0.5,1887,0.5,1075,0.5,768,0.3,2086,0.6,1761,0.5
2,6,1,4,3,卵,651,0.2,545,0.2,697,0.2,512,0.2,577,0.2,804,0.2,641,0.2
2,5,1,5,0,野菜・海藻,9937,2.9,9980,3.1,9784,2.6,8447,4,5233,2.1,11326,3.5,9092,2.7
2,6,1,5,1,生鮮野菜,6962,2,6862,2.2,6948,1.9,5853,2.8,3598,1.5,7904,2.4,6328,1.9
2,6,1,5,2,乾物・海藻,664,0.2,672,0.2,652,0.2,674,0.3,268,0.1,689,0.2,588,0.2
2,6,1,5,3,大豆加工品,1096,0.3,1102,0.3,1070,0.3,944,0.5,715,0.3,1280,0.4,1053,0.3
2,6,1,5,4,他の野菜・海藻加工品,1215,0.4,1344,0.4,1115,0.3,976,0.5,652,0.3,1452,0.4,1123,0.3
2,5,1,6,0,果物,3174,0.9,3380,1.1,2931,0.8,3493,1.7,2012,0.8,3530,1.1,2268,0.7
2,6,1,6,1,生鮮果物,2986,0.9,3205,1,2739,0.7,3338,1.6,1986,0.8,3309,1,2124,0.6
2,6,1,6,2,果物加工品,188,0.1,175,0.1,191,0.1,156,0.1,26,0,220,0.1,144,0
2,5,1,7,0,油脂・調味料,3184,0.9,2779,0.9,3368,0.9,2484,1.2,1776,0.7,3813,1.2,3126,0.9
2,6,1,7,1,油脂,328,0.1,299,0.1,331,0.1,239,0.1,74,0,441,0.1,313,0.1
2,6,1,7,2,調味料,2856,0.8,2480,0.8,3037,0.8,2245,1.1,1702,0.7,3373,1,2812,0.8
2,5,1,8,0,菓子類,5438,1.6,4347,1.4,6214,1.7,4781,2.3,5447,2.2,5230,1.6,5985,1.8
2,5,1,9,0,調理食品,9769,2.9,8659,2.7,10357,2.8,8038,3.8,7478,3.1,11032,3.4,10384,3.1
