"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31","時刻32","時刻33","時刻34","時刻35","時刻36","時刻37","時刻38","備考"
"高輪ルート","品川駅港南口","150","浅草線三田駅前","7:51","8:11","8:31","8:51","9:11","9:31","9:51","10:11","10:31","10:51","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","13:51","14:11","14:31","14:51","15:11","15:31","15:51","16:11","16:31","16:51","17:11","17:31","17:51","18:11","18:31","18:51","19:11","19:31","19:51","20:11","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
"高輪ルート","品川駅港南口","5","勤労福祉会館前","7:52","8:12","8:32","8:52","9:12","9:32","9:52","10:12","10:32","10:52","11:12","11:32","11:52","12:12","12:32","12:52","13:12","13:32","13:52","14:12","14:32","14:52","15:12","15:32","15:52","16:12","16:32","16:52","17:12","17:32","17:52","18:12","18:32","18:52","19:12","19:32","19:52","20:12","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
"高輪ルート","品川駅港南口","6","芝五丁目","7:54","8:14","8:34","8:54","9:14","9:34","9:54","10:14","10:34","10:54","11:14","11:34","11:54","12:14","12:34","12:54","13:14","13:34","13:54","14:14","14:34","14:54","15:14","15:34","15:54","16:14","16:34","16:54","17:14","17:34","17:54","18:14","18:34","18:54","19:14","19:34","19:54","20:14","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
"高輪ルート","品川駅港南口","151","慶應義塾東門","7:56","8:16","8:36","8:56","9:16","9:36","9:56","10:16","10:36","10:56","11:16","11:36","11:56","12:16","12:36","12:56","13:16","13:36","13:56","14:16","14:36","14:56","15:16","15:36","15:56","16:16","16:36","16:56","17:16","17:36","17:56","18:16","18:36","18:56","19:16","19:36","19:56","20:16","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
"高輪ルート","品川駅港南口","152","三田三丁目","7:57","8:17","8:37","8:57","9:17","9:37","9:57","10:17","10:37","10:57","11:17","11:37","11:57","12:17","12:37","12:57","13:17","13:37","13:57","14:17","14:37","14:57","15:17","15:37","15:57","16:17","16:37","16:57","17:17","17:37","17:57","18:17","18:37","18:57","19:17","19:37","19:57","20:17","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
"高輪ルート","品川駅港南口","153","三田四丁目","7:59","8:19","8:39","8:59","9:19","9:39","9:59","10:19","10:39","10:59","11:19","11:39","11:59","12:19","12:39","12:59","13:19","13:39","13:59","14:19","14:39","14:59","15:19","15:39","15:59","16:19","16:39","16:59","17:19","17:39","17:59","18:19","18:39","18:59","19:19","19:39","19:59","20:19","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
"高輪ルート","品川駅港南口","154","高輪一丁目","8:00","8:20","8:40","9:00","9:20","9:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:20","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
"高輪ルート","品川駅港南口","146","魚籃坂下","8:05","8:25","8:45","9:05","9:25","9:45","10:05","10:25","10:45","11:05","11:25","11:45","12:05","12:25","12:45","13:05","13:25","13:45","14:05","14:25","14:45","15:05","15:25","15:45","16:05","16:25","16:45","17:05","17:25","17:45","18:05","18:25","18:45","19:05","19:25","19:45","20:05","20:25","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
"高輪ルート","品川駅港南口","147","高輪地区総合支所前","8:06","8:26","8:46","9:06","9:26","9:46","10:06","10:26","10:46","11:06","11:26","11:46","12:06","12:26","12:46","13:06","13:26","13:46","14:06","14:26","14:46","15:06","15:26","15:46","16:06","16:26","16:46","17:06","17:26","17:46","18:06","18:26","18:46","19:06","19:26","19:46","20:06","20:26","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
"高輪ルート","品川駅港南口","155","高輪二丁目","8:08","8:28","8:48","9:08","9:28","9:48","10:08","10:28","10:48","11:08","11:28","11:48","12:08","12:28","12:48","13:08","13:28","13:48","14:08","14:28","14:48","15:08","15:28","15:48","16:08","16:28","16:48","17:08","17:28","17:48","18:08","18:28","18:48","19:08","19:28","19:48","20:08","20:28","浅草線三田駅前で乗車したまま、品川駅港南口方面へ乗り継ぐことができます。"
