"名称","区分","総合支所","町丁目","住所","調査敷地面積[平方メートル]","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","緑被地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被率[％]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]"
"港区役所（行政棟）","区立公共施設","芝地区","芝公園一丁目","芝公園一丁目5番25号","4548","420","0","817","1237","0","0","27.20","9.23","0.00","17.97"
"港区役所（議会棟）","区立公共施設","芝地区","芝公園一丁目","芝公園一丁目5番25号","792","3","0","0","3","0","0","0.40","0.40","0.00","0.00"
"麻布地区総合支所","区立公共施設","麻布地区","六本木五丁目","六本木五丁目16番45号","2637","403","0","9","412","0","0","15.61","15.27","0.00","0.34"
"赤坂地区総合支所","区立公共施設","赤坂地区","赤坂四丁目","赤坂四丁目18番13号","2805","275","0","0","275","0","0","9.80","9.80","0.00","0.00"
"高輪地区総合支所","区立公共施設","高輪地区","高輪一丁目","高輪一丁目16番25号","3526","441","8","137","585","0","0","16.59","12.49","0.22","3.87"
"芝浦港南地区総合支所（みなとパーク芝浦）","区立公共施設","芝浦・港南地区","芝浦一丁目","芝浦一丁目16番1号","20887","2314","0","2244","4558","0","0","21.82","11.08","0.00","10.75"
"三田いきいきプラザ","区立公共施設","芝地区","芝四丁目","芝四丁目1番17号","1149","273","12","3","288","0","0","25.05","23.74","1.04","0.27"
"虎ノ門いきいきプラザ（とらトピア）","区立公共施設","芝地区","虎ノ門一丁目","虎ノ門一丁目21番10号","2008","175","0","189","364","0","0","18.14","8.70","0.00","9.43"
"南麻布いきいきプラザ","区立公共施設","麻布地区","南麻布一丁目","南麻布一丁目5番26号","1804","277","91","89","457","0","0","25.30","15.35","5.04","4.92"
"麻布いきいきプラザ","区立公共施設","麻布地区","元麻布三丁目","元麻布三丁目5番11号","486","160","35","0","195","0","0","40.02","32.90","7.13","0.00"
"飯倉いきいきプラザ","区立公共施設","麻布地区","東麻布二丁目","東麻布二丁目16番11号","547","44","0","0","44","0","0","8.03","8.03","0.00","0.00"
"赤坂いきいきプラザ","区立公共施設","赤坂地区","赤坂六丁目","赤坂六丁目4番8号","478","12","0","0","12","0","0","2.55","2.55","0.00","0.00"
"青山いきいきプラザ","区立公共施設","赤坂地区","南青山二丁目","南青山二丁目16番5号","1123","59","2","0","61","0","0","5.42","5.24","0.19","0.00"
"青南いきいきプラザ","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目10番1号","481","61","15","0","75","0","0","15.69","12.61","3.08","0.00"
"豊岡いきいきプラザ","区立公共施設","高輪地区","三田五丁目","三田五丁目7番7号","632","101","0","0","101","0","0","16.01","16.01","0.00","0.00"
"白金台いきいきプラザ","区立公共施設","高輪地区","白金台四丁目","白金台四丁目8番5号","1319","91","15","0","106","0","0","8.07","6.92","1.15","0.00"
"港南いきいきプラザ（ゆとりーむ）","区立公共施設","芝浦・港南地区","港南四丁目","港南四丁目2番1号","1410","183","0","0","183","0","0","13.01","13.01","0.00","0.00"
"芝浦アイランド児童高齢者交流プラザ・芝浦アイランドこども園","区立公共施設","芝浦・港南地区","芝浦四丁目","芝浦四丁目20番1号","1789","105","0","182","287","175","0","16.06","5.88","0.00","10.18"
"特別養護老人ホーム白金の森","区立公共施設","高輪地区","白金台五丁目","白金台五丁目20番5号","3055","897","0","0","897","1","0","29.35","29.35","0.00","0.00"
"高齢者在宅サービスセンター　サン・サン赤坂","区立公共施設","赤坂地区","赤坂六丁目","赤坂六丁目6番14号","5396","760","0","415","1175","0","0","21.78","14.09","0.00","7.69"
"芝高齢者在宅サービスセンター","区立公共施設","芝地区","芝三丁目","芝三丁目24番5号","600","65","0","0","65","0","0","10.79","10.79","0.00","0.00"
"精神障害者地域生活支援センター「あいはーと・みなと」","区立公共施設","高輪地区","高輪一丁目","高輪一丁目4番8号","506","21","0","0","21","0","0","4.17","4.17","0.00","0.00"
"高輪子ども中高生プラザ","区立公共施設","高輪地区","高輪一丁目","高輪一丁目4番35号","2648","930","0","150","1080","0","0","40.78","35.11","0.00","5.67"
"芝公園保育園","区立公共施設","芝地区","芝公園二丁目","芝公園二丁目7番3号","1493","136","0","25","161","0","0","10.79","9.12","0.00","1.67"
"神明保育園","区立公共施設","芝地区","浜松町一丁目","浜松町一丁目6番7号","2277","313","0","492","805","0","0","35.35","13.76","0.00","21.59"
"飯倉保育園","区立公共施設","麻布地区","東麻布一丁目","東麻布一丁目21番2号","584","41","0","54","95","0","0","16.29","7.00","0.00","9.29"
"本村保育園","区立公共施設","麻布地区","南麻布四丁目","南麻布四丁目6番7号","5779","931","244","565","1740","267","0","30.11","16.11","4.23","9.78"
"西麻布保育園","区立公共施設","麻布地区","西麻布二丁目","西麻布二丁目13番3号","1872","48","0","108","156","0","0","8.33","2.57","0.00","5.76"
"麻布保育園","区立公共施設","麻布地区","六本木五丁目","六本木五丁目16番46号","1973","175","0","32","206","318","0","10.45","8.85","0.00","1.60"
"高輪保育園","区立公共施設","高輪地区","高輪三丁目","高輪三丁目18番15号","1347","275","0","96","371","0","0","27.54","20.44","0.00","7.09"
"伊皿子坂保育園","区立公共施設","高輪地区","三田四丁目","三田四丁目19番30号","1115","108","0","34","142","0","0","12.74","9.73","0.00","3.01"
"白金保育園","区立公共施設","高輪地区","白金三丁目","白金三丁目10番12号","1080","129","0","0","129","0","0","11.92","11.92","0.00","0.00"
"たかはま保育園","区立公共施設","芝浦・港南地区","港南四丁目","港南四丁目3番7号","4961","954","194","147","1295","369","0","26.10","19.23","3.90","2.97"
"しばうら保育園","区立公共施設","芝浦・港南地区","芝浦三丁目","芝浦三丁目1番16号","3476","758","51","0","809","0","0","23.27","21.80","1.47","0.00"
"東麻布保育園","区立公共施設","麻布地区","東麻布二丁目","東麻布二丁目1番1号","2830","236","600","44","879","0","0","31.06","8.34","21.19","1.54"
"青南保育室","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目19番18号","2722","758","37","0","795","0","0","29.22","27.86","1.36","0.00"
"桂坂保育室","区立公共施設","高輪地区","高輪三丁目","高輪三丁目19番36号","2135","232","68","0","300","0","0","14.07","10.89","3.19","0.00"
"愛宕保育室","区立公共施設","芝地区","愛宕一丁目","愛宕一丁目7番5号","646","38","11","0","49","0","0","7.56","5.90","1.65","0.00"
"志田町保育室","区立公共施設","高輪地区","白金一丁目","白金一丁目11番16号","1585","156","34","0","190","433","0","12.00","9.86","2.14","0.00"
"南麻布三丁目保育室","区立公共施設","麻布地区","南麻布四丁目","南麻布四丁目6番7号","1102","58","0","9","67","262","0","6.10","5.26","0.00","0.84"
"第二青南保育室","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目19番5号","1623","95","12","0","107","0","0","6.60","5.87","0.73","0.00"
"子育てひろば「あい・ぽーと」","区立公共施設","赤坂地区","南青山二丁目","南青山二丁目25番1号","1017","168","113","0","282","131","0","27.69","16.56","11.13","0.00"
"高輪幼稚園","区立公共施設","高輪地区","高輪二丁目","高輪二丁目12番31号","1193","469","0","27","495","0","0","41.54","39.29","0.00","2.25"
"白金台幼稚園","区立公共施設","高輪地区","白金台三丁目","白金台三丁目7番1号","1255","452","0","118","570","141","0","45.42","36.03","0.00","9.39"
"三光幼稚園","区立公共施設","高輪地区","白金三丁目","白金三丁目13番8号","943","266","0","0","266","149","0","28.22","28.22","0.00","0.00"
"港南幼稚園","区立公共施設","芝浦・港南地区","港南四丁目","港南四丁目3番27号","1966","170","0","228","398","0","0","20.25","8.63","0.00","11.62"
"青南幼稚園","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目18番17号","1404","419","12","0","431","214","0","30.73","29.86","0.86","0.00"
"みなと図書館","区立公共施設","芝地区","芝公園三丁目","芝公園三丁目2番25号","1477","329","0","0","329","0","0","22.28","22.28","0.00","0.00"
"三田図書館","区立公共施設","芝地区","芝五丁目","芝五丁目28番4号","1430","80","0","0","80","0","0","5.63","5.63","0.00","0.00"
"麻布図書館","区立公共施設","麻布地区","六本木五丁目","六本木五丁目12番24号","1281","210","0","93","303","0","0","23.68","16.42","0.00","7.25"
"教育センター","区立公共施設","高輪地区","白金三丁目","白金三丁目18番2号","4476","531","9","0","540","0","0","12.06","11.86","0.20","0.00"
"芝公園多目的運動場（アクアフィールド芝公園）","区立公共施設","芝地区","芝公園二丁目","芝公園二丁目7番2号","4418","520","0","28","548","0","0","12.41","11.77","0.00","0.64"
"生涯学習センター（ばるーん）","区立公共施設","芝地区","新橋三丁目","新橋三丁目16番3号","2298","261","0","0","261","0","0","11.35","11.35","0.00","0.00"
"青山生涯学習館","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目19番7号","578","20","0","0","20","0","0","3.51","3.51","0.00","0.00"
"みなと保健所","区立公共施設","芝地区","三田一丁目","三田一丁目4番10号","1724","318","0","152","470","0","0","27.28","18.45","0.00","8.83"
"みなとリサイクル清掃事務所","区立公共施設","芝浦・港南地区","港南三丁目","港南三丁目9番59号","4449","343","6","247","596","0","0","13.40","7.72","0.13","5.55"
"芝浦清掃作業所","区立公共施設","芝浦・港南地区","港南三丁目","港南三丁目1番18号","1031","2","12","0","13","0","7","1.30","0.17","1.14","0.00"
