名称,住所,延貸出者数,貸出点数,予約点数,返却点数,開設年月
高野台受取窓口,練馬区高野台2-25-1生涯学習センター分館内,12183,27597,23977,31896,2006年2月
豊玉受取窓口,練馬区豊玉上2-22-15豊玉リサイクルセンター内,19578,41774,34801,50466,2011年10月
石神井公園駅受取窓口,練馬区石神井町7-1-2西武池袋線高架下,69733,145125,124718,197828,2014年4月
大泉学園駅受取窓口,練馬区東大泉1-28-1リズモ大泉学園4F,57298,116666,96069,135538,2015年5月
北町受取窓口,練馬区北町2-26-1北町地区区民館内,3995,8769,8430,11103,2017年9月
上石神井受取窓口,練馬区上石神井1-6-16上石神井南地域集会所内,7453,16777,15606,18495,2017年9月
